,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_15,coach,side,scores,final_scores,outcome
Huskies,0.14084507042253522,0.1619718309859155,0.056338028169014086,0.02112676056338028,0.14084507042253522,0.06338028169014084,0.11971830985915492,0.04929577464788732,0.014084507042253521,0.014084507042253521,0.0,0.21830985915492956,Coach1,home,49.34402849051647,7006.852045653339,win
Opponent,0.125,0.22916666666666666,0.0625,0.0,0.14583333333333334,0.0,0.1875,0.041666666666666664,0.0,0.0,0.0,0.20833333333333334,,,49.48490345988186,2375.275366074329,
Huskies,0.13333333333333333,0.1111111111111111,0.044444444444444446,0.044444444444444446,0.08888888888888889,0.06666666666666667,0.2,0.044444444444444446,0.044444444444444446,0.044444444444444446,0.022222222222222223,0.15555555555555556,Coach1,away,48.99743165028422,2204.8844242627897,tie
Opponent,0.16759776536312848,0.1787709497206704,0.0670391061452514,0.0111731843575419,0.1564245810055866,0.03910614525139665,0.12290502793296089,0.0446927374301676,0.0111731843575419,0.00558659217877095,0.0,0.19553072625698323,,,49.49581793072873,8859.751409600442,
Huskies,0.1623931623931624,0.20512820512820512,0.06837606837606838,0.017094017094017096,0.1623931623931624,0.05982905982905983,0.08547008547008547,0.042735042735042736,0.008547008547008548,0.008547008547008548,0.0,0.1794871794871795,Coach1,away,49.5572009845731,5798.192515195053,loss
Opponent,0.1497584541062802,0.18357487922705315,0.04830917874396135,0.01932367149758454,0.15942028985507245,0.0821256038647343,0.09178743961352658,0.043478260869565216,0.024154589371980676,0.01932367149758454,0.00966183574879227,0.16908212560386474,,,49.38808140287125,10223.332850394348,
Huskies,0.1724137931034483,0.18620689655172415,0.06206896551724138,0.013793103448275862,0.15862068965517243,0.041379310344827586,0.09655172413793103,0.04827586206896552,0.013793103448275862,0.013793103448275862,0.0,0.19310344827586207,Coach1,home,49.379147880047,7159.976442606815,loss
Opponent,0.14074074074074075,0.2,0.05185185185185185,0.014814814814814815,0.14814814814814814,0.037037037037037035,0.13333333333333333,0.05185185185185185,0.014814814814814815,0.014814814814814815,0.0,0.1925925925925926,,,49.407128527830515,6669.96235125712,
Huskies,0.16447368421052633,0.19736842105263158,0.05921052631578947,0.013157894736842105,0.13157894736842105,0.03289473684210526,0.125,0.03289473684210526,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.20394736842105263,Coach1,away,49.07317755110571,7459.122987768068,loss
Opponent,0.14102564102564102,0.16666666666666666,0.0641025641025641,0.019230769230769232,0.14102564102564102,0.07051282051282051,0.08974358974358974,0.057692307692307696,0.02564102564102564,0.019230769230769232,0.0,0.20512820512820512,,,49.28705982501265,7688.781332701973,
Huskies,0.1415929203539823,0.19469026548672566,0.05309734513274336,0.008849557522123894,0.17699115044247787,0.05309734513274336,0.11504424778761062,0.04424778761061947,0.008849557522123894,0.008849557522123894,0.0,0.19469026548672566,Coach1,home,49.539162980215394,5597.925416764339,win
Opponent,0.168141592920354,0.19469026548672566,0.035398230088495575,0.008849557522123894,0.17699115044247787,0.02654867256637168,0.09734513274336283,0.035398230088495575,0.008849557522123894,0.008849557522123894,0.0,0.23893805309734514,,,49.14041186298436,5552.866540517232,
Huskies,0.16891891891891891,0.22297297297297297,0.02702702702702703,0.006756756756756757,0.1891891891891892,0.04054054054054054,0.06756756756756757,0.02027027027027027,0.006756756756756757,0.006756756756756757,0.0,0.24324324324324326,Coach1,home,49.16539894769223,7276.47904425845,loss
