,times,dis,duel,score
motif_1,703.0,19.694167852062588,2.6187766714082503,51.57462733377984
motif_2,1939.0,17.03971119133574,2.5410005157297575,43.29791492507024
motif_3,579.0,19.569948186528496,2.620034542314335,51.27394024000644
motif_4,679.0,19.139911634756995,2.6156111929307806,50.06256710357647
motif_5,175.0,18.874285714285715,2.6228571428571428,49.50455510204082
motif_6,58.0,17.275862068965516,2.586206896551724,44.67895362663496
motif_7,571.0,19.189141856392293,2.6112084063047285,50.10684852518548
motif_8,177.0,20.694915254237287,2.689265536723164,55.65412237862683
motif_9,386.0,19.17098445595855,2.756476683937824,52.84437166098419
motif_10,133.0,18.616541353383457,2.6390977443609023,49.13087229351574
motif_11,48.0,15.833333333333334,2.8541666666666665,45.19097222222222
motif_12,40.0,15.775,2.8,44.17
motif_13,9.0,14.777777777777779,1.8888888888888888,27.913580246913583
motif_14,3366.0,13.393939393939394,2.3306595365418894,31.216712580348943
motif_15,786.0,17.15903307888041,2.5865139949109417,44.38207919766396
