,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Huskies,2.5470180000002074,17.43259399999988,2,0,50,40.0,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,
1,Huskies,17.43259399999988,37.39188599999989,0,0,58,46.0,-12.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,
2,Opponent15,37.39188599999989,41.268699000000204,0,0,56,63.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,41.268699000000204,83.69845200000009,9,0,15,40.0,25.0,0,4,0,0,0,0,0,0,0,0,0,0,0,,True,True,True,,,,True,,,,,True,,True,,,,,,,,,,,,,,,
4,Huskies,83.69845200000009,91.94008600000005,3,0,63,68.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
5,Huskies,91.94008600000005,163.97050900000022,2,1,73,40.0,-33.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,True,True,,,,,,,,,,,,,True,,True,,,True,,,,,,,,,
6,Opponent15,163.97050900000022,171.70620999999986,1,0,50,40.0,-10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Opponent15,171.70620999999986,187.09923200000003,0,0,39,40.0,1.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Opponent15,187.09923200000003,260.03817500000014,8,0,30,40.0,10.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent15,260.03817500000014,263.8305799999998,0,0,42,37.0,-5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Opponent15,263.8305799999998,271.6276710000002,2,0,41,40.0,-1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,271.6276710000002,410.2731979999999,8,1,25,40.0,15.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,True,True,,,,,True,,,True,,,,,,,,,
12,Huskies,410.2731979999999,416.151433,2,0,83,84.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,
13,Huskies,416.151433,444.5279110000001,5,0,94,40.0,-54.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,
14,Huskies,444.5279110000001,453.3707840000001,2,0,85,87.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,True,,,,,,,,True,,,,,,,,,
15,Huskies,453.3707840000001,508.136708,2,0,38,40.0,2.0,0,2,0,2,0,0,1,0,0,0,0,0,0,,,True,,,,True,,,,,True,,,,True,,,,,,,,,,,,,,
16,Huskies,508.136708,523.0350030000001,3,0,92,40.0,-52.0,0,2,0,2,0,0,1,0,0,0,0,0,0,,True,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,,
17,Huskies,523.0350030000001,530.8351240000002,0,0,81,84.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,
18,Opponent15,530.8351240000002,572.2628399999999,3,0,45,88.0,43.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Opponent15,572.2628399999999,602.7494670000002,3,0,41,11.0,-30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Opponent15,602.7494670000002,675.3422110000001,4,0,60,40.0,-20.0,0,3,0,12,0,0,3,6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Opponent15,675.3422110000001,695.0007959999997,0,0,57,40.0,-17.0,0,3,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Opponent15,695.0007959999997,707.9451669999999,0,0,62,40.0,-22.0,0,0,0,2,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Huskies,707.9451669999999,713.3960649999998,0,0,26,40.0,14.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,True,,,,,True,,,,,True,,,,,,,,,,,,
24,Opponent15,713.3960649999998,721.4149809999999,0,0,49,43.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Huskies,721.4149809999999,732.440568,0,0,34,40.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
26,Opponent15,732.440568,767.4332760000003,4,0,8,40.0,32.0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Opponent15,767.4332760000003,797.9334960000001,1,0,83,40.0,-43.0,0,0,0,4,0,0,0,4,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Opponent15,797.9334960000001,862.8137019999998,5,1,84,40.0,-44.0,1,2,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Opponent15,862.8137019999998,909.0263020000003,0,0,31,40.0,9.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Opponent15,909.0263020000003,917.5513380000003,0,0,75,78.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Opponent15,917.5513380000003,957.173764,0,0,48,75.0,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Huskies,957.173764,1033.663128,11,2,40,40.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,,True,True,True,,,,,,,,True,,,,,,True,,,,,,,,,,,,
33,Huskies,1033.663128,1066.6190070000002,2,0,70,40.0,-30.0,2,10,0,2,0,0,0,0,3,0,0,0,0,,True,True,True,,,True,True,,,,,True,,True,True,,,,,True,,,,,,,,,
34,Huskies,1066.6190070000002,1128.6363110000002,3,0,53,40.0,-13.0,9,31,7,20,3,2,10,2,13,5,2,0,0,,,True,True,,,,True,,,,True,True,,True,True,,,,,True,,,,,,,,,
35,Huskies,1128.6363110000002,1169.9756150000005,0,0,31,28.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
36,Opponent15,1169.9756150000005,1245.3292570000006,8,0,68,40.0,-28.0,0,3,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Opponent15,1245.3292570000006,1290.1845400000002,4,0,46,72.0,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Huskies,1290.1845400000002,1294.9844009999995,0,0,27,44.0,17.0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,
39,Opponent15,1294.9844009999995,1347.0437439999996,0,0,35,40.0,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
