,team,s_time,e_time,duel,shot,ox,dx,dis,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,motif_14,motif_15,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_F2,Huskies_M2,Huskies_M3,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Huskies_F3,Huskies_D5,Huskies_M4,Huskies_M5,Huskies_D6,Huskies_M6,Huskies_M7,Huskies_M8,Huskies_M9,Huskies_F4,Huskies_D7,Huskies_M10,Huskies_M11,Huskies_M12,Huskies_M13,Huskies_F5,Huskies_F6,Huskies_D8,Huskies_D9,Huskies_D10
0,Huskies,46.32350099999999,51.02254600000001,3,0,34,59.0,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,51.02254600000001,89.00872099999998,0,0,53,69.0,16.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent1,89.00872099999998,98.26519100000002,0,0,19,67.0,48.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,98.26519100000002,109.02554500000002,2,0,42,36.0,-6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
4,Opponent1,109.02554500000002,130.65652999999998,0,0,30,36.0,6.0,0.0,2,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Huskies,130.65652999999998,151.85275,1,0,34,52.0,18.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Opponent1,151.85275,161.22146999999998,0,0,48,56.0,8.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Huskies,161.22146999999998,247.469049,15,0,14,5.0,-9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,
8,Huskies,247.469049,286.49734,2,0,17,12.0,-5.0,0.0,2,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,5,1.0,True,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
9,Huskies,286.49734,318.875721,3,0,48,60.0,12.0,1.0,4,1,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,5,1.0,,True,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,
10,Opponent1,318.875721,325.77883,0,0,55,62.0,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,325.77883,349.651805,2,0,19,30.0,11.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,True,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,
12,Huskies,349.651805,380.02212000000003,0,0,47,47.0,0.0,0.0,1,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,3,1.0,,,,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,
13,Opponent1,380.02212000000003,390.709116,0,0,19,27.0,8.0,0.0,1,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Huskies,390.709116,432.039458,2,0,8,59.0,51.0,7.0,19,8,7.0,1,0.0,9,2.0,2.0,1,0.0,0,0.0,16,4.0,True,,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
15,Opponent1,432.039458,470.526751,0,0,42,84.0,42.0,2.0,7,1,1.0,0,0.0,1,0.0,1.0,0,0.0,0,0.0,7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Huskies,470.526751,504.396917,0,0,38,44.0,6.0,4.0,12,5,4.0,1,0.0,4,1.0,2.0,1,0.0,0,0.0,10,2.0,True,,True,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,
17,Opponent1,504.396917,605.781783,0,0,54,99.0,45.0,0.0,6,0,0.0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Opponent1,605.781783,628.545296,0,0,62,90.0,28.0,0.0,3,0,1.0,0,0.0,1,0.0,0.0,0,0.0,0,0.0,5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Opponent1,628.545296,634.315811,0,0,53,75.0,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Huskies,634.315811,638.7163360000001,4,0,35,32.0,-3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
