,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M4,Huskies_D3,Opponent10_M1,Opponent10_D2,Opponent10_M2,Opponent10_G1,Opponent10_D4,Opponent10_F1,Huskies_G1,Opponent10_M3,Huskies_F2,Huskies_D4,Huskies_M5,Huskies_M8,Opponent10_M4,Opponent10_D3,Opponent10_D5,Opponent10_D1,Huskies_D7,Huskies_M1,Huskies_F1,Huskies_D2
0,Huskies,1.9557100000000105,9.843624999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent10,9.843624999999976,20.97036300000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,
2,Opponent10,20.97036300000002,25.82882599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,
3,Huskies,25.82882599999999,33.14455900000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
4,Opponent10,33.14455900000001,35.618323999999966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,
5,Huskies,35.618323999999966,50.97813000000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,True,True,,,,,,,,
6,Opponent10,50.97813000000002,73.836881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
7,Opponent10,73.836881,97.397374,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,True,,,,,,,,,,True,,,,,
8,Opponent10,97.397374,154.23067200000003,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,True,,,,,,,,True,,,,
9,Huskies,154.23067200000003,170.76179199999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,True,True,,
