,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent10_M4,Opponent10_D4,Opponent10_F1,Huskies_M1,Huskies_M11,Opponent10_M1,Opponent10_M2,Opponent10_D2,Huskies_F2,Huskies_D4,Huskies_D2,Huskies_M4,Huskies_D3,Huskies_D7,Huskies_F1,Opponent10_D5,Opponent10_D3,Opponent10_M3,Opponent10_G1,Huskies_G1,Huskies_F4,Opponent10_D1,Huskies_M6,Opponent10_F2,Opponent10_M5,Opponent10_F3
0,Opponent10,1.8739719999998672,9.95216100000016,52.0,37.0,-15.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,9.95216100000016,13.251082000000224,39.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,
2,Opponent10,13.251082000000224,54.17651999999998,32.0,37.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,
3,Huskies,54.17651999999998,59.87240299999985,71.0,73.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,,,,,
4,Huskies,59.87240299999985,134.20576699999992,38.0,37.0,-1.0,2.0,0.0,2.0,8.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,True,True,True,True,True,,,,,,,,,,,,
5,Opponent10,134.20576699999992,157.20868299999984,20.0,47.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,
6,Huskies,157.20868299999984,204.2225760000001,38.0,65.0,27.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
7,Opponent10,204.2225760000001,214.595875,43.0,37.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,,,,
8,Opponent10,214.595875,225.847319,61.0,37.0,-24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,
9,Opponent10,225.847319,261.5244630000002,38.0,49.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,,,,,
10,Huskies,261.5244630000002,265.35925,34.0,38.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,
11,Opponent10,265.35925,290.7680300000002,26.0,37.0,11.0,6.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,True,,,,,,,,True,True,,True,,,,,,,
12,Huskies,290.7680300000002,339.07565000000017,30.0,37.0,7.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,True,,,,,,,,,True,True,,,,,
13,Opponent10,339.07565000000017,358.340162,72.0,37.0,-35.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,,,,,True,,,True,,,True,,,,
14,Huskies,358.340162,382.167567,74.0,88.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,
