,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent11_M4,Opponent11_M2,Opponent11_D1,Opponent11_M3,Opponent11_M1,Opponent11_D2,Huskies_G1,Huskies_D7,Huskies_D3,Huskies_M11,Opponent11_D4,Opponent11_D3,Opponent11_G1,Huskies_M6,Opponent11_F1,Opponent11_F2,Huskies_D4,Huskies_M1,Huskies_M4,Huskies_F2,Huskies_F4,Huskies_D1
0,Opponent11,2.2969290000000058,41.11479399999999,49.0,37.0,-12.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,
1,Opponent11,41.11479399999999,109.51577600000002,31.0,37.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,,,,,,,,,,,,,,,
2,Huskies,109.51577600000002,156.57953400000005,57.0,37.0,-20.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,,,,,,,,,,,,
3,Opponent11,156.57953400000005,175.08038,63.0,37.0,-26.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,,,,,True,True,,,,,,,,,,
4,Opponent11,175.08038,220.442007,23.0,37.0,14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,True,,,,,,,,,
5,Opponent11,220.442007,246.867298,33.0,37.0,4.0,6.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,,,,,
6,Huskies,246.867298,301.847162,7.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,
7,Opponent11,301.847162,322.716382,10.0,46.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,
8,Opponent11,322.716382,326.604748,68.0,61.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,
9,Huskies,326.604748,360.1648830000001,31.0,26.0,-5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
10,Opponent11,360.1648830000001,371.04899700000004,62.0,40.0,-22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,
11,Opponent11,371.04899700000004,376.000434,28.0,30.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,,,,,,,
12,Huskies,376.000434,429.729916,75.0,80.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
13,Huskies,429.729916,483.386023,68.0,37.0,-31.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,True,,True,True,,
14,Opponent11,483.386023,491.303561,45.0,65.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,True,,,,,,
15,Opponent11,491.303561,496.992745,61.0,37.0,-24.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,,,
16,Huskies,496.992745,498.442913,31.0,29.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,
17,Opponent11,498.442913,520.4974530000001,72.0,37.0,-35.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,True,,,,,,,,,,,
18,Huskies,520.4974530000001,565.269807,58.0,37.0,-21.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,True,,,,,,,True,
19,Huskies,565.269807,595.349643,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,
20,Opponent11,595.349643,620.2602360000001,28.0,37.0,9.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,,,,,,,,True,True,,,,,,
21,Huskies,620.2602360000001,655.599998,15.0,3.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
22,Opponent11,655.599998,661.014947,36.0,44.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
23,Huskies,661.014947,696.80325,45.0,37.0,-8.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,True,,,,,True,,True,
24,Opponent11,696.80325,709.9354400000001,33.0,37.0,4.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,True,True,,,,,,,,,
25,Opponent11,709.9354400000001,734.411538,32.0,37.0,5.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,,,,,,,,,,,,
26,Opponent11,734.411538,788.113963,77.0,79.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,
27,Huskies,788.113963,797.586552,7.0,2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,
28,Opponent11,797.586552,804.661586,31.0,37.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,True,,,,,,,,,
29,Opponent11,804.661586,811.014871,30.0,37.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,
