,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F2,Huskies_M6,Opponent11_M4,Opponent11_D3,Opponent11_F1,Opponent11_F2,Opponent11_M3,Huskies_M1,Huskies_F4,Opponent11_M1,Opponent11_M2,Opponent11_D2,Huskies_M11,Opponent11_D1,Opponent11_D4,Opponent11_G1,Huskies_G1,Huskies_M4,Huskies_D1,Huskies_D4,Huskies_M10,Huskies_D7,Huskies_F1,Opponent11_G2,Opponent11_D5,Huskies_M8,Opponent11_F3
0,Huskies,2.347479999999905,18.135780999999948,50.0,29.0,-21.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent11,18.135780999999948,25.455503000000128,17.0,32.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent11,25.455503000000128,86.72734799999989,66.0,29.0,-37.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,86.72734799999989,98.04844999999979,50.0,29.0,-21.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
4,Huskies,98.04844999999979,101.93541000000003,64.0,74.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
5,Opponent11,101.93541000000003,105.46190500000013,23.0,46.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,
6,Opponent11,105.46190500000013,127.17832099999987,36.0,29.0,-7.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,True,,,,,,,,,,,,,,,,
7,Opponent11,127.17832099999987,133.57444699999996,97.0,93.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,,,,,,,
8,Opponent11,133.57444699999996,142.063897,71.0,29.0,-42.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,
9,Huskies,142.063897,148.69637899999995,18.0,28.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
10,Opponent11,148.69637899999995,197.13509500000006,40.0,29.0,-11.0,0.0,0.0,1.0,3.0,2.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,True,,,,True,,,,True,,,True,,,,,,,,,,,,,
11,Opponent11,197.13509500000006,200.16791000000006,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,
12,Huskies,200.16791000000006,203.58832100000015,9.0,4.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,
13,Opponent11,203.58832100000015,244.46163199999998,62.0,29.0,-33.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,True,,,True,True,,,,True,True,,,,,,,,,,,
