,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M1,Huskies_G1,Huskies_D3,Opponent12_M2,Opponent12_M1,Opponent12_M3,Opponent12_D2,Huskies_M8,Huskies_D7,Huskies_M3,Opponent12_M5,Opponent12_M6,Opponent12_M4,Huskies_M10,Huskies_D1,Opponent12_D3,Opponent12_D4,Huskies_D4,Huskies_M6,Opponent12_G1,Huskies_F4,Opponent12_D1
0,Huskies,1.250468000000012,27.88185999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Opponent12,27.88185999999999,110.74932,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,,,,,,,,
2,Huskies,110.74932,123.807204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
3,Huskies,123.807204,129.24928899999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,,,,,,,,,,,,
4,Opponent12,129.24928899999998,145.721389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
5,Opponent12,145.721389,152.582558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
6,Opponent12,152.582558,187.092474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
7,Huskies,187.092474,197.131035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
8,Opponent12,197.131035,225.409051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
9,Opponent12,225.409051,230.118289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
10,Opponent12,230.118289,246.288262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
11,Huskies,246.288262,253.612476,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,True,,,,
12,Opponent12,253.612476,254.688136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
13,Huskies,254.688136,258.475171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
14,Opponent12,258.475171,267.869775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
15,Opponent12,267.869775,365.772063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
16,Opponent12,365.772063,392.944139,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,True,,True,,,True,True,,,,,
17,Huskies,392.944139,396.38317600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,
18,Opponent12,396.38317600000005,407.311527,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,True,,,,True,,,,,,
19,Huskies,407.311527,415.72095299999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,,,,,,
20,Opponent12,415.72095299999995,427.151074,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,True,,,True,,
21,Opponent12,427.151074,445.494884,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,,,,,,,,
22,Huskies,445.494884,486.485899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
23,Opponent12,486.485899,528.886772,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,True,,,,True,,True
24,Opponent12,528.886772,593.06848,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,True,,,,,True,,,,,,True
25,Opponent12,593.06848,618.1084490000001,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,True,,,,True,,True
26,Opponent12,618.1084490000001,637.635291,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,True,,,,True,,True
27,Huskies,637.635291,641.923412,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,True,,,,,,,,,,,,
28,Opponent12,641.923412,721.440182,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,True,,,,,,,,,,
29,Opponent12,721.440182,760.909654,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,True,,,,,,True
30,Opponent12,760.909654,808.215259,1.0,3.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,True,True,,,,,True
31,Huskies,808.215259,816.891981,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,,,,,,,,,,,,,,
32,Opponent12,816.891981,832.296517,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,,True
33,Opponent12,832.296517,895.9195119999998,0.0,7.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,True,True,,,,,,,,,True
34,Opponent12,895.9195119999998,946.391639,1.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,True,True,,,True,,True
35,Opponent12,946.391639,956.626093,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,True,,,,,,,,,,
36,Huskies,956.626093,970.77403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,True,,,
37,Huskies,970.77403,987.588838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
38,Huskies,987.588838,1025.547679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,
39,Opponent12,1025.547679,1033.0055220000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,
40,Opponent12,1033.0055220000002,1137.117324,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,True,,,,,
41,Huskies,1137.117324,1140.715956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
42,Opponent12,1140.715956,1145.298985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,True,,,,,
43,Huskies,1145.298985,1169.83535,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,True,True,,,
44,Huskies,1169.83535,1257.198318,5.0,11.0,4.0,9.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,True,True,,,,,,True,True,,,,,True,,,True,True,,,
45,Opponent12,1257.198318,1310.7314039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,
46,Opponent12,1310.7314039999999,1339.6488,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,True,,,,True,,True
47,Huskies,1339.6488,1351.873494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,
48,Opponent12,1351.873494,1402.456548,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,True,True,,,,,True
49,Huskies,1402.456548,1451.9131539999998,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,True,True,True,,,,,,,,,,,,
50,Huskies,1451.9131539999998,1464.977905,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,True,,,,,,,
51,Opponent12,1464.977905,1471.2494279999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,
52,Huskies,1471.2494279999999,1486.024799,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,True,,,,
53,Opponent12,1486.024799,1494.646779,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,True,,
54,Opponent12,1494.646779,1534.980526,5.0,7.0,2.0,3.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,True,True,,True,,,,True,,,,,,,,,,,True
55,Huskies,1534.980526,1556.621866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,
56,Opponent12,1556.621866,1574.002058,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,True,,,,,,
57,Opponent12,1574.002058,1738.7769600000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,True,,,,,True,,,,,,
58,Opponent12,1738.7769600000001,1763.7262510000003,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,True,,,True,True,,,True,,True
59,Huskies,1763.7262510000003,1783.095674,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,,,,,,,,,,,,,True,
60,Opponent12,1783.095674,1840.1501859999998,2.0,15.0,5.0,13.0,0.0,1.0,8.0,1.0,7.0,4.0,1.0,1.0,0.0,,,,True,True,True,True,,,,True,True,True,,,True,,,,,,
61,Opponent12,1840.1501859999998,1861.0881789999999,1.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,True,,,,,,True,,,,,
62,Huskies,1861.0881789999999,1928.877675,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,True,
63,Opponent12,1928.877675,1991.8224899999998,2.0,9.0,1.0,5.0,0.0,1.0,3.0,1.0,6.0,2.0,1.0,1.0,0.0,,,,,True,True,,,,,True,,True,,,True,,,,,,True
64,Huskies,1991.8224899999998,2030.44375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,
65,Opponent12,2030.44375,2127.524637,5.0,9.0,3.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,,True,True,True,,,True,,,,True,,True
66,Huskies,2127.524637,2177.728456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,
67,Opponent12,2177.728456,2229.6441489999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,True,,,,,
68,Opponent12,2229.6441489999997,2247.299098,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,True,,,,,,,,,,,
69,Opponent12,2247.299098,2259.894816,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,True,,,,True,,,,,
70,Opponent12,2259.894816,2268.647007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
71,Opponent12,2268.647007,2301.557084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,True,,,,,,,,,,,
72,Opponent12,2301.557084,2341.779687,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,True,,,,True,,,,,,
73,Opponent12,2341.779687,2357.965295,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,True
74,Huskies,2357.965295,2368.1931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,
75,Opponent12,2368.1931,2377.549904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,
76,Opponent12,2377.549904,2426.030065,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,,True,,,True,,True
77,Huskies,2426.030065,2430.767902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,
78,Huskies,2430.767902,2475.136611,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,True,True,,,,True,,,
79,Opponent12,2475.136611,2568.588092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
80,Opponent12,2568.588092,2584.135409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
81,Opponent12,2584.135409,2619.653066,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,,,,,,,,,,,
82,Opponent12,2619.653066,2718.011896,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,True
83,Opponent12,2718.011896,2734.976755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
84,Opponent12,2734.976755,2751.502789,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,True,,,,,True,,,,True,,True
85,Huskies,2751.502789,2816.11143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
86,Opponent12,2816.11143,3900.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,True
