,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent12_M5,Opponent12_M3,Opponent12_M1,Opponent12_D2,Opponent12_D4,Opponent12_M6,Opponent12_M4,Huskies_G1,Huskies_D3,Huskies_F4,Huskies_M8,Huskies_M1,Huskies_F1,Huskies_D4,Huskies_M6,Huskies_D1,Huskies_D7,Huskies_M4,Opponent12_M2,Opponent12_D3,Opponent12_G1,Opponent12_D1,Huskies_F3,Opponent12_F1,Opponent12_M7
0,Opponent12,1.4687659999999596,21.744357999999924,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
1,Opponent12,21.744357999999924,71.8858919999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,,,,
2,Opponent12,71.8858919999998,91.86801000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,
3,Opponent12,91.86801000000014,101.51809700000014,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,True,,,,,,,,,,,,,,,,,,
4,Huskies,101.51809700000014,111.85150199999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,
5,Huskies,111.85150199999998,125.77424999999994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,,,,,,,,,,,,
6,Huskies,125.77424999999994,140.29027399999995,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,True,True,,,,,,,,,,
7,Huskies,140.29027399999995,164.18588400000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,True,,,,,,,,
8,Huskies,164.18588400000002,228.28694200000015,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,True,,True,,True,,,,,,,
9,Opponent12,228.28694200000015,259.93222400000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,
10,Opponent12,259.93222400000013,272.91974900000014,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,True,,,,
11,Opponent12,272.91974900000014,292.5276100000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,True,,True,,,
12,Opponent12,292.5276100000001,303.9134210000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,
