,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent13_D1,Opponent13_M1,Huskies_D7,Huskies_M1,Huskies_F1,Huskies_M6,Huskies_G1,Huskies_D3,Huskies_M8,Opponent13_M2,Opponent13_D3,Huskies_D1,Huskies_M3,Opponent13_D4,Opponent13_M5,Opponent13_M3,Opponent13_G1,Opponent13_D2,Opponent13_M4,Opponent13_F1,Huskies_M5,Huskies_D4,Huskies_D2
0,Opponent13,2.152722000000012,17.363725999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,
1,Huskies,17.363725999999982,27.95393200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,
2,Huskies,27.95393200000001,59.87990100000002,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,True,True,,,,,,,,,,,,,,
3,Opponent13,59.87990100000002,67.14898199999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,
4,Huskies,67.14898199999999,82.99771700000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,True,,,True,True,,,,,,,,,,
5,Opponent13,82.99771700000002,132.056539,2.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,True,True,True,True,True,,,,
6,Opponent13,132.056539,165.19673999999995,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,True,,True,True,,,,
7,Huskies,165.19673999999995,174.656405,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,True,,,,,,,,,,
8,Opponent13,174.656405,261.696709,2.0,6.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,,,,True,,True,,,
9,Huskies,261.696709,300.958927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,
10,Opponent13,300.958927,410.39763000000005,3.0,3.0,3.0,10.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,True,True,True,,True,,,,,
11,Huskies,410.39763000000005,414.47485300000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,
12,Huskies,414.47485300000005,441.062429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True,,
13,Opponent13,441.062429,465.14676,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,True,,,,,,,
14,Opponent13,465.14676,502.35633900000005,4.0,5.0,5.0,9.0,0.0,1.0,3.0,7.0,3.0,2.0,1.0,1.0,0.0,True,True,,,,,,,,True,,,,True,True,True,,True,,,,,
15,Opponent13,502.35633900000005,508.710305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,,,
16,Huskies,508.710305,514.036823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,
17,Opponent13,514.036823,559.455433,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,True,True,,,
18,Opponent13,559.455433,565.414772,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,True,,,,,,,
19,Huskies,565.414772,567.115431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,,
20,Huskies,567.115431,618.6834660000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,
21,Opponent13,618.6834660000001,655.137384,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,,,True,True,,,,
22,Opponent13,655.137384,757.83105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,
23,Huskies,757.83105,821.216711,1.0,4.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,True,True,,,,,,,,,True,
24,Huskies,821.216711,833.264928,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,True,
25,Opponent13,833.264928,839.0441450000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,,
26,Opponent13,839.0441450000002,861.190212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,,
27,Huskies,861.190212,866.497298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,
28,Opponent13,866.497298,879.7308969999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,,,
29,Huskies,879.7308969999998,893.463064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,
30,Opponent13,893.463064,940.186687,4.0,9.0,4.0,6.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,True,,True,,True,True,,,,
31,Opponent13,940.186687,957.3558,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,True,,,,,
