,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_M5,Huskies_F1,Huskies_M8,Huskies_D7,Huskies_D3,Opponent13_D1,Opponent13_G1,Opponent13_D3,Huskies_G1,Huskies_D1,Opponent13_D2,Opponent13_D4,Opponent13_M3,Opponent13_M2,Opponent13_M4,Opponent13_M5,Opponent13_M1,Huskies_M6,Huskies_M1,Huskies_M3,Opponent13_F1,Huskies_M10,Huskies_M9,Opponent13_D5,Opponent13_M6,Opponent13_F2
0,Huskies,1.6936690000002272,16.52748100000008,50.0,31.0,-19.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,16.52748100000008,38.78657500000008,75.0,31.0,-44.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,
2,Opponent13,38.78657500000008,53.260318000000105,8.0,31.0,23.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,
3,Huskies,53.260318000000105,62.925682000000045,26.0,31.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,True,,,,,,,,,,,,,,,,
4,Opponent13,62.925682000000045,79.03316700000005,39.0,31.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,
5,Opponent13,79.03316700000005,94.76088900000013,16.0,31.0,15.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,True,,,,,,,,,,,,,,,
6,Opponent13,94.76088900000013,109.1056279999998,37.0,31.0,-6.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,True,,,,,,,,,,
7,Opponent13,109.1056279999998,151.3074409999999,86.0,31.0,-55.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,True,,,,,,,,,
8,Huskies,151.3074409999999,155.25884799999994,57.0,31.0,-26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,,,,,,
9,Opponent13,155.25884799999994,286.8333379999999,41.0,31.0,-10.0,10.0,1.0,2.0,5.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,True,,True,,True,,,,,,,,,,
10,Huskies,286.8333379999999,302.32971000000003,59.0,31.0,-28.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,
11,Huskies,302.32971000000003,315.15639500000003,69.0,31.0,-38.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,True,,,,,,,
12,Opponent13,315.15639500000003,357.1976789999998,35.0,31.0,-4.0,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,True,True,True,True,True,,,,,,,,,
13,Huskies,357.1976789999998,365.3520090000002,26.0,47.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
14,Opponent13,365.3520090000002,394.0561739999998,48.0,31.0,-17.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,,,,,,
15,Opponent13,394.0561739999998,475.544089,89.0,31.0,-58.0,2.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,True,True,,,,,,,,,
16,Huskies,475.544089,477.03992199999993,50.0,59.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,477.03992199999993,491.503647,28.0,71.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
