,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F2,Huskies_D6,Huskies_F1,Huskies_M6,Opponent14_D2,Opponent14_G1,Huskies_D7,Huskies_D2,Huskies_G1,Huskies_D5,Huskies_M8,Opponent14_F1,Huskies_M1,Opponent14_M3,Opponent14_M2,Opponent14_M1,Huskies_M4,Opponent14_D4,Opponent14_D3,Opponent14_D1,Opponent14_D5,Opponent14_F2
0,Huskies,1.3304039999999873,10.363896000000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,10.363896000000011,16.566503000000008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,,,,,
2,Opponent14,16.566503000000008,59.018047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
3,Huskies,59.018047,67.64173400000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,,,,,,,,,,,,,
4,Huskies,67.64173400000001,100.997095,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,True,True,,,,,,,,,,,,
5,Huskies,100.997095,110.406585,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,,,,,,,,,,,
6,Huskies,110.406585,114.611832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,
7,Opponent14,114.611832,134.22200800000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,True,,,,,,,,,,
8,Huskies,134.22200800000002,148.86339900000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
9,Huskies,148.86339900000004,205.843216,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,True,,True,,,True,,,,,,,,,
10,Huskies,205.843216,238.426535,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,True,,,,,,,,,,,,
11,Opponent14,238.426535,250.457939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
12,Opponent14,250.457939,281.926125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,
13,Huskies,281.926125,284.524208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,
14,Opponent14,284.524208,315.89086499999996,1.0,2.0,1.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,True,,True,True,True,,
15,Huskies,315.89086499999996,331.215778,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,True,,,,,,,,,
16,Opponent14,331.215778,336.1248500000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,True,,,,,,
17,Huskies,336.1248500000001,358.19945399999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,
18,Opponent14,358.19945399999995,392.645352,2.0,8.0,3.0,7.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,True,True,,True,True,,,
19,Huskies,392.645352,419.4657150000001,1.0,7.0,1.0,8.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,True,True,,True,,,True,True,,True,,,True,,,,,,,,,
20,Opponent14,419.4657150000001,479.14431500000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,
21,Huskies,479.14431500000006,492.488737,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,True,,,,True,,,,,,,,,
22,Opponent14,492.488737,542.156511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,
