,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent14_F3,Opponent14_F1,Opponent14_F2,Opponent14_D3,Opponent14_M1,Opponent14_D5,Opponent14_D2,Opponent14_D1,Opponent14_M3,Opponent14_G1,Opponent14_D4,Huskies_D2,Huskies_M1,Huskies_M4,Huskies_F1,Huskies_M8,Huskies_D7,Huskies_F2,Huskies_M6,Huskies_D5,Huskies_G1,Opponent14_F4,Huskies_D6,Opponent14_D6,Huskies_M11,Huskies_M9,Huskies_M10
0,Opponent14,2.056314999999813,51.19456300000002,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent14,51.19456300000002,89.58227900000021,4.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,True,True,True,True,,,,,,,,,,,,,,,,,,,
2,Opponent14,89.58227900000021,178.6142770000001,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,True,True,True,True,,,,,,,,,,,,,,,,
3,Opponent14,178.6142770000001,206.0457190000002,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,True,True,,,,,True,,,,,,,,,,,,,,,,
4,Opponent14,206.0457190000002,224.65714599999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,True,,,,,,,,,,,,,,,,,,
5,Opponent14,224.65714599999998,259.9775199999999,3.0,8.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,,True,True,True,,,True,True,,True,,,,,,,,,,,,,,,,
6,Opponent14,259.9775199999999,274.1649050000001,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,True,,,,,,,,,,,,,,,,
7,Opponent14,274.1649050000001,286.2892139999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,,,,,,,,,,,,,
8,Opponent14,286.2892139999999,302.4152159999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,
9,Opponent14,302.4152159999999,310.44081899999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
10,Huskies,310.44081899999986,378.143544,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,
11,Opponent14,378.143544,409.54890100000017,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,,,,,,,,,,,
12,Opponent14,409.54890100000017,452.0178449999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,,,,,
13,Opponent14,452.0178449999999,483.84945800000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,,,,,,
14,Opponent14,483.84945800000014,541.4527469999998,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,True,True,,True,,,,,,,,,,,,,,,,
15,Opponent14,541.4527469999998,549.6006689999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
16,Opponent14,549.6006689999998,563.7108859999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,,,,,,
17,Opponent14,563.7108859999997,623.59638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,
18,Huskies,623.59638,655.5982220000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,
19,Opponent14,655.5982220000002,679.7196829999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
