,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_M4,Huskies_D6,Huskies_D5,Opponent15_D2,Opponent15_M3,Huskies_D2,Huskies_M1,Huskies_F2,Huskies_D7,Huskies_M6,Huskies_M8,Opponent15_F2,Opponent15_D1,Opponent15_M2,Opponent15_D3,Opponent15_D4,Huskies_G1,Opponent15_M1,Opponent15_G1,Opponent15_M4,Opponent15_F4,Huskies_M10,Huskies_M3,Opponent15_F1,Huskies_D1
0,Huskies,2.5470180000002074,17.43259399999988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,17.43259399999988,37.39188599999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent15,37.39188599999989,41.268699000000204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,41.268699000000204,83.69845200000009,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,True,True,True,,,,,,,,,,,,,,,,,
4,Huskies,83.69845200000009,91.94008600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,
5,Huskies,91.94008600000005,163.97050900000022,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,True,True,True,,,,,,,,,,,,,,
6,Opponent15,163.97050900000022,171.70620999999986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,,,,,,,
7,Opponent15,171.70620999999986,187.09923200000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,True,True,,,,,,,,,
8,Opponent15,187.09923200000003,260.03817500000014,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,True,,,,,,,,,,
9,Opponent15,260.03817500000014,263.8305799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,,,,,
