,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent16_M1,Opponent16_F3,Opponent16_D2,Opponent16_G1,Opponent16_D1,Opponent16_D4,Opponent16_F2,Opponent16_M3,Huskies_M3,Huskies_M8,Huskies_M1,Huskies_F1,Opponent16_M2,Huskies_D5,Huskies_D2,Opponent16_F1,Huskies_F2,Huskies_M6,Opponent16_D3,Huskies_D7,Huskies_G1,Huskies_D6,Opponent16_F4,Opponent16_F5,Opponent16_F6
0,Opponent16,1.9804589999998825,66.61772599999995,0.0,4.0,0.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,
1,Opponent16,66.61772599999995,122.097573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,,
2,Huskies,122.097573,126.24420400000008,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,,,,
3,Opponent16,126.24420400000008,128.53340100000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,,,,
4,Huskies,128.53340100000014,134.85949100000016,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,,,,,,,,,,,,
5,Opponent16,134.85949100000016,151.19791799999985,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,True,,,,,,,,,,,,
6,Huskies,151.19791799999985,156.38636799999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,
7,Opponent16,156.38636799999995,196.75877399999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,True,,,,,,,,,,,,
8,Opponent16,196.75877399999993,236.00272499999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,
9,Opponent16,236.00272499999986,280.16562299999987,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,,,,,,,,True,,,,,,,,,
10,Huskies,280.16562299999987,331.8619709999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,True,,,,,,,,
11,Huskies,331.8619709999998,339.08621799999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,
12,Opponent16,339.08621799999986,361.5874709999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,
13,Opponent16,361.5874709999998,456.20065800000015,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,True,,,,,,,,True,,,True,,,,,,
14,Opponent16,456.20065800000015,463.98419299999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,,,,
15,Opponent16,463.98419299999983,561.0294349999998,3.0,9.0,5.0,12.0,0.0,0.0,4.0,6.0,4.0,2.0,0.0,0.0,0.0,,,True,True,True,True,True,,,,,,True,,,,,,True,,,,,,
16,Opponent16,561.0294349999998,603.5098400000003,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,True,,,,,,,,,
17,Opponent16,603.5098400000003,625.817442,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,True,True,,,,,,,,True,,,,,,,,,
18,Opponent16,625.817442,633.066879,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,True,,,,,,,,,,,,
19,Opponent16,633.066879,693.2011849999999,2.0,7.0,2.0,10.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,True,,True,,True,,True,True,,,,,True,,,,,,True,,,,,,
20,Opponent16,693.2011849999999,709.844971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,,,,
21,Opponent16,709.844971,727.473258,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,True,,,,,,,,,,,,
22,Huskies,727.473258,734.6208179999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,
23,Opponent16,734.6208179999999,780.0055710000001,3.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,,True,True,True,,,,,,True,,,True,,,True,,,,,,
24,Huskies,780.0055710000001,787.7099059999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,
25,Opponent16,787.7099059999999,802.1539320000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,True,,,,,,,,,,,,True,,,,,,
26,Huskies,802.1539320000003,812.4001939999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,True,,,,,,,
27,Opponent16,812.4001939999997,919.8630050000003,0.0,7.0,1.0,21.0,0.0,0.0,5.0,12.0,2.0,1.0,0.0,0.0,0.0,,True,,True,True,True,,True,,,,,,,,True,,,True,,,,,,
28,Huskies,919.8630050000003,945.193341,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,,,,True,,,,,True,,,
29,Huskies,945.193341,960.963441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,
30,Opponent16,960.963441,994.366634,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,True,,,,,,,,,,,True,,,,,,
31,Opponent16,994.366634,1017.266266,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,True,True,,,,,True,,,,,,True,,,,,,
32,Opponent16,1017.266266,1027.1290929999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,True,,,,,,True,,,,,,
33,Opponent16,1027.1290929999998,1040.0938859999997,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,True,,,True,,,,,,,,,
34,Opponent16,1040.0938859999997,1125.8946720000004,3.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,True,,True,,,,,True,,,True,,,True,,,,,,
35,Opponent16,1125.8946720000004,1242.355751,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,True,,,,,,True,,,,,,
36,Opponent16,1242.355751,1323.1784390000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,,,,
37,Opponent16,1323.1784390000005,1386.8725450000004,0.0,5.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,True,,,True,,,,,True,,,True,,,True,,,,,,
38,Huskies,1386.8725450000004,1415.2366060000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,
39,Opponent16,1415.2366060000006,1441.3380300000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,True,,,,,,,,,,,,
40,Opponent16,1441.3380300000001,1457.61496,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,True,,
41,Opponent16,1457.61496,1487.4242000000006,2.0,5.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,True,,,,,,,,,,,True,,,,,,
42,Opponent16,1487.4242000000006,1586.93469,5.0,12.0,6.0,15.0,0.0,0.0,6.0,2.0,2.0,1.0,0.0,0.0,0.0,True,,True,,True,True,,True,,,,,True,,,True,,,True,,,,True,,
43,Huskies,1586.93469,1643.456521,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,,,,,,True,,True,,,
44,Huskies,1643.456521,1651.6392059999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,True,,,,,
45,Opponent16,1651.6392059999996,1667.6664039999994,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,True,,,,,,,,,,,,
46,Opponent16,1667.6664039999994,1722.671996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,True,,
47,Huskies,1722.671996,1733.2556510000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,True,,,,
48,Opponent16,1733.2556510000006,1747.943478,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,,,True,,,,,,,,,
49,Opponent16,1747.943478,1791.047364,1.0,2.0,1.0,8.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,True,,,,,,True,,,,,,
50,Opponent16,1791.047364,1803.9592530000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,,,,,,,,True,,,,,,,True,,
51,Huskies,1803.9592530000002,1949.713372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,
52,Opponent16,1949.713372,1988.4346050000006,4.0,9.0,3.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,True,True,,,True,,True,,,,,,,,,,,True,,,,,True,
53,Opponent16,1988.4346050000006,1990.535557,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,True,
54,Huskies,1990.535557,1996.889889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,True,,,,,,,,
55,Opponent16,1996.889889,2003.923411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,True,,,,,,
56,Opponent16,2003.923411,2050.1765760000003,6.0,15.0,4.0,14.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,True,True,,True,,,,,,,,True,,,True,,,,True,True,
57,Huskies,2050.1765760000003,2077.828427000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,,,
58,Huskies,2077.828427000001,2087.5012469999997,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,,True,,,
59,Opponent16,2087.5012469999997,2117.630314,0.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,True,,,,,,,,,,,True,,,,,,
60,Opponent16,2117.630314,2150.889058,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,True,,,True,,,,True,True,
61,Opponent16,2150.889058,2159.7980629999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,True,,,,,,,,,
62,Opponent16,2159.7980629999997,2260.762791,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,True,,
63,Opponent16,2260.762791,2322.198065,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,True,,,True,,,,,,
64,Opponent16,2322.198065,2420.962775,2.0,6.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,True,,,,,,,,,,,True,,,,,True,
65,Huskies,2420.962775,2440.080763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,True,,,,
66,Opponent16,2440.080763,2508.9226420000005,2.0,6.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,True,,,,,,,,,,,True,,,,,True,True
