,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent17_M1,Opponent17_D1,Opponent17_M2,Opponent17_M3,Opponent17_D2,Opponent17_M5,Opponent17_M4,Huskies_M1,Huskies_D5,Huskies_F2,Huskies_G1,Huskies_D7,Opponent17_D3,Opponent17_F1,Opponent17_D4,Huskies_D2,Huskies_M6,Huskies_M8,Huskies_D6,Huskies_M3,Huskies_F1,Opponent17_G1
0,Opponent17,1.1353530000000092,21.149753000000004,49.0,27.0,-22.0,1.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,
1,Opponent17,21.149753000000004,30.47746699999999,85.0,27.0,-58.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,
2,Huskies,30.47746699999999,35.581804999999996,21.0,14.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
3,Opponent17,35.581804999999996,53.50335100000001,59.0,27.0,-32.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,
4,Huskies,53.50335100000001,146.55619199999998,21.0,15.0,-6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,
5,Huskies,146.55619199999998,155.289516,10.0,36.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
6,Opponent17,155.289516,179.601095,8.0,35.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,
7,Opponent17,179.601095,182.18021000000002,42.0,56.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,
8,Huskies,182.18021000000002,209.03063100000003,43.0,32.0,-11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,
9,Huskies,209.03063100000003,215.732941,37.0,35.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,
10,Opponent17,215.732941,249.360907,66.0,27.0,-39.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,,,,,,,
11,Opponent17,249.360907,346.46350600000005,75.0,27.0,-48.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
12,Opponent17,346.46350600000005,390.250392,26.0,27.0,1.0,4.0,0.0,1.0,4.0,1.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,True,,True,,,,,,True,,True,,,,,,,
