,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D6,Huskies_F2,Opponent17_M3,Opponent17_M2,Opponent17_M4,Opponent17_D1,Opponent17_D2,Huskies_M1,Huskies_M6,Opponent17_F1,Opponent17_D4,Opponent17_D3,Huskies_G1,Huskies_D5,Huskies_D2,Huskies_D7,Huskies_M3,Huskies_F1,Opponent17_M1,Opponent17_M5,Opponent17_G1,Huskies_M8,Huskies_M9,Opponent17_F2,Huskies_M4,Opponent17_M6,Huskies_D3
0,Huskies,3.615934999999809,55.37578399999985,51.0,34.0,-17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent17,55.37578399999985,64.75698599999987,62.0,34.0,-28.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent17,64.75698599999987,72.05672199999981,32.0,20.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,72.05672199999981,130.21090300000014,64.0,34.0,-30.0,7.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,
4,Opponent17,130.21090300000014,205.1090949999998,80.0,80.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,,,,,
5,Opponent17,205.1090949999998,256.635898,71.0,91.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
6,Opponent17,256.635898,310.0600159999999,47.0,66.0,19.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
7,Huskies,310.0600159999999,315.0412280000001,23.0,7.0,-16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,,,,,,
8,Opponent17,315.0412280000001,331.3306330000001,48.0,58.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
9,Huskies,331.3306330000001,377.8209860000002,41.0,34.0,-7.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,True,True,True,True,,,,,,,,,,
