,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent18_D1,Opponent18_M1,Huskies_D5,Huskies_M6,Huskies_F1,Huskies_M1,Opponent18_D2,Opponent18_M3,Huskies_D2,Huskies_D6,Huskies_M3,Opponent18_D3,Opponent18_M2,Opponent18_F1,Huskies_D7,Huskies_M8,Huskies_F2,Opponent18_M5,Opponent18_M4,Opponent18_D4,Opponent18_F2,Huskies_G1,Opponent18_G1
0,Opponent18,2.5023040000000094,10.422149999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,
1,Huskies,10.422149999999988,37.44316799999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,
2,Huskies,37.44316799999999,46.55440700000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,,
3,Opponent18,46.55440700000002,59.83544499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,
4,Huskies,59.83544499999999,70.33111400000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,True,True,True,,,,,,,,,,,,
5,Opponent18,70.33111400000001,82.65775400000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,True,True,,,,,,,,,
6,Huskies,82.65775400000003,136.07341599999998,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,True,,,,True,True,,,,,,,
7,Huskies,136.07341599999998,153.85504500000005,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,True,,True,,,,,,
8,Opponent18,153.85504500000005,277.482571,4.0,13.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,True,True,,,,,True,True,True,,,
9,Huskies,277.482571,285.483472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,,,,,,,,
10,Opponent18,285.483472,290.60213999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,
11,Huskies,290.60213999999996,312.067546,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,True,,,,,True,True,True,,,,,True,
12,Opponent18,312.067546,358.918102,3.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,True,True,,,,,,True,True,,,True
13,Opponent18,358.918102,389.093868,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,True,,,,,,,,,,
14,Opponent18,389.093868,395.8744860000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,,,,,,,,True,,
15,Opponent18,395.8744860000001,419.94715900000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,,
16,Huskies,419.94715900000006,433.014113,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,True,True,,,,,,,
17,Opponent18,433.014113,443.95787800000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,True,,,,,
18,Opponent18,443.95787800000005,451.398674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,
19,Huskies,451.398674,485.549433,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,True,,,,,,,,,,,,
20,Huskies,485.549433,547.894514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,
21,Opponent18,547.894514,573.933112,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,True,,,,,True,,,,,,True,,,,
22,Huskies,573.933112,581.60265,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,True,,,,,,,
23,Opponent18,581.60265,589.633763,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,True,,,,,,,,,,
24,Huskies,589.633763,600.805925,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,True,True,,,,,,
25,Opponent18,600.805925,637.55625,1.0,5.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,True,True,True,,,
26,Opponent18,637.55625,698.306362,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,,True,,,,,True,True,,,,
27,Huskies,698.306362,715.175351,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,True,True,True,,,,,,
28,Opponent18,715.175351,725.3996,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,True,,,,,,,,True,,
29,Huskies,725.3996,784.507422,1.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,True,True,,,,,,True,,,,,True,
30,Huskies,784.507422,807.4191579999998,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,True,,True,,,,,True,
31,Huskies,807.4191579999998,811.5715640000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,
32,Opponent18,811.5715640000002,822.6395580000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,,
33,Huskies,822.6395580000002,830.0525419999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,
34,Opponent18,830.0525419999999,863.3842910000002,2.0,7.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,True,True,,,,,True,True,True,,,
35,Opponent18,863.3842910000002,868.8397769999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,,
