,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D6,Huskies_F2,Huskies_F1,Huskies_M1,Huskies_M3,Huskies_M6,Opponent18_M1,Opponent18_D4,Opponent18_M5,Opponent18_F2,Opponent18_G1,Opponent18_D1,Opponent18_D2,Opponent18_D3,Opponent18_M3,Huskies_D7,Huskies_D5,Opponent18_M2,Opponent18_M4,Huskies_G1,Huskies_D2,Huskies_M8,Huskies_M4,Opponent18_F3,Huskies_M10,Opponent18_M6
0,Huskies,1.1275120000000245,12.933540999999876,49.0,34.0,-15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,12.933540999999876,19.172189999999773,70.0,34.0,-36.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2,Opponent18,19.172189999999773,54.34633299999996,30.0,34.0,4.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,True,True,True,,,,,,,,,,,,,
3,Opponent18,54.34633299999996,227.40572999999995,37.0,34.0,-3.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,True,,,,,,,,,,,,
4,Huskies,227.40572999999995,231.77011300000004,21.0,34.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,,,,,,,,,,,,,,,,
5,Opponent18,231.77011300000004,255.90333999999984,68.0,34.0,-34.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,,,,,,,
6,Huskies,255.90333999999984,273.4835539999999,29.0,34.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,True,,,,,,,,,
7,Huskies,273.4835539999999,308.79834699999986,33.0,34.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,,,,,,,,,,,
8,Opponent18,308.79834699999986,330.82067300000017,37.0,34.0,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,,,,,,,,
9,Huskies,330.82067300000017,333.9074420000002,35.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,,
10,Opponent18,333.9074420000002,341.9925750000002,63.0,34.0,-29.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,True,,,,,,,,
11,Opponent18,341.9925750000002,365.64406400000007,81.0,34.0,-47.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,True,,,,,,True,,,,,,,
12,Huskies,365.64406400000007,380.57708899999983,34.0,34.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,,,,,,True,,,,,,,,,
13,Opponent18,380.57708899999983,445.67238200000014,13.0,66.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,
14,Opponent18,445.67238200000014,455.01377099999985,18.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,,,,,
15,Opponent18,455.01377099999985,493.20254800000015,42.0,55.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,
16,Opponent18,493.20254800000015,539.7268600000001,86.0,34.0,-52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,,
17,Opponent18,539.7268600000001,575.2342159999997,44.0,34.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,,
18,Huskies,575.2342159999997,581.730329,63.0,79.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,,,,,,,,
19,Opponent18,581.730329,623.4107140000001,41.0,34.0,-7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,,,,,,,True,,,,,,,
20,Opponent18,623.4107140000001,636.0821810000002,68.0,60.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,,,,,
21,Opponent18,636.0821810000002,664.31817,69.0,34.0,-35.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,,,,,True,,,,,,,
22,Huskies,664.31817,677.1720650000002,35.0,34.0,-1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,,True,,,,,,,,,
23,Huskies,677.1720650000002,691.77934,62.0,34.0,-28.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,True,,,,True,,,,,,
24,Huskies,691.77934,734.7503879999998,59.0,71.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,
25,Huskies,734.7503879999998,740.4124069999997,67.0,34.0,-33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,,
26,Huskies,740.4124069999997,742.6450759999997,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,,,,,,,,,,,,,
27,Opponent18,742.6450759999997,746.3488169999999,30.0,35.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,True,,,,,,,
28,Huskies,746.3488169999999,774.1943120000002,53.0,34.0,-19.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,True,,,,,,,,,
29,Opponent18,774.1943120000002,799.4171860000001,10.0,34.0,24.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,True,,,,,,,
30,Huskies,799.4171860000001,805.3106309999997,42.0,70.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,
31,Opponent18,805.3106309999997,816.4273840000002,30.0,34.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,True,,,,,,,,,,,,,
32,Huskies,816.4273840000002,926.301153,35.0,34.0,-1.0,2.0,1.0,9.0,17.0,1.0,8.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,True,True,,,,True,True,,,,
33,Opponent18,926.301153,933.160536,64.0,68.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,,
34,Huskies,933.160536,943.0821789999999,31.0,34.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,,,,,,,,,,,,,,,,True,,True,,,
35,Opponent18,943.0821789999999,996.8968180000003,30.0,35.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,
36,Opponent18,996.8968180000003,1001.6144780000003,10.0,31.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,True,,,,,,,,
37,Huskies,1001.6144780000003,1011.6402040000003,65.0,73.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,,,,,
38,Huskies,1011.6402040000003,1031.9432180000003,15.0,34.0,19.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,True,,,,,,,,,,,,,,True,True,,,,,
39,Opponent18,1031.9432180000003,1091.1276399999997,30.0,34.0,4.0,2.0,0.0,1.0,6.0,2.0,7.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,True,True,,,,,True,,,,,,,
40,Huskies,1091.1276399999997,1199.6709349999999,13.0,34.0,21.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,,,,,,,,,True,,,,True,,,True,,,
41,Opponent18,1199.6709349999999,1245.5456569999994,59.0,34.0,-25.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
42,Opponent18,1245.5456569999994,1308.005002,88.0,93.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,
43,Opponent18,1308.005002,1357.1888929999996,30.0,34.0,4.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,True,True,,,,,,True,,,,,,,
