,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_D1,Huskies_M8,Huskies_G1,Huskies_D3,Opponent3_D4,Opponent3_M2,Opponent3_D5,Opponent3_M4,Opponent3_D2,Opponent3_D1,Opponent3_F2,Opponent3_M3,Opponent3_F4,Opponent3_G1,Opponent3_M5,Huskies_D5,Huskies_M3,Huskies_M4,Huskies_D7,Huskies_M1,Huskies_M6
0,Huskies,2.2166110000000003,35.461915999999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Huskies,35.461915999999995,47.370442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
2,Opponent3,47.370442,105.84283499999998,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,True,True,True,True,True,,,,,,,,
3,Opponent3,105.84283499999998,158.22689300000005,10.0,23.0,6.0,18.0,0.0,0.0,6.0,0.0,10.0,2.0,0.0,0.0,0.0,,,,,,True,True,True,,True,True,True,True,,True,True,,,,,,
4,Opponent3,158.22689300000005,161.81972199999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,,,
5,Huskies,161.81972199999998,175.420005,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,True,True,,,
6,Opponent3,175.420005,178.79276099999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,True,,,,,,
7,Huskies,178.79276099999996,190.914237,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,True,
8,Opponent3,190.914237,230.06918599999997,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,True,True,,,,,,
9,Huskies,230.06918599999997,240.092042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,
10,Opponent3,240.092042,249.620593,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,True,,,,,,,,,
11,Opponent3,249.620593,271.43208500000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,
12,Opponent3,271.43208500000003,312.173579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
13,Huskies,312.173579,317.179731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True
14,Huskies,317.179731,322.98828100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,,,,
15,Huskies,322.98828100000003,341.472141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,True
16,Opponent3,341.472141,375.673739,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,True,,,,,,,
17,Huskies,375.673739,390.63873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
18,Opponent3,390.63873,401.571571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,True,,,,,,,,,,,
19,Huskies,401.571571,410.857396,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,True,,True,,
20,Opponent3,410.857396,424.845386,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,,True,,,,,,,,,,
21,Opponent3,424.845386,431.607378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
22,Opponent3,431.607378,441.099665,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,True,,,,,,
23,Opponent3,441.099665,451.03612300000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,,True,,,,,,
24,Huskies,451.03612300000003,459.330802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,
25,Opponent3,459.330802,469.190443,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,True,,,,,,,
26,Huskies,469.190443,495.563911,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,True,,True,,,True
27,Opponent3,495.563911,512.8922190000001,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,,True,,,True,,,,,,
28,Opponent3,512.8922190000001,529.1553299999999,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,True,True,,,,True,,,,,,
29,Opponent3,529.1553299999999,578.7661519999999,2.0,3.0,2.0,4.0,0.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0,,,,,,True,True,,True,True,,,True,True,,,,,,,,
30,Opponent3,578.7661519999999,583.78804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,
31,Opponent3,583.78804,643.694801,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,True,,True,,,,,,,,
32,Opponent3,643.694801,694.840318,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,True,,,,,,,,,,,
33,Huskies,694.840318,714.375204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
34,Opponent3,714.375204,745.909074,2.0,8.0,3.0,9.0,0.0,0.0,2.0,2.0,5.0,1.0,0.0,0.0,0.0,,,,,,True,,True,,,True,True,True,,,True,,,,,,
35,Opponent3,745.909074,751.215441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,,,,,,,,
36,Opponent3,751.215441,775.078146,2.0,3.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,True,True,,,True,,,,,,
37,Opponent3,775.078146,806.159904,5.0,11.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,True,True,,True,True,,True,,,,,,
38,Opponent3,806.159904,815.6713070000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,
39,Opponent3,815.6713070000001,839.221534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,,
40,Opponent3,839.221534,854.8002529999999,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,True,True,,,True,True,,,,,,,,
41,Huskies,854.8002529999999,861.4978590000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,True,,True,True,
42,Opponent3,861.4978590000002,906.260823,3.0,9.0,4.0,11.0,2.0,0.0,5.0,6.0,5.0,1.0,2.0,0.0,0.0,,,,,,,,True,,True,True,True,,True,True,True,,,,,,
43,Huskies,906.260823,913.9090689999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,True,
44,Opponent3,913.9090689999999,935.7953859999999,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,,True,,,True,,,,,,
45,Opponent3,935.7953859999999,964.9845039999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,
46,Huskies,964.9845039999999,970.429464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
47,Huskies,970.429464,974.3411050000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True
48,Huskies,974.3411050000001,978.340247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True
49,Opponent3,978.340247,983.8281599999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,
50,Huskies,983.8281599999999,990.758514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,
51,Opponent3,990.758514,1006.780401,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,True,True,,True,,,,,,,,
52,Huskies,1006.780401,1069.818496,1.0,6.0,1.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,,True,True,True,True,True,
53,Opponent3,1069.818496,1081.431402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,
54,Huskies,1081.431402,1090.103024,1.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,True,,,True,
55,Opponent3,1090.103024,1110.862059,1.0,5.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,,,,,True,,,,,,
56,Huskies,1110.862059,1138.351882,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,True
57,Opponent3,1138.351882,1180.932788,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,True,True,True,,,,,,
58,Huskies,1180.932788,1185.263343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
