,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F1,Huskies_D1,Huskies_M1,Huskies_F2,Opponent1_G1,Opponent1_F1,Opponent1_D2,Huskies_M2,Huskies_M3,Opponent1_D1,Opponent1_M1,Opponent1_F2,Opponent1_D3,Opponent1_M2,Huskies_G1,Huskies_D2,Huskies_D3,Huskies_D4,Opponent1_D4,Opponent1_M3,Opponent1_F3,Huskies_F3
0,Huskies,46.32350099999999,51.02254600000001,34.0,59.0,25.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,51.02254600000001,89.00872099999998,53.0,69.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
2,Opponent1,89.00872099999998,98.26519100000002,19.0,59.0,40.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,
3,Huskies,98.26519100000002,109.02554500000002,42.0,36.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
4,Opponent1,109.02554500000002,130.65652999999998,30.0,59.0,29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,True,True,,,,,,,,,,
5,Huskies,130.65652999999998,151.85275,34.0,52.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
6,Opponent1,151.85275,161.22146999999998,48.0,59.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,
7,Huskies,161.22146999999998,247.469049,14.0,59.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,
8,Huskies,247.469049,286.49734,17.0,59.0,42.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,True,True,,,,,
9,Huskies,286.49734,318.875721,48.0,59.0,11.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,True,True,True,,,,
