,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_D3,Huskies_F2,Opponent1_D1,Opponent1_F1,Huskies_G1,Huskies_D5,Huskies_D4,Huskies_F1,Huskies_M1,Huskies_F3,Huskies_M3,Opponent1_F3,Opponent1_F2,Opponent1_M2,Opponent1_M1,Opponent1_D3,Opponent1_G1,Opponent1_D2,Huskies_M2,Opponent1_M3,Opponent1_D4,Huskies_M4,Opponent1_F5,Opponent1_F4,Huskies_M5
0,Huskies,1.6154249999999593,15.241089999999984,50.0,27.0,-23.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent1,15.241089999999984,52.268391000000065,89.0,89.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,
2,Huskies,52.268391000000065,66.97538500000019,18.0,9.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,66.97538500000019,87.39166299999987,55.0,27.0,-28.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,True,True,True,True,,,,,,,,,,,,,,,,
4,Huskies,87.39166299999987,122.75173399999994,57.0,27.0,-30.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,,,,,,,,
5,Opponent1,122.75173399999994,154.36210900000015,77.0,27.0,-50.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,,,,,,,
6,Opponent1,154.36210900000015,158.8341620000001,46.0,56.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,
7,Opponent1,158.8341620000001,162.30168300000014,55.0,61.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,,,
8,Huskies,162.30168300000014,177.1017729999999,23.0,40.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,,,
9,Huskies,177.1017729999999,196.65804900000006,57.0,27.0,-30.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,True,True,,,True,,,,,,,,,,,,,,,,
10,Opponent1,196.65804900000006,302.83556400000003,35.0,27.0,-8.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,True,True,True,True,,,,,,,
11,Huskies,302.83556400000003,330.46963099999994,40.0,27.0,-13.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,,,,,,,,,,,,,,
12,Huskies,330.46963099999994,345.13432800000015,98.0,93.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,
13,Huskies,345.13432800000015,389.1306559999999,42.0,89.0,47.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,,,,,
14,Huskies,389.1306559999999,404.367526,67.0,45.0,-22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,,,,,,,,,,,,
15,Opponent1,404.367526,429.094173,9.0,23.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,
16,Huskies,429.094173,433.152098,22.0,27.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,,,,,,,,,,,,,,,,,
17,Opponent1,433.152098,440.65590100000014,65.0,71.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,
18,Opponent1,440.65590100000014,452.846524,48.0,27.0,-21.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,True,,,,,,,,
19,Huskies,452.846524,454.9852970000002,18.0,41.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,,,,
