,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent19_M1,Opponent19_F1,Huskies_D2,Huskies_F1,Huskies_M6,Opponent19_G1,Opponent19_D2,Opponent19_D3,Opponent19_D4,Opponent19_M2,Huskies_M4,Huskies_M12,Huskies_D5,Opponent19_F2,Opponent19_D1,Opponent19_M3,Huskies_M3,Huskies_G1,Huskies_D6,Huskies_D1,Opponent19_M4,Huskies_D7
0,Opponent19,0.8447710000000086,33.69992300000001,49.0,41.0,-8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,33.69992300000001,84.93542500000002,34.0,41.0,7.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,
2,Opponent19,84.93542500000002,105.943539,26.0,41.0,15.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,True,True,,,,,,,,,,,,,,
3,Opponent19,105.943539,144.46176000000003,66.0,41.0,-25.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,True,,,,,,,,,,,,
4,Huskies,144.46176000000003,174.252252,39.0,50.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,
5,Opponent19,174.252252,190.749145,41.0,20.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
6,Huskies,190.749145,198.5372,74.0,41.0,-33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
7,Opponent19,198.5372,257.038188,15.0,41.0,26.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,,,,,,
8,Opponent19,257.038188,276.384665,47.0,41.0,-6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,True,,,,,,
9,Opponent19,276.384665,303.659479,67.0,41.0,-26.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,True,,,,,,
10,Opponent19,303.659479,336.887594,82.0,41.0,-41.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,True,True,,,,,,
11,Opponent19,336.887594,340.422416,57.0,41.0,-16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,,,,,,,
12,Huskies,340.422416,346.55842,26.0,41.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,,,True,,,,,
13,Opponent19,346.55842,377.917806,62.0,41.0,-21.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,True,True,,,,,,
14,Huskies,377.917806,390.360274,24.0,41.0,17.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,True,True,,
15,Opponent19,390.360274,429.573651,13.0,41.0,28.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,True,True,,,,,,
16,Opponent19,429.573651,480.467157,39.0,41.0,2.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,True,True,,,,,,,,,,,,
17,Opponent19,480.467157,495.5590140000001,32.0,41.0,9.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,True,,,,,True,,,,,,True,
18,Opponent19,495.5590140000001,504.27190900000005,50.0,41.0,-9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,True,,,,,,,,
19,Huskies,504.27190900000005,523.6227660000001,15.0,41.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,True,True,,,
20,Opponent19,523.6227660000001,562.6102530000001,13.0,26.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
21,Opponent19,562.6102530000001,571.220516,91.0,92.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
22,Opponent19,571.220516,579.7149559999999,85.0,41.0,-44.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,True,,,,,,
23,Huskies,579.7149559999999,622.505878,10.0,20.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,
24,Opponent19,622.505878,662.1095690000001,78.0,41.0,-37.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,,,
25,Opponent19,662.1095690000001,666.159767,35.0,31.0,-4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,
26,Huskies,666.159767,671.309802,54.0,72.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,
27,Opponent19,671.309802,687.121396,37.0,41.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,True,True,,,,,,,,,,,True,
28,Huskies,687.121396,705.567246,17.0,6.0,-11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,
29,Opponent19,705.567246,744.3533679999999,67.0,41.0,-26.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,,,True,True,,,,,,
30,Huskies,744.3533679999999,769.939038,13.0,41.0,28.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,True,,,,,,,,True,,,,True,True,,,,
31,Huskies,769.939038,799.651525,65.0,83.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,
32,Huskies,799.651525,836.069603,83.0,77.0,-6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,,,,,
33,Huskies,836.069603,857.546117,33.0,41.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,True,,,True
34,Huskies,857.546117,872.8598,58.0,41.0,-17.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,True,,,,,,,True,True,,
35,Huskies,872.8598,968.514053,67.0,41.0,-26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,
36,Huskies,968.514053,1003.376241,59.0,41.0,-18.0,0.0,0.0,3.0,12.0,4.0,9.0,1.0,1.0,5.0,1.0,5.0,3.0,1.0,1.0,0.0,,,True,,,,,,,,True,True,,,,,True,,True,True,,True
37,Opponent19,1003.376241,1076.4271119999999,7.0,4.0,-3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
38,Opponent19,1076.4271119999999,1116.0248980000001,93.0,94.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,
39,Huskies,1116.0248980000001,1145.8952470000002,76.0,41.0,-35.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,True,,,,,,,,True,,True
40,Huskies,1145.8952470000002,1268.054122,36.0,41.0,5.0,6.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,True,True,,,,,,,True,,True
41,Opponent19,1268.054122,1313.428257,6.0,12.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,
42,Opponent19,1313.428257,1360.124955,70.0,41.0,-29.0,8.0,0.0,2.0,4.0,2.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,True,,,,,,True,,,,,True,
43,Opponent19,1360.124955,1408.756947,75.0,41.0,-34.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,True,True,,,,,,
44,Opponent19,1408.756947,1422.3112390000001,65.0,41.0,-24.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,,,,,,,,
45,Opponent19,1422.3112390000001,1448.5009380000001,76.0,41.0,-35.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,,,,,,,,,True,
46,Huskies,1448.5009380000001,1463.770092,74.0,41.0,-33.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,True,,,,,,,,,,
