,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_M4,Huskies_D5,Huskies_D2,Huskies_F1,Huskies_D6,Huskies_M3,Huskies_M6,Opponent19_D1,Opponent19_D2,Opponent19_M2,Opponent19_F1,Opponent19_M3,Opponent19_M1,Opponent19_D4,Opponent19_M4,Huskies_D7,Huskies_M12,Opponent19_G1,Huskies_G1,Opponent19_F3,Opponent19_D3,Huskies_M8,Huskies_F4,Opponent19_M5,Huskies_M11,Opponent19_M6
0,Huskies,2.8973399999999856,48.31043899999986,49.0,28.0,-21.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,48.31043899999986,65.06589299999996,60.0,28.0,-32.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
2,Opponent19,65.06589299999996,105.41779899999985,34.0,28.0,-6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,
3,Huskies,105.41779899999985,114.42536999999993,59.0,28.0,-31.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,
4,Huskies,114.42536999999993,158.3490710000001,64.0,28.0,-36.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,
5,Huskies,158.3490710000001,168.86059699999987,68.0,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,,,,,,
6,Opponent19,168.86059699999987,194.83996900000008,34.0,69.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,,
7,Opponent19,194.83996900000008,211.0990280000001,69.0,28.0,-41.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,,,,,,
8,Opponent19,211.0990280000001,219.37304099999986,87.0,74.0,-13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,,,,,,
9,Opponent19,219.37304099999986,275.46406699999994,42.0,28.0,-14.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,True,,True,,,,,,,,,,,,
10,Huskies,275.46406699999994,328.60430799999995,45.0,28.0,-17.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,
11,Opponent19,328.60430799999995,338.77597400000013,16.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
12,Huskies,338.77597400000013,446.1411309999999,19.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,True,,,,,,,
13,Opponent19,446.1411309999999,455.0674450000001,29.0,68.0,39.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,,
14,Opponent19,455.0674450000001,483.611304,16.0,5.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
15,Huskies,483.611304,490.08935900000006,75.0,79.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,,,,,,,
16,Opponent19,490.08935900000006,498.53955,44.0,28.0,-16.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,True,,,,,,
17,Huskies,498.53955,504.82057200000014,16.0,28.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,,
18,Huskies,504.82057200000014,549.693338,20.0,28.0,8.0,8.0,0.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,True,True,True,True,,,,,,,,,,True,,,,,,,,,
19,Huskies,549.693338,555.4335809999999,33.0,61.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,True,,,,,,,,,
20,Opponent19,555.4335809999999,628.4146150000001,31.0,27.0,-4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,,,,,
21,Opponent19,628.4146150000001,635.9332989999998,13.0,11.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
22,Huskies,635.9332989999998,716.6888359999997,86.0,28.0,-58.0,8.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,True,,True,,,,,,,,,,True,,,,,,,,,,
23,Huskies,716.6888359999997,767.2898169999999,71.0,28.0,-43.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,,,,,,,True,,,,,,,,,
24,Huskies,767.2898169999999,777.5357349999998,11.0,28.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,True,,,,,,,,,,
25,Opponent19,777.5357349999998,809.2233879999999,19.0,28.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,True,,,,,
26,Opponent19,809.2233879999999,823.1899600000003,64.0,69.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
27,Opponent19,823.1899600000003,842.8197329999997,70.0,28.0,-42.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,True,True,,,,,,,,,,,
28,Huskies,842.8197329999997,848.5685579999998,35.0,28.0,-7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,True,,,,,,,,,
29,Opponent19,848.5685579999998,879.8167279999997,47.0,43.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,,
30,Huskies,879.8167279999997,947.352792,18.0,28.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,
31,Huskies,947.352792,960.408727,54.0,65.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,,,
32,Opponent19,960.408727,966.3372639999997,10.0,47.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,,,
33,Huskies,966.3372639999997,970.7651400000001,29.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,,,,,,
34,Opponent19,970.7651400000001,997.996002,32.0,28.0,-4.0,0.0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,True,True,True,,,,,,,,,,,,
35,Huskies,997.996002,1039.325461,11.0,28.0,17.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,True,,,,,,,,,,,,True,,,,,,,
36,Huskies,1039.325461,1044.520422,67.0,28.0,-39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,,,True,,,
37,Huskies,1044.520422,1077.261805,60.0,28.0,-32.0,0.0,0.0,1.0,7.0,2.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,,True,,True,,True,,,,,,,,,,,True,,,,,,True,,,,
38,Opponent19,1077.261805,1082.558052,30.0,28.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,,,,,,,,,,,
39,Huskies,1082.558052,1091.776265,22.0,8.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,True,,,,,,,
40,Opponent19,1091.776265,1143.5160219999998,49.0,28.0,-21.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,True,,True,,,,,,,,,,,,
41,Huskies,1143.5160219999998,1150.754974,36.0,69.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,
