,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent6_D5,Opponent6_D3,Opponent6_M3,Opponent6_F2,Huskies_D5,Huskies_M3,Huskies_M1,Huskies_F1,Huskies_M6,Opponent6_M4,Huskies_G1,Huskies_D3,Opponent6_M5,Opponent6_D4,Huskies_M13,Huskies_D1,Opponent6_M6,Opponent6_D2,Huskies_D7,Huskies_M8,Opponent6_F5,Opponent6_G1,Opponent6_F3,Huskies_F2
0,Opponent6,4.52556899999999,11.270874999999991,50.0,37.0,-13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,11.270874999999991,15.209689999999995,43.0,49.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,15.209689999999995,19.571469000000008,51.0,57.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,,
3,Huskies,19.571469000000008,28.14768100000001,64.0,37.0,-27.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,True,,,,,,,,,,,,,,,
4,Opponent6,28.14768100000001,30.396466999999998,20.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,,,,,,,
5,Huskies,30.396466999999998,34.53913299999999,63.0,72.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,
6,Opponent6,34.53913299999999,46.996583999999984,20.0,34.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,
7,Huskies,46.996583999999984,80.292846,30.0,37.0,7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,True,,,,,,,,,,,,
8,Opponent6,80.292846,86.05334499999998,34.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,
9,Huskies,86.05334499999998,90.392336,19.0,30.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,
10,Opponent6,90.392336,183.96175300000002,63.0,37.0,-26.0,6.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,True,True,,,,,,
11,Huskies,183.96175300000002,191.523624,43.0,56.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,,,,,
12,Huskies,191.523624,215.411434,41.0,37.0,-4.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,True,,True,True,,,,True,,,,,,,,
13,Opponent6,215.411434,223.334513,25.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,,,
14,Huskies,223.334513,299.297002,21.0,37.0,16.0,4.0,0.0,11.0,27.0,10.0,21.0,2.0,0.0,10.0,2.0,10.0,5.0,0.0,0.0,0.0,,,,,True,True,True,,True,,True,True,,,True,True,,,True,,,,,
15,Opponent6,299.297002,307.515625,36.0,52.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,True,,,,,,
16,Huskies,307.515625,380.39488100000005,31.0,37.0,6.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,,True,,,,,
17,Huskies,380.39488100000005,386.741237,74.0,37.0,-37.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,True,,,,,
18,Opponent6,386.741237,405.14936,3.0,37.0,34.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,True,,,,,,
19,Opponent6,405.14936,420.724604,74.0,72.0,-2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,,,
20,Opponent6,420.724604,426.126068,98.0,87.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,
21,Opponent6,426.126068,482.984728,86.0,98.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,
