,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F2,Huskies_D5,Huskies_G1,Huskies_M1,Huskies_M3,Huskies_M6,Opponent6_M6,Opponent6_D2,Opponent6_M4,Opponent6_F3,Opponent6_M5,Opponent6_M3,Huskies_M8,Huskies_F1,Opponent6_F5,Opponent6_D3,Huskies_D1,Opponent6_D4,Huskies_D7,Huskies_F4,Opponent6_G1,Opponent6_D5,Huskies_M12,Opponent6_M7,Opponent6_F4
0,Huskies,2.2424710000000228,22.779521999999808,49.0,31.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,22.779521999999808,90.72289,57.0,31.0,-26.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,
2,Opponent6,90.72289,116.50492200000008,84.0,31.0,-53.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,,,,,
3,Huskies,116.50492200000008,165.5702889999998,75.0,31.0,-44.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,True,,,,,,,,,,,,,,,,,,,
4,Opponent6,165.5702889999998,191.14696400000003,54.0,70.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,
5,Opponent6,191.14696400000003,200.91829000000007,44.0,72.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,,,,,,,,,,,,,
6,Huskies,200.91829000000007,211.89751800000028,10.0,44.0,34.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
7,Opponent6,211.89751800000028,233.97413099999997,83.0,86.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,,,,,,,
8,Huskies,233.97413099999997,238.43104200000016,22.0,65.0,43.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,True,,,,,,,,
9,Huskies,238.43104200000016,273.6330429999998,62.0,31.0,-31.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,True,,,,,,,,True,,,,True,,,,,,,,
10,Opponent6,273.6330429999998,279.96185099999997,76.0,81.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
11,Huskies,279.96185099999997,285.0295660000002,22.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,,,,,
12,Opponent6,285.0295660000002,298.01523300000014,41.0,31.0,-10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,True,,,,,,,
13,Huskies,298.01523300000014,342.93034799999987,16.0,31.0,15.0,2.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,,,,True,True,,,,,,,,,,,,,True,,,,,,
14,Opponent6,342.93034799999987,351.189394,62.0,45.0,-17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,,,,,
15,Opponent6,351.189394,359.94729000000007,71.0,31.0,-40.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,True,,,,,,,,,,
16,Opponent6,359.94729000000007,367.80975600000016,74.0,77.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,,,,
17,Opponent6,367.80975600000016,374.11056800000006,64.0,74.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,,
18,Opponent6,374.11056800000006,375.22658600000017,63.0,73.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,,,,,
19,Opponent6,375.22658600000017,611.2337080000002,71.0,66.0,-5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,,,,,,
20,Huskies,611.2337080000002,657.3035540000002,14.0,31.0,17.0,5.0,0.0,2.0,12.0,2.0,8.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,True,True,True,True,,,,,,,True,,,,True,,True,,,,,,
21,Huskies,657.3035540000002,669.4906649999998,57.0,31.0,-26.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,True,,,,,,
22,Opponent6,669.4906649999998,673.2855420000002,15.0,34.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,,,,,
