,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent5_M4,Opponent5_D6,Opponent5_M5,Opponent5_D1,Opponent5_D7,Opponent5_M6,Opponent5_D5,Huskies_M3,Huskies_D5,Huskies_M12,Opponent5_M7,Opponent5_M1,Opponent5_F3,Huskies_D1,Huskies_G1,Opponent5_G1,Huskies_M9,Huskies_F2,Huskies_D6,Huskies_M4,Huskies_F4,Huskies_D2
0,Opponent5,4.913272000000006,21.60187400000001,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,,,,,,,,,,,,,,,
1,Huskies,21.60187400000001,47.412995000000016,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,
2,Opponent5,47.412995000000016,71.546851,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,True,True,,,,,,,,,,
3,Opponent5,71.546851,76.61898300000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,True,,,,,,,,,
4,Opponent5,76.61898300000001,105.208442,1.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,True,True,True,,,,,,,,,
5,Huskies,105.208442,121.55576100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
6,Opponent5,121.55576100000002,132.50434199999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,True,,,,,,
7,Huskies,132.50434199999998,141.78509000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,,,,,
8,Opponent5,141.78509000000003,150.37834700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
9,Opponent5,150.37834700000005,193.502463,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,True,True,,,,,True,,,,,,,,,,
10,Huskies,193.502463,222.964125,4.0,8.0,2.0,6.0,0.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,,,,,,,,,True,True,,,,,,,,True,True,True,True,
11,Huskies,222.964125,228.15935299999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,True,,
12,Huskies,228.15935299999998,315.98447400000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,
