,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M12,Huskies_D6,Opponent4_D6,Opponent4_M1,Opponent4_M3,Opponent4_M5,Opponent4_M4,Opponent4_F2,Opponent4_F1,Opponent4_D5,Opponent4_D2,Huskies_M1,Huskies_F2,Huskies_D5,Opponent4_D1,Huskies_F5,Huskies_M13,Huskies_D7,Huskies_D3,Huskies_M6,Huskies_G1,Opponent4_G1
0,Huskies,6.212571999999994,42.874572,50.0,30.0,-20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent4,42.874572,88.352915,75.0,30.0,-45.0,8.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,,,,,,,,,,,,,
2,Opponent4,88.352915,114.78686499999998,34.0,37.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
3,Opponent4,114.78686499999998,125.857505,76.0,85.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
4,Opponent4,125.857505,135.88401399999998,88.0,30.0,-58.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,,,True,True,,,,,,,,,,,,
5,Opponent4,135.88401399999998,145.78435100000004,73.0,30.0,-43.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,True,,,,,,,,,,,
6,Opponent4,145.78435100000004,151.051958,71.0,30.0,-41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,
7,Huskies,151.051958,168.17144100000004,23.0,30.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,
8,Opponent4,168.17144100000004,176.16744999999997,26.0,30.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,True,,,,,,,
9,Huskies,176.16744999999997,190.588748,64.0,30.0,-34.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,True,,,,,,
10,Opponent4,190.588748,198.728688,54.0,30.0,-24.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,True,,,,,,,,,,,
11,Huskies,198.728688,217.575359,49.0,30.0,-19.0,0.0,0.0,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,True,,,True,True,,,,
12,Opponent4,217.575359,242.65524100000002,31.0,30.0,-1.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,True,,,True,True,,,,,,,,,,,
13,Opponent4,242.65524100000002,319.062611,69.0,30.0,-39.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,True,,,,True,,,,,,,
14,Opponent4,319.062611,329.09924700000005,76.0,30.0,-46.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,True,,,,,,,,,,,,
15,Opponent4,329.09924700000005,333.2895620000001,37.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,
16,Opponent4,333.2895620000001,410.582144,58.0,30.0,-28.0,7.0,0.0,3.0,9.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,True,True,True,,True,,,,,,True,,,,,,,
17,Huskies,410.582144,422.412916,69.0,79.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,
18,Opponent4,422.412916,441.38538100000005,31.0,31.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
19,Huskies,441.38538100000005,530.155205,39.0,30.0,-9.0,5.0,0.0,13.0,21.0,7.0,14.0,1.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,True,,True,True,True,True,True,,
20,Opponent4,530.155205,532.731179,53.0,56.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,,
21,Opponent4,532.731179,555.949907,44.0,30.0,-14.0,2.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,True,,,,True,,,,,,,
22,Opponent4,555.949907,569.066214,44.0,30.0,-14.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,True,,True,,,,,,,,,,,
23,Huskies,569.066214,573.2723599999999,30.0,21.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,
24,Opponent4,573.2723599999999,630.947612,42.0,30.0,-12.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,,,True,,,,,,,
25,Opponent4,630.947612,640.6752700000001,30.0,30.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,True,,,,,,,,,,,,,
26,Huskies,640.6752700000001,651.231375,21.0,30.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,True,
27,Huskies,651.231375,675.371604,44.0,30.0,-14.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,True,,,,True,,
28,Opponent4,675.371604,773.518359,13.0,30.0,17.0,2.0,0.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,True,,,True,True,,,,True,,,,,,,True
29,Huskies,773.518359,774.577284,81.0,79.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,,
30,Opponent4,774.577284,784.576837,18.0,30.0,12.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,True,,,,,,,True
31,Opponent4,784.576837,928.598171,59.0,30.0,-29.0,10.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,True,,,,,,,,,,,,,
