,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent4_D6,Opponent4_M1,Opponent4_D1,Huskies_G1,Huskies_D5,Huskies_M1,Huskies_D3,Huskies_M13,Huskies_D7,Huskies_F2,Opponent4_D5,Opponent4_M3,Opponent4_M5,Opponent4_F1,Opponent4_F2,Opponent4_D2,Opponent4_G1,Huskies_D6,Huskies_F5,Opponent4_M4,Huskies_M6,Huskies_M12,Huskies_M8,Huskies_F1,Opponent4_M7,Huskies_M3,Opponent4_M2,Opponent4_M8
0,Opponent4,8.227222999999867,22.591477999999825,51.0,32.0,-19.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,22.591477999999825,31.621329999999947,29.0,3.0,-26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,31.621329999999947,41.424211000000014,39.0,32.0,-7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
3,Huskies,41.424211000000014,54.94488799999999,35.0,32.0,-3.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,
4,Huskies,54.94488799999999,60.062618999999806,38.0,55.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,,,,,,,,,,,,,,,,,
5,Opponent4,60.062618999999806,69.25153799999998,38.0,32.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,,,,,,,,,,,,,,,
6,Opponent4,69.25153799999998,73.91790399999991,55.0,61.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
7,Opponent4,73.91790399999991,84.3235840000002,45.0,72.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,
8,Opponent4,84.3235840000002,99.77622000000021,27.0,32.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,True,,,True,,,,,,,,,,,,,
9,Opponent4,99.77622000000021,193.411967,27.0,32.0,5.0,5.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,,True,True,True,,,,,,,,,,,
10,Huskies,193.411967,260.1919469999998,15.0,32.0,17.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,True,True,,,,,,,,,
11,Opponent4,260.1919469999998,269.4370429999999,37.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,,,,,,,
12,Opponent4,269.4370429999999,290.4097339999998,55.0,32.0,-23.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,True,,True,,,,,,,,,,,,,
13,Opponent4,290.4097339999998,305.99871200000007,61.0,32.0,-29.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,True,True,,,,,,,True,,,,,,,,
14,Huskies,305.99871200000007,315.4802319999999,25.0,66.0,41.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,
15,Opponent4,315.4802319999999,331.26382999999987,27.0,32.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,True,,,True,,,,,,,,,,,,
16,Huskies,331.26382999999987,350.92374999999987,43.0,32.0,-11.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,True,,,,,,,,,,,,True,,,,,,
17,Huskies,350.92374999999987,356.46939100000014,65.0,62.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,
18,Opponent4,356.46939100000014,375.99434000000014,28.0,32.0,4.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,True,True,,,,,,,,,,,,,
19,Huskies,375.99434000000014,414.4729419999999,33.0,45.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,True,,,,,,
20,Opponent4,414.4729419999999,461.83935000000014,37.0,32.0,-5.0,6.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,True,,,,,,,,
21,Huskies,461.83935000000014,488.071113,40.0,32.0,-8.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,True,,,True,,,,,,,,,True,,,,,,,,,,
22,Opponent4,488.071113,500.44878999999986,38.0,32.0,-6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,True,True,,,,,,,,,,,,,,,,
23,Huskies,500.44878999999986,507.30594100000013,8.0,3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,
24,Opponent4,507.30594100000013,563.891263,43.0,32.0,-11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,True,,,,,,,,True,,,,True,,,,,,,,,,,,,
25,Huskies,563.891263,605.2626580000001,51.0,32.0,-19.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
26,Opponent4,605.2626580000001,657.6042440000001,57.0,32.0,-25.0,2.0,0.0,8.0,17.0,3.0,13.0,0.0,0.0,4.0,2.0,5.0,1.0,0.0,0.0,0.0,True,True,True,,,,,,,,True,True,True,True,,True,True,,,,,,,,,,,
27,Huskies,657.6042440000001,688.7825109999999,31.0,32.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,,,,,,,,,,True,,,,,,,,,,
28,Opponent4,688.7825109999999,747.1143350000003,13.0,55.0,42.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,
29,Opponent4,747.1143350000003,764.8176720000001,52.0,32.0,-20.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,True,True,,,,,,,,,,,,,
30,Opponent4,764.8176720000001,777.6616359999997,64.0,32.0,-32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,,,,,True,,,,,,,,
31,Opponent4,777.6616359999997,781.650224,39.0,44.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,
32,Huskies,781.650224,792.2863280000001,54.0,32.0,-22.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,True,,True,,,,,,,
33,Opponent4,792.2863280000001,819.174015,15.0,32.0,17.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,True,,True,,,,True,,,True,,,,,,,,
34,Opponent4,819.174015,896.7325970000003,61.0,32.0,-29.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,True,,,,,,,,,,,,,,
35,Opponent4,896.7325970000003,942.4697970000003,21.0,32.0,11.0,0.0,0.0,3.0,11.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,True,True,True,True,,True,True,,,,,,,,,,,
36,Opponent4,942.4697970000003,944.9932319999997,59.0,32.0,-27.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
37,Huskies,944.9932319999997,952.5551730000003,55.0,32.0,-23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
38,Huskies,952.5551730000003,1004.817588,71.0,82.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,True,,,,,
39,Opponent4,1004.817588,1007.4264220000001,64.0,57.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,,,
40,Huskies,1007.4264220000001,1054.187488,43.0,32.0,-11.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,True,,,,,
41,Opponent4,1054.187488,1069.1602819999996,6.0,32.0,26.0,2.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,True,,True,True,,,,,,,,,,,
42,Opponent4,1069.1602819999996,1125.5596670000002,60.0,32.0,-28.0,6.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,True,,,,,True,,,,,,,,
43,Huskies,1125.5596670000002,1175.2253570000005,59.0,32.0,-27.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
44,Huskies,1175.2253570000005,1196.4042959999995,72.0,55.0,-17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
45,Huskies,1196.4042959999995,1215.305182,68.0,32.0,-36.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,True,,,,
46,Huskies,1215.305182,1219.059166,74.0,32.0,-42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,True,,,,
47,Huskies,1219.059166,1227.629575,73.0,86.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
48,Huskies,1227.629575,1240.666827,85.0,92.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,
49,Huskies,1240.666827,1246.2526319999995,92.0,94.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,,True,,,,,
50,Opponent4,1246.2526319999995,1255.5281800000002,19.0,32.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,True,,,,,True,,,,,,,,
51,Huskies,1255.5281800000002,1266.2886440000002,19.0,32.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,True,,,,,
52,Opponent4,1266.2886440000002,1307.1586420000006,21.0,32.0,11.0,2.0,0.0,2.0,8.0,1.0,9.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,True,,True,,,,,,,,True,True,True,,,,True,,,True,,,,,,,,
53,Huskies,1307.1586420000006,1323.061041,11.0,32.0,21.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,
54,Opponent4,1323.061041,1367.3949780000005,31.0,32.0,1.0,0.0,0.0,5.0,11.0,4.0,21.0,0.0,1.0,7.0,11.0,3.0,2.0,1.0,1.0,0.0,True,True,True,,,,,,,,True,True,True,,True,True,,,,True,,,,,,,,
55,Huskies,1367.3949780000005,1371.1861529999996,27.0,32.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,,,True,,,,,
56,Opponent4,1371.1861529999996,1380.0944010000005,64.0,32.0,-32.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,True,,,,,True,,,,,,,,
57,Huskies,1380.0944010000005,1391.0596269999994,12.0,32.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
58,Opponent4,1391.0596269999994,1495.4504509999995,47.0,32.0,-15.0,4.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,True,True,True,,,True,,,,,,,,,,,,
59,Opponent4,1495.4504509999995,1508.1359199999995,86.0,32.0,-54.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,True,,,,,,,,True,,,,,,,,
60,Huskies,1508.1359199999995,1526.228841,8.0,59.0,51.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,,,,True,,,,
61,Huskies,1526.228841,1533.4108990000007,37.0,32.0,-5.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,
62,Opponent4,1533.4108990000007,1538.097788,41.0,37.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
63,Huskies,1538.097788,1551.8377650000002,38.0,32.0,-6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,True,,,,,,,,,,
64,Huskies,1551.8377650000002,1612.0849689999993,62.0,32.0,-30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,True,True,,,,
65,Opponent4,1612.0849689999993,1684.1882429999994,14.0,32.0,18.0,2.0,0.0,5.0,7.0,3.0,4.0,0.0,4.0,5.0,4.0,7.0,4.0,4.0,4.0,0.0,True,True,True,,,,,,,,True,True,True,,,True,True,,,,,,,,,,,
66,Opponent4,1684.1882429999994,1695.3825129999993,75.0,32.0,-43.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
67,Huskies,1695.3825129999993,1749.6093030000004,7.0,32.0,25.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
68,Opponent4,1749.6093030000004,1806.2632430000006,46.0,32.0,-14.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,True,,,
69,Opponent4,1806.2632430000006,1814.2507600000001,26.0,32.0,6.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,True,,True,,,,,,,,,,,,
70,Opponent4,1814.2507600000001,1822.0848400000007,54.0,32.0,-22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,
