,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent19_F1,Opponent19_D2,Huskies_M13,Huskies_M3,Huskies_M12,Huskies_D5,Huskies_D2,Huskies_G1,Opponent19_M4,Opponent19_G1,Opponent19_D3,Huskies_F5,Huskies_F6,Huskies_D7,Huskies_M6,Opponent19_M5,Opponent19_M3,Opponent19_M1,Opponent19_F2,Opponent19_D1,Opponent19_D4,Huskies_D6,Huskies_F2,Huskies_F4,Opponent19_M2,Opponent19_M6,Opponent19_D5
0,Opponent19,2.9765959999999723,8.503114999999982,50.0,26.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,8.503114999999982,21.106487000000016,35.0,47.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,21.106487000000016,31.071739999999863,76.0,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
3,Huskies,31.071739999999863,148.8418230000002,71.0,26.0,-45.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
4,Huskies,148.8418230000002,156.004551,14.0,30.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,,,
5,Opponent19,156.004551,179.84328400000004,62.0,26.0,-36.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,
6,Huskies,179.84328400000004,192.71375500000028,21.0,26.0,5.0,2.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,True,True,True,True,,,,,,,,,,,,
7,Huskies,192.71375500000028,212.50009,53.0,26.0,-27.0,3.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,True,True,,,,,,,,,,,,,
8,Opponent19,212.50009,230.4818420000001,23.0,26.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,True,True,True,,,,,,,,,
9,Opponent19,230.4818420000001,260.48457899999994,48.0,26.0,-22.0,3.0,0.0,3.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,,,,,True,True,,True,True,,,,,,,
10,Opponent19,260.48457899999994,291.75847299999987,62.0,26.0,-36.0,12.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,True,,True,True,,,,,,
11,Opponent19,291.75847299999987,302.79033299999986,54.0,26.0,-28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,
12,Huskies,302.79033299999986,304.9827610000002,42.0,57.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,,,,,,
13,Opponent19,304.9827610000002,341.0918139999999,39.0,26.0,-13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,True,,,,,,
14,Huskies,341.0918139999999,368.25936600000017,70.0,26.0,-44.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,True,,,,,,,True,,,,,
15,Huskies,368.25936600000017,386.46716599999985,31.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,,,,,,
16,Huskies,386.46716599999985,399.92312499999986,62.0,26.0,-36.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,True,,,,,
17,Opponent19,399.92312499999986,455.19897699999996,8.0,100.0,92.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,,,,,,,,
18,Huskies,455.19897699999996,457.42007299999983,58.0,64.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,,,,,,
19,Opponent19,457.42007299999983,469.30308899999994,30.0,26.0,-4.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,True,,,True,,,,,,,
20,Huskies,469.30308899999994,511.44217299999985,55.0,26.0,-29.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,True,,,,,,,,,,,,,,
21,Opponent19,511.44217299999985,532.0626790000001,29.0,26.0,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,True,,,,,,,,,,,,,,,,
22,Opponent19,532.0626790000001,551.995269,24.0,26.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,True,,,,,,,
23,Opponent19,551.995269,586.7743059999998,66.0,80.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,True,,,,,,,,,,
24,Huskies,586.7743059999998,620.206212,24.0,26.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,True,True,,,,,,,,True,,,,,
25,Opponent19,620.206212,622.3816179999999,15.0,73.0,58.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
26,Huskies,622.3816179999999,629.6082670000002,29.0,21.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,True,,,,,
27,Huskies,629.6082670000002,639.1969610000001,30.0,26.0,-4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,True,,,,,,,,,,,,
28,Opponent19,639.1969610000001,654.7983960000001,23.0,26.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,True,,,,True,,,,,,
29,Huskies,654.7983960000001,714.5001090000002,56.0,26.0,-30.0,9.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,True,True,True,,,,,,,,,,,,
30,Opponent19,714.5001090000002,722.9246240000003,67.0,26.0,-41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,True,,,,,,,,,,,
31,Huskies,722.9246240000003,995.187317,35.0,39.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
32,Huskies,995.187317,1046.790684,34.0,26.0,-8.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,True,True,,,,
33,Opponent19,1046.790684,1104.5905780000003,37.0,26.0,-11.0,4.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,True,,True,True,True,,,,,,,
34,Opponent19,1104.5905780000003,1126.7932,18.0,13.0,-5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,,
35,Opponent19,1126.7932,1145.4238770000004,48.0,26.0,-22.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,True,,,,,,
36,Huskies,1145.4238770000004,1173.0961310000002,23.0,26.0,3.0,0.0,0.0,2.0,3.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,True,,,,,,,,True,True,,,,
