,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_G1,Huskies_D3,Huskies_D5,Opponent10_M2,Opponent10_M3,Huskies_F4,Huskies_D8,Huskies_M4,Huskies_F2,Huskies_M1,Opponent10_M5,Opponent10_G1,Opponent10_M7,Opponent10_D5,Opponent10_F2,Opponent10_D3,Opponent10_D6,Opponent10_M6,Opponent10_F1,Huskies_M6
0,Huskies,2.1274910000000204,42.53000400000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,
1,Huskies,42.53000400000003,120.656881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
2,Opponent10,120.656881,122.091365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
3,Huskies,122.091365,128.55294700000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,,,,,,,,,,,
4,Opponent10,128.55294700000002,162.628419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
5,Huskies,162.628419,218.15236000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,
6,Huskies,218.15236000000004,229.285854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
7,Huskies,229.285854,252.339037,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,True,,True,True,,,,,,,,,,
8,Opponent10,252.339037,321.963634,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,True,True,True,True,,,,,
9,Opponent10,321.963634,398.849016,2.0,10.0,2.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,True,True,True,True,True,True,,
10,Huskies,398.849016,406.47760100000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
11,Opponent10,406.47760100000005,437.02783700000003,4.0,9.0,2.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,True,,True,True,True,True,
12,Huskies,437.02783700000003,456.689997,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,True,,,,,,,,,,,,,
13,Huskies,456.689997,487.387525,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,True,,,,,,,,,,,
14,Huskies,487.387525,491.920305,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,True,,,,,,,,,,,
15,Opponent10,491.920305,494.184602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,
16,Huskies,494.184602,510.469266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,
17,Opponent10,510.469266,573.539342,4.0,11.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,True,,,,,,,True,,True,True,,True,True,True,,
18,Opponent10,573.539342,663.183605,2.0,4.0,2.0,6.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,True,True,True,True,True,,True,,
19,Huskies,663.183605,667.982635,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,True
20,Opponent10,667.982635,684.8793469999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,True,,,,
21,Huskies,684.8793469999999,700.61776,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,True,,,True,,,,,,,,,,,
22,Huskies,700.61776,707.7472889999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,,True
23,Huskies,707.7472889999999,722.896814,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,True,,True,,,,,,,,,,,
24,Opponent10,722.896814,739.041561,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,True,,
25,Huskies,739.041561,785.4713979999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
26,Opponent10,785.4713979999998,826.594171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,
27,Opponent10,826.594171,830.0670050000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,,,True,
28,Huskies,830.0670050000001,833.7214899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,
29,Opponent10,833.7214899999999,885.5300990000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,True,,,True,,,,,True,
30,Huskies,885.5300990000002,916.203081,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,,,,,,,,,,,True
31,Opponent10,916.203081,954.599625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,
32,Huskies,954.599625,962.822232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,True
33,Opponent10,962.822232,976.7045710000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,
34,Huskies,976.7045710000001,1015.863366,1.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,True,,True,,True,,,,,True,,True,,,,,,,,,,
35,Huskies,1015.863366,1037.683224,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,True,True,,,,,,,,,,
36,Huskies,1037.683224,1098.622087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,True,,,,,,,,,,
37,Opponent10,1098.622087,1108.411327,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,True,True,,
38,Opponent10,1108.411327,1116.843907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,,
39,Huskies,1116.843907,1122.36834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
40,Opponent10,1122.36834,1152.134086,0.0,3.0,0.0,6.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,,,,,,True,True,,,,,,,,,True,,True,,True,,
41,Huskies,1152.134086,1241.73333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
42,Huskies,1241.73333,1254.169136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
43,Huskies,1254.169136,1292.909234,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,True,,True,,,,,,,,,,,
44,Opponent10,1292.909234,1320.35274,3.0,8.0,1.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,True,True,,
45,Opponent10,1320.35274,1325.0906630000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,
46,Huskies,1325.0906630000002,1379.858899,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,,,,,,,,,,,,True
47,Huskies,1379.858899,1384.191148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,,,,,,,,,,,
48,Opponent10,1384.191148,1433.458304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
