,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent10_M6,Opponent10_D5,Huskies_G1,Huskies_D8,Huskies_D3,Opponent10_M5,Opponent10_M7,Opponent10_M3,Opponent10_D6,Huskies_M1,Huskies_F2,Huskies_D1,Huskies_F6,Huskies_F4,Opponent10_F1,Opponent10_F2,Opponent10_M2,Opponent10_D3,Huskies_D5,Huskies_M6,Huskies_M4,Opponent10_G1,Opponent10_F4,Opponent10_F3,Opponent10_D4,Huskies_M3,Huskies_F1
0,Opponent10,2.9514570000001186,26.672086999999923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,26.672086999999923,47.92443899999989,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent10,47.92443899999989,81.8181679999998,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,True,True,True,,,,,,,,,,,,,,,,,,,
3,Opponent10,81.8181679999998,87.93009399999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,,,,,,,,,,,,,,,,,,
4,Huskies,87.93009399999983,143.6732280000001,4.0,9.0,3.0,7.0,0.0,1.0,4.0,1.0,6.0,2.0,1.0,1.0,0.0,,,,True,True,,,,,True,True,True,True,,,,,,,,,,,,,,
5,Huskies,143.6732280000001,147.51314000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,,
6,Huskies,147.51314000000005,158.4507950000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,True,,True,,,,,,,,,,,,,
7,Opponent10,158.4507950000002,168.70203700000005,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,True,,,,,,True,True,,,,,,,,,,,
8,Opponent10,168.70203700000005,192.55888499999992,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,True,True,True,,,,,,,,,
9,Opponent10,192.55888499999992,237.50412000000009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,,
10,Huskies,237.50412000000009,247.07773099999986,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,True,,,,,,,,
11,Huskies,247.07773099999986,251.55390100000028,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,True,,,,,,,
12,Opponent10,251.55390100000028,287.861398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,,,,,
13,Huskies,287.861398,296.2561719999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,,,,,,,
14,Opponent10,296.2561719999999,345.558059,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,True,True,True,,,,,,,,True,,,,,,,,,,,
15,Huskies,345.558059,353.8517860000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,,,,,,,True,,,,,,
16,Opponent10,353.8517860000002,390.50452700000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,,True,,,,,
17,Huskies,390.50452700000005,402.15977900000007,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,True,,,,,,,,
18,Huskies,402.15977900000007,434.33392899999984,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,True,True,,,,,,
19,Opponent10,434.33392899999984,439.58362900000014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,
20,Huskies,439.58362900000014,447.542676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,,,,,,
