,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_F4,Huskies_F6,Huskies_M3,Opponent9_M3,Opponent9_G1,Opponent9_D6,Opponent9_M2,Opponent9_D3,Opponent9_D2,Opponent9_M6,Opponent9_D5,Opponent9_F3,Opponent9_M1,Opponent5_M3,Huskies_D5,Huskies_D9,Huskies_M1,Huskies_D2,Huskies_D7,Huskies_D1,Huskies_M12,Huskies_G1
0,Huskies,1.512578999999988,8.398417999999992,50.0,43.0,-7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Opponent9,8.398417999999992,124.53202,38.0,43.0,5.0,11.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,,,,,,,,,,,,,,,
2,Opponent9,124.53202,145.463728,38.0,43.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,
3,Opponent9,145.463728,173.62771700000005,68.0,43.0,-25.0,0.0,0.0,3.0,14.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,True,True,True,True,,,,,,,,,,
4,Opponent9,173.62771700000005,237.52568,27.0,43.0,16.0,3.0,0.0,7.0,12.0,6.0,17.0,0.0,1.0,7.0,5.0,6.0,2.0,1.0,1.0,0.0,,,,True,True,True,True,True,,True,True,,True,,,,,,,,,
5,Opponent9,237.52568,240.473686,96.0,43.0,-53.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,True,True,,,,,,,,
6,Huskies,240.473686,254.529361,9.0,6.0,-3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,
7,Opponent9,254.529361,258.695967,85.0,43.0,-42.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,True,,,,,,,,,
8,Huskies,258.695967,261.873129,4.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,
9,Opponent9,261.873129,336.512756,65.0,70.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,
10,Opponent9,336.512756,409.455663,70.0,43.0,-27.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,True,,True,True,True,,,,,,,,
11,Huskies,409.455663,522.978264,97.0,43.0,-54.0,20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,,
12,Opponent9,522.978264,530.690918,40.0,43.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,True,,,,,,,,
13,Huskies,530.690918,536.364272,27.0,43.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,True,,,,
14,Opponent9,536.364272,597.1773019999999,36.0,43.0,7.0,5.0,1.0,1.0,6.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,True,,,True,,True,True,True,,,True,,,,,,,,
15,Huskies,597.1773019999999,617.595068,65.0,43.0,-22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,True,,,,,
16,Huskies,617.595068,644.1863900000001,52.0,43.0,-9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,True,,,True,,,
17,Huskies,644.1863900000001,648.628121,28.0,39.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,True,,
18,Huskies,648.628121,666.6331610000001,23.0,43.0,20.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,,,,,,,,True,,,
19,Huskies,666.6331610000001,729.865414,67.0,43.0,-24.0,7.0,1.0,3.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,True,True,True,,
20,Opponent9,729.865414,737.6811240000001,9.0,6.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,
21,Huskies,737.6811240000001,742.780822,50.0,43.0,-7.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,True,
22,Opponent9,742.780822,876.180384,26.0,43.0,17.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,True,,True,,,,,,,,,,
23,Huskies,876.180384,930.584599,40.0,43.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,True,,
24,Opponent9,930.584599,1002.121164,40.0,43.0,3.0,6.0,1.0,4.0,14.0,4.0,10.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,0.0,,,,True,,True,True,,True,,True,,True,True,,,,,,,,
25,Opponent9,1002.121164,1013.010764,40.0,43.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,True,True,,True,True,,,,,,,,
26,Opponent9,1013.010764,1018.390237,72.0,43.0,-29.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,True,True,,,,,,,,
27,Huskies,1018.390237,1021.889333,21.0,18.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,
28,Opponent9,1021.889333,1074.743025,75.0,43.0,-32.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,,,True,,True,,,,,,,,,
29,Huskies,1074.743025,1086.711422,26.0,43.0,17.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,True,,
30,Opponent9,1086.711422,1204.097704,22.0,43.0,21.0,3.0,1.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,,True,True,,True,,,,,,,,,
31,Huskies,1204.097704,1215.576843,33.0,5.0,-28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,True
