,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent9_M1,Opponent9_F3,Opponent9_M2,Opponent9_D6,Opponent9_G1,Huskies_D2,Huskies_F6,Huskies_M1,Huskies_M4,Opponent9_D4,Opponent9_D5,Opponent9_M3,Opponent9_D3,Opponent9_M6,Huskies_D7,Huskies_G1,Huskies_D5,Huskies_M3,Huskies_D9,Huskies_F4,Huskies_M12,Opponent5_M3,Huskies_F1,Opponent9_G2,Opponent9_M4,Huskies_F5
0,Opponent9,2.1449459999998908,15.83913100000018,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
1,Huskies,15.83913100000018,27.081415000000106,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,
2,Opponent9,27.081415000000106,56.78343700000005,3.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,True,True,,,,,True,True,True,True,,,,,,,,,,,,,
3,Huskies,56.78343700000005,96.43075399999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,,
4,Opponent9,96.43075399999998,102.77046999999992,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,True,,True,,,,,,,,,,,,,,
5,Opponent9,102.77046999999992,142.61277400000014,2.0,9.0,2.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,True,,True,,,,,,,True,,True,True,True,,,,,,,,,,,,
6,Huskies,142.61277400000014,210.65100699999996,3.0,9.0,3.0,8.0,0.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,True,True,True,True,True,,,,,,,
7,Huskies,210.65100699999996,331.7691789999999,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,True,True,,,,,
8,Huskies,331.7691789999999,343.70498099999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,
9,Huskies,343.70498099999986,390.072193,4.0,13.0,2.0,4.0,2.0,0.0,2.0,0.0,6.0,0.0,2.0,0.0,0.0,,,,,,True,True,True,,,,,,,,True,True,True,True,True,True,,,,,
10,Opponent9,390.072193,399.18748099999993,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,True,,,,,,,,,,,,
11,Huskies,399.18748099999993,497.95907500000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,True,,,,,,
12,Huskies,497.95907500000015,553.9639900000002,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,True,True,True,,True,,,,,
13,Huskies,553.9639900000002,560.8911830000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,True,,,,,
14,Opponent9,560.8911830000002,568.5798650000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,True,,True,,,,,,,,,,,,
15,Huskies,568.5798650000003,581.4728610000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,True,,,,,,,,
16,Opponent9,581.4728610000002,599.6570780000002,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,True,True,,True,,,,,,,,True,,,,
17,Huskies,599.6570780000002,612.1193739999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,True,,,,,
18,Huskies,612.1193739999999,618.2594339999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,,,,,
19,Opponent9,618.2594339999999,653.1037299999998,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,True,True,,,,,,,,True,,,,
20,Huskies,653.1037299999998,661.5396509999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,True,,,,,
21,Opponent9,661.5396509999999,667.0368600000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,True,True,,,,,,,,,,,,,,
22,Huskies,667.0368600000003,690.4721800000003,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,True,True,True,True,True,,,,,,,
23,Opponent9,690.4721800000003,696.9689210000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,,,,,
24,Opponent9,696.9689210000001,799.0874150000001,8.0,19.0,3.0,9.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,,,,,,True,True,True,True,True,,,,,,,,True,,,,
25,Huskies,799.0874150000001,826.0597739999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,,,,,
26,Opponent9,826.0597739999997,831.7992979999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,,,,,,,,,,,
27,Huskies,831.7992979999998,850.7259530000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,True,True,,True,True,,,,,
28,Huskies,850.7259530000001,962.3488189999997,6.0,21.0,1.0,9.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,,,,,True,,True,True,True,True,True,,,,,
29,Huskies,962.3488189999997,966.4283199999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,True,,,,,,,
