,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Opponent12_D5,Opponent12_D2,Huskies_F4,Huskies_D5,Huskies_M1,Huskies_D8,Opponent12_F2,Opponent12_M2,Opponent12_M4,Huskies_F2,Opponent12_G2,Huskies_D9,Huskies_M4,Opponent12_D6,Opponent12_M3,Huskies_G1,Huskies_M6,Opponent12_F1,Opponent12_M5,Opponent12_D7,Huskies_D2
0,Huskies,1.4956039999999857,39.16937899999999,50.0,36.0,-14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,
1,Opponent12,39.16937899999999,106.84338100000002,29.0,36.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,
2,Huskies,106.84338100000002,142.45638300000005,62.0,75.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,
3,Huskies,142.45638300000005,192.28901499999998,62.0,36.0,-26.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,
4,Huskies,192.28901499999998,195.33570200000003,66.0,75.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,,
5,Opponent12,195.33570200000003,234.081712,33.0,22.0,-11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,
6,Opponent12,234.081712,236.826512,54.0,60.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,,,,
7,Huskies,236.826512,357.09069900000003,36.0,76.0,40.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,,
8,Opponent12,357.09069900000003,365.254263,17.0,72.0,55.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,
9,Opponent12,365.254263,371.006202,48.0,62.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,,
10,Huskies,371.006202,428.453724,38.0,36.0,-2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,True,True,,,,,,,,
11,Huskies,428.453724,435.583707,27.0,63.0,36.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,,,,,
12,Opponent12,435.583707,448.30979299999996,43.0,36.0,-7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,True,,,,,True,True,,,,,,
13,Huskies,448.30979299999996,488.021014,38.0,16.0,-22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,,
14,Huskies,488.021014,509.249462,31.0,36.0,5.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,,,,,,,,,,,,
15,Huskies,509.249462,560.4520809999999,59.0,36.0,-23.0,6.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,True,,,,True,,,,
16,Huskies,560.4520809999999,566.750433,8.0,36.0,28.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,True,,,,True,,,,
17,Opponent12,566.750433,582.939609,38.0,46.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,True,,,,,,,
18,Opponent12,582.939609,588.2130480000001,71.0,84.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,,,,,,,,,,
19,Huskies,588.2130480000001,609.4076980000001,25.0,38.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,,
20,Huskies,609.4076980000001,641.373179,35.0,60.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,
21,Huskies,641.373179,665.25995,83.0,80.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,,
22,Huskies,665.25995,668.596327,55.0,36.0,-19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,True,,,,,,,,,,,
23,Opponent12,668.596327,677.905539,43.0,47.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,
24,Huskies,677.905539,702.690819,62.0,89.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,,
25,Huskies,702.690819,714.039167,73.0,36.0,-37.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,True,,,,
26,Opponent12,714.039167,734.1425429999999,29.0,36.0,7.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,True,,,True,,,
27,Opponent12,734.1425429999999,778.396227,92.0,72.0,-20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,
28,Huskies,778.396227,804.112283,7.0,36.0,29.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,True,True,,,,True,,,,,,,,,,,
