,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_F4,Huskies_F6,Huskies_M6,Opponent11_M5,Opponent11_D2,Huskies_D7,Opponent11_D5,Opponent11_F1,Opponent11_M2,Opponent11_G2,Opponent11_D7,Opponent11_D6,Opponent11_F5,Huskies_M1,Huskies_M4,Opponent11_F4,Opponent11_M6,Huskies_G1,Huskies_D5,Huskies_F2,Huskies_D1
0,Huskies,4.729615000000023,11.49466799999999,49.0,33.0,-16.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Huskies,11.49466799999999,14.404391999999973,74.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,
2,Huskies,14.404391999999973,16.04607900000002,76.0,80.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
3,Opponent11,16.04607900000002,21.094107000000008,30.0,22.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
4,Huskies,21.094107000000008,26.63393400000001,35.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,
5,Opponent11,26.63393400000001,61.04209500000002,30.0,33.0,3.0,2.0,0.0,1.0,4.0,1.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,True,True,True,True,,,,,,,,,,
6,Opponent11,61.04209500000002,94.72238299999998,44.0,33.0,-11.0,4.0,0.0,0.0,6.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,True,True,,,,,,,,,
7,Opponent11,94.72238299999998,133.88674600000002,43.0,33.0,-10.0,5.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,True,,,,,,,,,,,,
8,Opponent11,133.88674600000002,253.318988,75.0,33.0,-42.0,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,True,,True,,True,,,,True,,,,,,,,
9,Huskies,253.318988,263.761722,43.0,54.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,True,,,,,,,
10,Huskies,263.761722,268.45864099999994,32.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,True,,,,,,,
11,Opponent11,268.45864099999994,269.641877,23.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,
12,Huskies,269.641877,274.656381,73.0,76.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
13,Opponent11,274.656381,357.56071999999995,31.0,33.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,True,True,,,,
14,Opponent11,357.56071999999995,386.769956,40.0,33.0,-7.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,
15,Huskies,386.769956,397.533952,35.0,30.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,
16,Opponent11,397.533952,467.923062,78.0,33.0,-45.0,5.0,0.0,4.0,12.0,2.0,6.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,True,True,,True,True,True,True,True,True,,,,,,,,,
17,Opponent11,467.923062,474.15178499999996,54.0,33.0,-21.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,True,True,,,,
18,Huskies,474.15178499999996,506.579708,13.0,6.0,-7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,
