,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent11_D7,Opponent11_M5,Opponent11_F1,Opponent11_F4,Opponent11_M6,Opponent11_M2,Huskies_D7,Huskies_F4,Huskies_F6,Opponent11_D5,Opponent11_D2,Huskies_M1,Huskies_F2,Huskies_D2,Huskies_D1,Huskies_D5,Huskies_M4,Opponent11_F5,Opponent11_D6,Huskies_M6,Huskies_G1,Huskies_F5,Opponent11_D1,Opponent11_F3,Opponent11_M3,Opponent11_G2,Huskies_F1,Huskies_M12
0,Opponent11,3.0402340000000554,13.064858000000186,49.0,31.0,-18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent11,13.064858000000186,21.631064000000148,60.0,31.0,-29.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,21.631064000000148,26.694977999999992,12.0,31.0,19.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,
3,Opponent11,26.694977999999992,44.649808000000114,44.0,31.0,-13.0,3.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,True,True,,,,,,,,,,,,,,,,,
4,Huskies,44.649808000000114,56.32652700000017,55.0,31.0,-24.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
5,Opponent11,56.32652700000017,58.393301999999956,35.0,26.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,
6,Huskies,58.393301999999956,68.11200899999993,31.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,True,,,,,,,,,,,,,
7,Opponent11,68.11200899999993,210.80781299999992,45.0,31.0,-14.0,19.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,
8,Huskies,210.80781299999992,289.81846799999994,21.0,31.0,10.0,4.0,0.0,9.0,17.0,3.0,10.0,1.0,1.0,5.0,1.0,6.0,2.0,1.0,1.0,0.0,,,,,,,True,,True,,,True,True,True,True,True,True,,,,,,,,,,,
9,Opponent11,289.81846799999994,330.4601330000001,22.0,24.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,,,,
