,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_F6,Huskies_M8,Opponent7_D3,Huskies_M1,Huskies_D5,Huskies_F1,Huskies_M6,Huskies_F5,Huskies_D1,Opponent7_G1,Opponent7_D4,Opponent7_M2,Opponent7_D1,Opponent7_D2,Huskies_M4,Opponent7_F1,Opponent7_M6,Opponent7_F2,Opponent7_M7,Huskies_D8,Huskies_G1,Huskies_F2,Huskies_F4,Huskies_M12
0,Huskies,1.922169999999824,6.997923999999784,50.0,35.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent7,6.997923999999784,15.74211299999979,16.0,23.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,
2,Huskies,15.74211299999979,37.74181499999986,39.0,35.0,-4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,,,,,,,,,,
3,Huskies,37.74181499999986,58.60573999999997,58.0,35.0,-23.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,,,,
4,Huskies,58.60573999999997,64.64477299999999,32.0,34.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,,,,,
5,Huskies,64.64477299999999,126.28622399999996,41.0,74.0,33.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,
6,Opponent7,126.28622399999996,139.33938500000022,44.0,13.0,-31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,
7,Opponent7,139.33938500000022,241.59655900000007,34.0,35.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,,,,,,,,
8,Huskies,241.59655900000007,248.44857099999993,47.0,46.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,,,,
9,Huskies,248.44857099999993,275.18879100000004,32.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,True,,,,,,,,,,,,,,,
10,Opponent7,275.18879100000004,289.166753,57.0,35.0,-22.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,True,,,,,,,,
11,Huskies,289.166753,294.54964599999994,30.0,39.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,,,,
12,Opponent7,294.54964599999994,315.0568979999998,45.0,35.0,-10.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,True,,,True,,,,,,,
13,Opponent7,315.0568979999998,345.38966100000016,51.0,57.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,
