,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F2,Huskies_D2,Huskies_G1,Huskies_D1,Huskies_F1,Huskies_M1,Huskies_M3,Opponent2_G1,Opponent2_D2,Opponent2_M3,Opponent2_D4,Opponent2_F3,Opponent2_M4,Opponent2_D3,Opponent2_F2,Huskies_D6,Opponent2_M2,Huskies_M4,Opponent2_M1,Huskies_D4,Huskies_M2,Huskies_M6,Opponent2_D5,Opponent2_M5,Huskies_M7
0,Huskies,0.4861660000001393,36.51082700000006,50.0,33.0,-17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,36.51082700000006,53.07638899999985,34.0,33.0,-1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,,,,,,,,,,,,,,,,,,
2,Huskies,53.07638899999985,58.280303,62.0,93.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,
3,Huskies,58.280303,71.7558650000001,38.0,33.0,-5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,True,,,,,,,,,,,,,,,,,,
4,Huskies,71.7558650000001,108.55161899999985,37.0,33.0,-4.0,4.0,0.0,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,True,,True,,,,,,,,,,,,,,,,,,,
5,Opponent2,108.55161899999985,144.49569699999984,48.0,33.0,-15.0,2.0,0.0,3.0,10.0,2.0,7.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,,,,True,True,True,True,True,True,True,,,,,,,,,,,
6,Opponent2,144.49569699999984,157.85956100000018,56.0,82.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,
7,Huskies,157.85956100000018,189.58258400000025,28.0,33.0,5.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,True,,,,,,,,,,True,,,,,,,,,
8,Opponent2,189.58258400000025,209.0768079999998,10.0,33.0,23.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,,,,,,,,,,,,,,
9,Opponent2,209.0768079999998,255.54932999999986,13.0,33.0,20.0,0.0,0.0,4.0,5.0,5.0,9.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,True,True,,True,,,,,,,,
10,Huskies,255.54932999999986,273.3450819999998,36.0,33.0,-3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,,,,,,,,,True,,,,,,,
11,Opponent2,273.3450819999998,343.39766999999983,14.0,33.0,19.0,6.0,1.0,5.0,14.0,2.0,9.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,True,True,,True,,True,,,,,,
12,Opponent2,343.39766999999983,410.81030300000015,74.0,33.0,-41.0,2.0,0.0,4.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,True,True,True,,,,True,,True,,,,,,
13,Opponent2,410.81030300000015,411.9131590000002,76.0,10.0,-66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,,,,,,,
14,Opponent2,411.9131590000002,420.8582569999999,78.0,33.0,-45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,,,,,
15,Huskies,420.8582569999999,426.09669200000013,13.0,91.0,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,
16,Opponent2,426.09669200000013,435.998963,70.0,90.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,
17,Huskies,435.998963,456.22289000000006,29.0,31.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,,,
18,Opponent2,456.22289000000006,476.35756499999985,24.0,33.0,9.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,True,,,,,,True,,,,,,
19,Huskies,476.35756499999985,484.9601969999998,19.0,6.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,,
20,Opponent2,484.9601969999998,519.8674110000002,36.0,33.0,-3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,,,,,,True,,,,,,
21,Opponent2,519.8674110000002,544.6587079999998,66.0,33.0,-33.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,True,,True,,,,,,
22,Huskies,544.6587079999998,585.3209550000001,17.0,33.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,,True,,,,,,,,,,,,,,,,,,,
23,Opponent2,585.3209550000001,604.0958930000003,56.0,33.0,-23.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,True,,True,,True,,True,,,,,,
24,Huskies,604.0958930000003,621.0604939999997,24.0,33.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,True,,,,,
25,Opponent2,621.0604939999997,627.88994,91.0,33.0,-58.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,,True,,,,,,,,,,
26,Opponent2,627.88994,642.8083929999998,72.0,75.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,
27,Opponent2,642.8083929999998,672.0070360000001,21.0,33.0,12.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,True,,True,,,,True,,True,,,,,,
28,Opponent2,672.0070360000001,831.641052,64.0,33.0,-31.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,True,,,,,,
29,Opponent2,831.641052,851.9270099999999,13.0,33.0,20.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,True,,,,,,,,,,,
30,Huskies,851.9270099999999,872.379778,37.0,33.0,-4.0,1.0,0.0,2.0,4.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,True,True,,True,True,,,True,,,,,,,,,,,,,True,,,,,
31,Opponent2,872.379778,962.6357320000003,24.0,33.0,9.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,,,True,,,,,True,,,,,,
32,Huskies,962.6357320000003,1001.6041449999997,69.0,33.0,-36.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,,True,,,,,
33,Huskies,1001.6041449999997,1024.999288,61.0,54.0,-7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,,,
34,Huskies,1024.999288,1029.7706199999998,76.0,80.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,,,
35,Huskies,1029.7706199999998,1114.929893,73.0,33.0,-40.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,,True,,True,,,
36,Opponent2,1114.929893,1133.9761910000002,25.0,33.0,8.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,,True,,,,,,,,
37,Opponent2,1133.9761910000002,1145.0042749999998,75.0,33.0,-42.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,True,,,,,,
38,Opponent2,1145.0042749999998,1146.583927,76.0,74.0,-2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,,,,,
39,Huskies,1146.583927,1197.9284429999998,32.0,33.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,,True,,,
40,Huskies,1197.9284429999998,1217.6058169999994,37.0,33.0,-4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,True,,,,,,,,,,,,,,,,,,,
41,Huskies,1217.6058169999994,1240.349862,29.0,70.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,,,,,
42,Opponent2,1240.349862,1262.864606,23.0,33.0,10.0,0.0,0.0,1.0,6.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,True,True,,,,,,,,,,True,,
