,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_F5,Huskies_D8,Huskies_M4,Opponent8_D6,Opponent8_M1,Opponent8_F2,Huskies_D4,Huskies_M12,Huskies_M6,Opponent8_M5,Opponent8_D3,Opponent8_D7,Huskies_F2,Huskies_G1,Huskies_D3,Opponent8_M2,Opponent8_D2,Opponent8_M6,Opponent8_G1,Opponent8_F1
0,Huskies,3.2418700000000067,55.68306200000001,50.0,30.0,-20.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Huskies,55.68306200000001,61.18418199999999,35.0,30.0,-5.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,,,,,,,,,,,,
2,Opponent8,61.18418199999999,67.35488199999999,36.0,30.0,-6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,
3,Huskies,67.35488199999999,140.778165,35.0,30.0,-5.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,,,,,,,,,,,
4,Opponent8,140.778165,146.55417,32.0,30.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,
5,Huskies,146.55417,185.577919,71.0,73.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,
6,Huskies,185.577919,193.889739,64.0,53.0,-11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,
7,Huskies,193.889739,234.493152,85.0,94.0,9.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
8,Opponent8,234.493152,274.653299,38.0,34.0,-4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
9,Huskies,274.653299,327.932245,17.0,63.0,46.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,
