,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent8_M5,Opponent8_M6,Opponent8_D6,Opponent8_F1,Opponent8_M1,Opponent8_G1,Opponent8_D3,Opponent8_D2,Huskies_G1,Huskies_D8,Opponent8_M2,Huskies_D4,Huskies_F2,Huskies_M4,Huskies_D3,Huskies_F6,Opponent8_F2,Opponent8_D7,Huskies_F5,Huskies_M6,Huskies_D1,Huskies_M12,Huskies_F1,Opponent8_F5,Huskies_D6,Opponent8_F4,Huskies_M2,Opponent8_D4
0,Opponent8,5.225039999999809,8.70507600000019,50.0,38.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent8,8.70507600000019,20.93152999999984,68.0,38.0,-30.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent8,20.93152999999984,30.764760000000024,31.0,38.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,30.764760000000024,62.83280100000002,20.0,3.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
4,Opponent8,62.83280100000002,73.55028799999991,92.0,87.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,
5,Opponent8,73.55028799999991,87.72057300000006,55.0,38.0,-17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
6,Huskies,87.72057300000006,147.3717019999999,24.0,38.0,14.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,True,True,True,True,,,,,,,,,,,,
7,Opponent8,147.3717019999999,183.81990600000015,26.0,10.0,-16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
8,Huskies,183.81990600000015,187.51953599999982,8.0,10.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
9,Opponent8,187.51953599999982,205.56403700000007,89.0,38.0,-51.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,True,,,,,,,,,,True,True,,,,,,,,,,
10,Opponent8,205.56403700000007,211.969486,78.0,38.0,-40.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,True,,,,,,,,,,
11,Huskies,211.969486,224.01040099999997,29.0,38.0,9.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,True,,,,,,,,,
12,Opponent8,224.01040099999997,255.48420200000007,17.0,38.0,21.0,6.0,0.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,,,True,True,,,,,,True,,,,,,True,True,,,,,,,,,,
13,Opponent8,255.48420200000007,300.6009399999998,71.0,38.0,-33.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,,,,,,True,,,,,,,,,,,
14,Huskies,300.6009399999998,315.7712820000002,59.0,51.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
15,Opponent8,315.7712820000002,341.7147460000001,12.0,71.0,59.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,
16,Huskies,341.7147460000001,392.73385000000013,47.0,38.0,-9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,True,,,,,,,,,
17,Huskies,392.73385000000013,438.03791399999994,46.0,43.0,-3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,,True,,,,,,,,
18,Opponent8,438.03791399999994,442.2993940000002,76.0,74.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,
19,Huskies,442.2993940000002,470.48598499999986,25.0,23.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,
20,Huskies,470.48598499999986,473.737893,23.0,39.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,,,,,,,
21,Opponent8,473.737893,509.2125740000001,56.0,70.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,
22,Huskies,509.2125740000001,528.7324819999999,77.0,89.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,,True,,,,,,,
23,Opponent8,528.7324819999999,540.9451279999998,30.0,9.0,-21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,
24,Opponent8,540.9451279999998,666.5658520000002,34.0,38.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
25,Huskies,666.5658520000002,707.9034510000001,70.0,38.0,-32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,
26,Huskies,707.9034510000001,726.4475670000003,39.0,38.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,True,,,True,,,,,,
27,Opponent8,726.4475670000003,742.9455079999997,11.0,38.0,27.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
28,Opponent8,742.9455079999997,772.220773,74.0,38.0,-36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,
29,Huskies,772.220773,775.512796,29.0,47.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,True,,,,,,,,,
30,Opponent8,775.512796,800.5367799999998,55.0,41.0,-14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,True,,,,,,,,,,
