,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent1_M3,Opponent1_M4,Huskies_D8,Huskies_M1,Huskies_G1,Huskies_D3,Huskies_F2,Huskies_D4,Huskies_D1,Opponent1_M2,Opponent1_D5,Opponent1_M5,Opponent1_D6,Opponent1_G1,Opponent1_D3,Huskies_M4,Huskies_F5,Opponent1_D4,Opponent1_F4,Opponent1_M6,Huskies_F6,Huskies_M12
0,Opponent1,1.532848000000001,5.3629740000000075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,5.3629740000000075,42.20871,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,
2,Huskies,42.20871,78.61244300000001,4.0,7.0,4.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,True,True,True,,,,,,,,,,,,,
3,Opponent1,78.61244300000001,88.80139,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,True,,,,,,,,,,,,
4,Huskies,88.80139,118.04526299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
5,Opponent1,118.04526299999998,182.811136,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,True,,,,,,,,,,,
6,Opponent1,182.811136,283.492543,2.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,True,,True,True,True,True,,,,,,,
7,Huskies,283.492543,287.42919700000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,True,,,,,,,,,,,,,
8,Opponent1,287.42919700000004,291.96609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,,,,,,,,,,
9,Huskies,291.96609,313.097277,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,True,,,,,,,,,,,,,
10,Huskies,313.097277,346.073977,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,True,True,,,,,,,True,,,,,,
11,Huskies,346.073977,441.551337,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,True,True,,,,,,,,,True,,,,,
12,Huskies,441.551337,490.05036800000005,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,,True,,,,,,,,True,,,,,
