,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_F2,Huskies_D8,Huskies_D4,Huskies_M1,Huskies_F5,Huskies_M4,Opponent1_G1,Opponent1_F4,Opponent1_M4,Huskies_D3,Opponent1_D3,Huskies_G1,Opponent1_M2,Opponent1_M3,Opponent1_M6,Huskies_M12,Opponent1_D5,Opponent1_D6,Opponent1_D4,Huskies_F1,Opponent1_F1,Opponent1_F6,Huskies_M3,Huskies_D6
0,Huskies,1.4384820000000218,25.50361000000021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,25.50361000000021,45.08437800000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,45.08437800000002,60.84353199999987,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
3,Huskies,60.84353199999987,86.79333399999996,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,,,,,,,,,,,,,,,,,,
4,Opponent1,86.79333399999996,104.51369999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,
5,Opponent1,104.51369999999996,109.50055100000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,
6,Huskies,109.50055100000007,117.23705599999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,True,,,,,,,,,,,,,,
7,Opponent1,117.23705599999994,126.78444099999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,True,,,,,,,,,,,,,
8,Huskies,126.78444099999979,152.23021800000015,0.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,True,,,,,,True,,,,,,,,,,,,
9,Opponent1,152.23021800000015,176.82480600000008,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,,,,,,
10,Huskies,176.82480600000008,348.83911200000017,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,True,,,,True,,,,,,True,,,,,,,,
11,Huskies,348.83911200000017,367.66068600000017,0.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,True,True,True,,,,,,,,True,,,,,,,,,,,,
12,Opponent1,367.66068600000017,395.6361379999999,2.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,True,True,,,True,True,True,,,,,
13,Opponent1,395.6361379999999,463.09201200000007,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,,,,True,,,,,
14,Opponent1,463.09201200000007,469.54163000000017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,,,,,,,,,,
15,Huskies,469.54163000000017,496.215541,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,True,,,,,,,,
16,Huskies,496.215541,524.1499399999999,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,True,,,,,,True,,True,,,,,,,,,,,,
17,Opponent1,524.1499399999999,532.8502020000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,,,,,,
18,Huskies,532.8502020000002,568.7289019999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,,,,True,,True,,,,,,,,,,,,
19,Opponent1,568.7289019999997,590.5438170000002,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,True,True,,True,,,,,,,
20,Huskies,590.5438170000002,621.7625710000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True,,,,
21,Huskies,621.7625710000002,672.5841369999998,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,True,,,,,,,,
22,Opponent1,672.5841369999998,687.3653939999998,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,True,True,,,,,,,,,,
