,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F6,Opponent2_F1,Opponent2_D6,Opponent2_D4,Opponent2_M4,Huskies_D4,Huskies_F2,Huskies_D1,Huskies_F5,Opponent2_M1,Opponent2_D2,Opponent2_M3,Opponent2_G1,Opponent2_M2,Opponent2_D1,Huskies_F1,Opponent2_F3,Huskies_D8,Huskies_M12,Huskies_G1,Huskies_M3
0,Huskies,2.6916180000000054,27.139152999999997,50.0,36.0,-14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent2,27.139152999999997,35.973791999999996,35.0,36.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,
2,Huskies,35.973791999999996,59.26233400000001,23.0,36.0,13.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,,,,,,,,,,,,
3,Opponent2,59.26233400000001,91.844,24.0,36.0,12.0,0.0,0.0,3.0,1.0,3.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,True,True,,,,,,,,,
4,Opponent2,91.844,157.183565,39.0,36.0,-3.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,True,,True,,,,,,,,,
5,Opponent2,157.183565,187.500087,12.0,36.0,24.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,True,,True,True,True,,,,,,,
6,Opponent2,187.500087,202.61395,89.0,36.0,-53.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,True,,,,True,,,,,,
7,Opponent2,202.61395,205.320854,87.0,83.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
8,Huskies,205.320854,210.72227,8.0,19.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,
9,Opponent2,210.72227,228.302479,46.0,36.0,-10.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,True,,,,,,
10,Opponent2,228.302479,312.930234,78.0,36.0,-42.0,3.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,True,,,True,,,,
11,Huskies,312.930234,323.543933,72.0,36.0,-36.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,True,,,,,,,,,,,,True,,,
12,Opponent2,323.543933,392.817456,20.0,36.0,16.0,1.0,0.0,8.0,15.0,9.0,23.0,1.0,2.0,10.0,10.0,6.0,4.0,2.0,2.0,6.0,,,True,True,True,True,,,,,True,True,True,,True,,,,,,,
13,Opponent2,392.817456,443.47615800000005,42.0,36.0,-6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,True,,,,,,,,,
14,Opponent2,443.47615800000005,512.7605990000001,30.0,36.0,6.0,8.0,0.0,6.0,12.0,2.0,8.0,0.0,2.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,True,True,,,True,,,,,,,
15,Huskies,512.7605990000001,554.183675,44.0,51.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,,,,,,,,,,,
16,Opponent2,554.183675,567.652273,24.0,33.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,True,,,,,,,,,
17,Huskies,567.652273,652.106975,54.0,36.0,-18.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,
