,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent2_F1,Opponent2_D2,Opponent2_D4,Opponent2_M1,Opponent2_M4,Huskies_F6,Huskies_F2,Huskies_D8,Huskies_D3,Opponent2_M3,Opponent2_D1,Opponent2_M2,Opponent2_F3,Opponent2_D6,Huskies_M3,Huskies_F5,Huskies_M12,Opponent2_G1,Huskies_F1,Huskies_G1,Huskies_M4,Huskies_D4,Huskies_D1,Opponent2_M5,Huskies_M11,Opponent2_M6,Huskies_F4,Opponent2_D5
0,Opponent2,5.223965000000135,45.12025399999993,0.0,9.0,2.0,6.0,0.0,0.0,3.0,0.0,4.0,2.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent2,45.12025399999993,64.5760879999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,64.5760879999998,74.58397999999987,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,
3,Opponent2,74.58397999999987,163.53798199999986,6.0,15.0,6.0,18.0,0.0,0.0,6.0,8.0,7.0,2.0,0.0,0.0,0.0,True,True,True,True,True,,,,,True,True,True,True,,,,,,,,,,,,,,,
4,Opponent2,163.53798199999986,175.16400199999995,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,True,,True,,True,,,,,,,,,,,,,,
5,Huskies,175.16400199999995,197.98052300000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
6,Huskies,197.98052300000015,242.95693200000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,,,,,,,,,,
7,Huskies,242.95693200000005,290.7725650000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,
8,Opponent2,290.7725650000002,320.3573809999998,3.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,True,True,,True,,,,True,,,,,,,,,,
9,Opponent2,320.3573809999998,352.99726199999986,2.0,8.0,3.0,5.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,,,True,True,True,,,,,,True,,True,True,,,,,,,,,,,,,,
10,Opponent2,352.99726199999986,385.06310399999984,4.0,8.0,3.0,11.0,0.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,0.0,True,,,True,True,,,,,True,True,True,True,,,,,,,,,,,,,,,
11,Opponent2,385.06310399999984,439.40045800000007,4.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,True,True,,,,,,True,,,,,,,,,,
12,Opponent2,439.40045800000007,494.44339099999985,8.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,,,True,True,True,True,,,,,,,,,,,,,,
13,Huskies,494.44339099999985,525.9815800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,
14,Opponent2,525.9815800000001,645.2686440000002,12.0,25.0,8.0,20.0,2.0,3.0,11.0,3.0,14.0,3.0,3.0,1.0,0.0,,True,True,True,True,,,,,True,True,True,,True,,,,,,,,,,,,,,
15,Opponent2,645.2686440000002,651.3650240000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,
16,Opponent2,651.3650240000002,700.3851940000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,True,,,,,,,,,,,,,,,,
17,Opponent2,700.3851940000001,703.724964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,
18,Opponent2,703.724964,747.597788,7.0,13.0,6.0,17.0,0.0,1.0,7.0,7.0,6.0,2.0,1.0,1.0,0.0,,True,True,True,True,,,,,,True,True,True,,,,,True,,,,,,,,,,
19,Opponent2,747.597788,794.4254489999997,2.0,2.0,2.0,22.0,0.0,1.0,3.0,19.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,True,,,,,,,,True,True,,,,True,,,,,,,,,,
20,Opponent2,794.4254489999997,840.0492629999999,4.0,6.0,4.0,12.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,6.0,True,,,True,True,,,,,True,,True,True,True,,,,,,,,,,,,,,
21,Opponent2,840.0492629999999,885.2253999999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,True,,,,,,,,,,,,,,,,,
22,Opponent2,885.2253999999997,897.8550930000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,True,,,,,,,,,,,,,,,,
23,Opponent2,897.8550930000001,975.9995970000001,6.0,15.0,3.0,11.0,2.0,0.0,4.0,2.0,5.0,1.0,2.0,0.0,0.0,,True,True,True,True,,,,,,,True,True,,,,,True,,,,,,,,,,
24,Opponent2,975.9995970000001,1007.9300159999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,True,,,,,,,,,,,,,,
25,Opponent2,1007.9300159999997,1016.803667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,
26,Huskies,1016.803667,1020.9643130000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,
27,Opponent2,1020.9643130000001,1025.8686710000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,True,,,,,,,,,,,,,,
28,Huskies,1025.8686710000004,1033.8116400000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,
29,Huskies,1033.8116400000001,1090.057645,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,True,,True,,,,,,,
30,Opponent2,1090.057645,1144.0993479999995,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,True,,True,True,,,,True,,,,,,,,,,
31,Opponent2,1144.0993479999995,1252.302036,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,,,,,,,,,,,,,,,,
32,Huskies,1252.302036,1258.6333809999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,,,,,,,
33,Huskies,1258.6333809999996,1263.30278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,
34,Opponent2,1263.30278,1267.9272110000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,
35,Huskies,1267.9272110000004,1283.6907279999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,
36,Huskies,1283.6907279999996,1292.8698160000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,True,True,,,,,
37,Huskies,1292.8698160000004,1297.283988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True,,,,,,
38,Opponent2,1297.283988,1305.3366800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
39,Opponent2,1305.3366800000006,1475.806783,19.0,25.0,19.0,62.0,4.0,5.0,20.0,37.0,13.0,9.0,7.0,5.0,18.0,True,True,True,True,True,,,,,True,,True,,True,,,,True,,,,,,True,,,,
40,Huskies,1475.806783,1484.6104830000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,,,,,
41,Huskies,1484.6104830000006,1494.971308,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,,
42,Huskies,1494.971308,1509.4270880000006,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,,,True,,True,,,,,,
43,Opponent2,1509.4270880000006,1542.8575460000004,5.0,12.0,3.0,12.0,0.0,4.0,7.0,2.0,5.0,2.0,2.0,2.0,0.0,True,True,True,True,True,,,,,True,True,,,,,,,,,,,,,True,,,,
44,Huskies,1542.8575460000004,1546.9904490000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,,,,
45,Opponent2,1546.9904490000001,1601.9512020000002,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,,True,,,,,,,,,,,,,,
46,Opponent2,1601.9512020000002,1618.303895,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,,,,,True,,,,,,,,,,True,,,,
47,Opponent2,1618.303895,1710.0281349999993,6.0,12.0,7.0,31.0,0.0,1.0,9.0,17.0,3.0,2.0,1.0,1.0,6.0,,True,True,True,True,,,,,,True,True,,True,,,,,,,,,,True,,,,
48,Opponent2,1710.0281349999993,1785.6234120000001,3.0,3.0,3.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,True,,,,,,,True,,,,,,True,,,,
49,Huskies,1785.6234120000001,1808.560898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,,,,True,,,
50,Opponent2,1808.560898,1881.268319,13.0,24.0,12.0,21.0,2.0,6.0,16.0,6.0,16.0,7.0,6.0,4.0,0.0,,True,True,True,True,,,,,True,,True,,True,,,,,,,,,,True,,,,
51,Huskies,1881.268319,1930.926463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,True,,,,,,,,
52,Opponent2,1930.926463,1943.2678050000006,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,True,,,True,,,,,,,,,,,,True,,
53,Huskies,1943.2678050000006,1953.8624040000007,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,True,True,,,,,,
54,Opponent2,1953.8624040000007,2086.207112,8.0,23.0,8.0,20.0,4.0,3.0,14.0,5.0,13.0,5.0,5.0,3.0,0.0,,True,True,True,,,,,,,,True,,True,,,,,,,,,,True,,True,,
55,Huskies,2086.207112,2126.861275,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,True,True,True,,,,,
56,Opponent2,2126.861275,2242.32798,20.0,35.0,18.0,48.0,4.0,8.0,27.0,22.0,14.0,10.0,10.0,6.0,6.0,True,True,True,True,,,,,,True,True,True,,True,,,,True,,,,,,True,,True,,
57,Opponent2,2242.32798,2260.040119,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,,,True,,,,,,,,,,True,,,,
