,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_F5,Huskies_M12,Opponent16_F3,Opponent16_F6,Huskies_D4,Huskies_M3,Huskies_M4,Opponent16_M1,Opponent16_M4,Huskies_D3,Huskies_D8,Opponent13_D1,Opponent16_D1,Opponent16_M3,Opponent16_D4,Huskies_F2,Huskies_G1,Opponent16_F1,Opponent16_D5,Opponent16_G2
0,Huskies,1.5563160000000096,9.851144000000003,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Huskies,9.851144000000003,12.46177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
2,Opponent16,12.46177,15.699581999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
3,Huskies,15.699581999999992,47.66834399999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,True,True,,,,,,,,,,,,,,
4,Huskies,47.66834399999999,54.91385400000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,,
5,Opponent16,54.91385400000002,60.937063000000016,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,True,,,,,,,,,,,
6,Huskies,60.937063000000016,73.88976200000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,True,,,,,,,,,,
7,Huskies,73.88976200000002,79.23696100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,,,,,
8,Opponent16,79.23696100000002,82.76883099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,True,,,,,,,,
9,Huskies,82.76883099999998,102.62071200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
10,Opponent16,102.62071200000004,164.23701200000002,3.0,12.0,3.0,18.0,0.0,1.0,7.0,5.0,4.0,1.0,1.0,1.0,0.0,,,,,True,True,,,,True,True,,,True,True,True,True,,,,,
11,Huskies,164.23701200000002,200.908574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
12,Huskies,200.908574,227.248288,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,True,True,,,,,,,,,
13,Opponent16,227.248288,257.263837,2.0,7.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,True,,,,True,True,,,True,True,,True,,,,,
14,Huskies,257.263837,279.243134,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,True,True,,,,,True,True,,,
15,Opponent16,279.243134,307.6998240000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,,,,True,,
16,Opponent16,307.6998240000001,317.089165,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,True,True,,,,,,
17,Opponent16,317.089165,341.879592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,
18,Huskies,341.879592,359.364598,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,True,,,,
19,Huskies,359.364598,376.983649,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,True,,,,
20,Huskies,376.983649,385.599273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,True,,,,,,,,,,
21,Huskies,385.599273,408.825107,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,True,True,,,,,,,,,,,,,,
22,Huskies,408.825107,461.071926,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,True,,,,True,,,,,,,,,,
23,Opponent16,461.071926,548.6274129999999,4.0,15.0,3.0,7.0,3.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,,,,,True,,,,,True,True,,,True,True,True,True,,,True,True,
24,Opponent16,548.6274129999999,578.108336,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,True,,True
25,Opponent16,578.108336,620.6327980000001,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,True,True,,True,,,True,,
26,Opponent16,620.6327980000001,665.496189,2.0,5.0,2.0,8.0,0.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,0.0,,,,,True,True,,,,True,True,,,True,True,True,True,,,True,,
27,Opponent16,665.496189,728.114517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,,,,,
28,Huskies,728.114517,729.408095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,True,,,,
29,Opponent16,729.408095,736.6285190000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,
30,Huskies,736.6285190000001,759.109311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,
31,Huskies,759.109311,762.146497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,,,,,,,,,,,
32,Opponent16,762.146497,811.693792,10.0,22.0,6.0,14.0,0.0,0.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,,,,,,True,,,,True,True,,,True,True,True,True,,,True,,
33,Opponent16,811.693792,887.7643730000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,,True,True,,,,True,
34,Opponent16,887.7643730000001,908.82957,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,True,True,,,,,True,
35,Huskies,908.82957,913.361548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,
36,Opponent16,913.361548,943.907007,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,True,True,,,,True,True
37,Opponent16,943.907007,956.714192,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,True,
38,Opponent16,956.714192,1059.3995699999998,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,True,,,,,True,
39,Huskies,1059.3995699999998,1071.3431039999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,True,,,,,,,,,,
40,Opponent16,1071.3431039999998,1080.093899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,True,,,,,,,,
41,Huskies,1080.093899,1110.848401,3.0,9.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,True,True,,,,True,True,,,,,True,,,,
42,Huskies,1110.848401,1128.188272,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,True,,,,
43,Opponent16,1128.188272,1171.599377,7.0,17.0,2.0,9.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,True,True,True,,,,True,
44,Huskies,1171.599377,1182.9005619999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,True,,,,
45,Opponent16,1182.9005619999998,1192.8865560000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,True,,,,True,
46,Huskies,1192.8865560000002,1211.921313,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,True,,,,True,,,,,,True,,,,
47,Opponent16,1211.921313,1252.278284,5.0,9.0,4.0,7.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,True,True,True,,,True,True,
48,Huskies,1252.278284,1278.245505,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,
49,Huskies,1278.245505,1297.252252,2.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,True,True,,,
50,Opponent16,1297.252252,1308.669025,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,,,,,,True
51,Huskies,1308.669025,1397.216084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,True,,,,,,,,,
52,Huskies,1397.216084,1402.278636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,
53,Opponent16,1402.278636,1419.606166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,
54,Huskies,1419.606166,1444.282729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,
55,Huskies,1444.282729,1495.876607,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,,True,,,,
56,Huskies,1495.876607,1502.146807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
57,Opponent16,1502.146807,1509.4271880000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,
