,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent16_F6,Opponent16_D1,Opponent16_M4,Opponent16_M3,Opponent16_D4,Opponent16_F3,Huskies_D3,Huskies_D8,Huskies_F5,Opponent16_G2,Opponent16_D5,Opponent13_D1,Opponent16_F1,Opponent16_M1,Huskies_D4,Huskies_M12,Huskies_M4,Huskies_M3,Huskies_G1,Huskies_M1,Huskies_D1,Huskies_F1,Huskies_F6,Opponent16_M2,Opponent16_F4,Huskies_M11
0,Opponent16,1.6109059999998865,112.32372500000021,51.0,32.0,-19.0,8.0,0.0,5.0,7.0,3.0,6.0,0.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent16,112.32372500000021,125.1500430000001,26.0,32.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,True,,,,,,,,,,,,,,,,,,,,
2,Huskies,125.1500430000001,133.11582799999996,22.0,32.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,,,,,
3,Opponent16,133.11582799999996,192.12813800000004,46.0,32.0,-14.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,True,True,,,,,,,,,,,,,,,
4,Opponent16,192.12813800000004,212.0521319999998,94.0,90.0,-4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,
5,Opponent16,212.0521319999998,227.661748,44.0,32.0,-12.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,True,,,,,,,,,,,,,,
6,Opponent16,227.661748,250.53620099999992,64.0,32.0,-32.0,3.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,True,,,,,,,True,,True,True,,,,,,,,,,,,
7,Opponent16,250.53620099999992,261.6332090000001,73.0,32.0,-41.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,True,,,,,,,,,,,,,,,
8,Opponent16,261.6332090000001,269.76881999999983,63.0,44.0,-19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,,
9,Opponent16,269.76881999999983,284.1041390000001,62.0,32.0,-30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,True,,,,,,,,,,,,,,,
10,Opponent16,284.1041390000001,344.1990230000001,87.0,32.0,-55.0,2.0,0.0,1.0,10.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,,True,,,True,,,,,,,,,,,,
11,Opponent16,344.1990230000001,368.115683,10.0,3.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,,,,,
12,Huskies,368.115683,424.6181510000001,77.0,32.0,-45.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,True,True,,,,,,,,
13,Opponent16,424.6181510000001,453.6074370000002,58.0,32.0,-26.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,,,True,,True,,,,,True,True,True,,,,,,,,,,,,,,
14,Huskies,453.6074370000002,495.24534,29.0,32.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,True,,,True,,,,,,,
15,Opponent16,495.24534,508.79543199999983,30.0,32.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,,,,,True,,,,,,,,,,,,,,
16,Huskies,508.79543199999983,513.0593610000002,15.0,30.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,True,,,,,,,,,,
17,Opponent16,513.0593610000002,535.2145220000001,68.0,32.0,-36.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,True,,,,,,,,,,,,
18,Opponent16,535.2145220000001,580.5535359999999,34.0,32.0,-2.0,0.0,0.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,True,,True,,,,,,,,,,,,
19,Opponent16,580.5535359999999,589.1293529999998,90.0,32.0,-58.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,True,,,,,True,,,,,,,,,,,,,,,
20,Opponent16,589.1293529999998,597.4499099999998,70.0,62.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,
21,Huskies,597.4499099999998,625.2300280000001,27.0,20.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,,,,,
22,Opponent16,625.2300280000001,637.4554950000003,37.0,35.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,True,,,,,,,,,,,,
23,Opponent16,637.4554950000003,730.4382850000003,34.0,32.0,-2.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,True,,,,,,,,,,,,,,
24,Opponent16,730.4382850000003,769.3136800000003,29.0,40.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,True,,,,,,,,,,,,,,
25,Opponent16,769.3136800000003,904.154304,55.0,32.0,-23.0,10.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,True,True,True,,True,,,,,,,,,,,,
26,Huskies,904.154304,943.943881,55.0,32.0,-23.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,
27,Opponent16,943.943881,972.8895710000003,35.0,32.0,-3.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,True,,,,,,,,,,,,,,,
28,Huskies,972.8895710000003,975.231944,22.0,48.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,,,,,
29,Opponent16,975.231944,1068.7087459999998,66.0,32.0,-34.0,10.0,0.0,6.0,11.0,4.0,12.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,True,,,,,,True,True,True,True,,,,,,,,,,,,
30,Opponent16,1068.7087459999998,1112.878922,61.0,32.0,-29.0,13.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,True,,,,,,,,,,,,,,
31,Huskies,1112.878922,1132.4345830000002,45.0,32.0,-13.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,True,,True,,,True,True,,,,,
32,Opponent16,1132.4345830000002,1153.9551789999996,30.0,50.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,
33,Huskies,1153.9551789999996,1157.8016349999998,51.0,32.0,-19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,True,,,,,True,,,,,,
34,Opponent16,1157.8016349999998,1161.6752589999996,30.0,32.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,,,,,,,,,,,,,,,
35,Huskies,1161.6752589999996,1173.5052990000004,61.0,55.0,-6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,,
36,Opponent16,1173.5052990000004,1216.9643180000005,65.0,67.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,,,,,,,,,,,
37,Opponent16,1216.9643180000005,1226.6703300000001,72.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,,,,,
38,Opponent16,1226.6703300000001,1239.059929,43.0,32.0,-11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,True,,,,,,,,,,,,,,,,
39,Huskies,1239.059929,1264.3383569999996,21.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,,,True,,,,,
40,Huskies,1264.3383569999996,1280.3591119999999,30.0,32.0,2.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,True,True,True,True,,,
41,Opponent16,1280.3591119999999,1282.6935409999996,32.0,39.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,
42,Huskies,1282.6935409999996,1301.720225,65.0,56.0,-9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,,,True,,,,
43,Opponent16,1301.720225,1389.2722640000004,54.0,32.0,-22.0,6.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,True,,,True,,,,,,,,,,,,
44,Huskies,1389.2722640000004,1410.2495529999994,33.0,32.0,-1.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,True,,,,,,True,,,,,
45,Opponent16,1410.2495529999994,1413.0919050000002,29.0,34.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,
46,Opponent16,1413.0919050000002,1423.4657639999994,46.0,32.0,-14.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,True,,,,,,,,,,,,,,,,,,,,
47,Huskies,1423.4657639999994,1426.3746769999998,60.0,73.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,,
48,Opponent16,1426.3746769999998,1475.342211,18.0,8.0,-10.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,True,,,,,,,,,,,,,,,,
49,Opponent16,1475.342211,1480.8157039999994,31.0,32.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,,,,,,,,,,,,,,,,
50,Opponent16,1480.8157039999994,1494.688604,31.0,48.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,,,,,,,,,,,,,,,,,,,
51,Opponent16,1494.688604,1528.5682610000006,45.0,32.0,-13.0,5.0,0.0,1.0,7.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,True,,True,,,,,,,,,,,,
52,Opponent16,1528.5682610000006,1571.8698270000007,73.0,84.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,
53,Opponent16,1571.8698270000007,1606.8664250000004,62.0,32.0,-30.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,True,,,,,,,,,,,,,,
54,Opponent16,1606.8664250000004,1611.7343130000002,74.0,81.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,,,,
55,Huskies,1611.7343130000002,1662.8139330000006,10.0,0.0,-10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,,,,,
56,Huskies,1662.8139330000006,1671.3796650000006,68.0,73.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,,True,,,,,,
57,Opponent16,1671.3796650000006,1675.4588649999994,60.0,68.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,,,,,,,,,,,,,,,,,,,,,
58,Opponent16,1675.4588649999994,1699.870116,71.0,32.0,-39.0,4.0,2.0,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,True,,True,,,,,,,,,,,True,,
59,Opponent16,1699.870116,1778.092906,53.0,69.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,
60,Opponent16,1778.092906,1790.898354,53.0,32.0,-21.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,,,,,True,,True,,True,,,,,,,,,,,True,
61,Huskies,1790.898354,1797.559695,65.0,66.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,True,,,
62,Huskies,1797.559695,1812.789223,43.0,32.0,-11.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,True,,,,,,,
