,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F6,Huskies_M12,Huskies_M1,Huskies_F2,Huskies_F5,Huskies_M3,Huskies_G1,Huskies_D3,Opponent18_D1,Opponent18_M8,Opponent18_M7,Opponent18_D3,Opponent18_D2,Opponent14_F2,Opponent18_F3,Opponent18_G1,Opponent18_M3,Opponent18_D4,Opponent18_M1,Huskies_D8,Huskies_D4
0,Huskies,2.7129160000000065,8.204485000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,8.204485000000005,19.381351999999996,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,
2,Huskies,19.381351999999996,68.94594799999999,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,,,,,,,,,,,,,
3,Opponent18,68.94594799999999,101.69255800000002,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,True,True,True,,,,,,,
4,Huskies,101.69255800000002,108.67073799999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
5,Huskies,108.67073799999996,143.149582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,,,,,,,,,,,,,,,
6,Opponent18,143.149582,155.38311399999995,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,True,True,,,,,
7,Opponent18,155.38311399999995,192.93956,4.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,True,,True,,,True,,,,
8,Opponent18,192.93956,210.782759,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,True,,True,True,True,,
9,Huskies,210.782759,215.380588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,,,,,,,
10,Huskies,215.380588,237.38656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,True,
11,Opponent18,237.38656,241.924022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,
12,Huskies,241.924022,286.238404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,True,,,,,,,,,,,,,,,
13,Opponent18,286.238404,340.943455,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,True,,
14,Opponent18,340.943455,357.905721,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,True,True,,,True,True,,
15,Huskies,357.905721,391.41161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,
16,Opponent18,391.41161,402.5613,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,True,,,,,,True,,
17,Opponent18,402.5613,417.578507,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,True,True,,,,
18,Huskies,417.578507,427.524888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,,,,,,,,,,,,,
19,Opponent18,427.524888,453.771034,0.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,True,True,,,True,,True,True,,
20,Opponent18,453.771034,459.550929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,
21,Opponent18,459.550929,480.794157,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,True,,
22,Opponent18,480.794157,539.952438,4.0,9.0,5.0,11.0,0.0,0.0,3.0,4.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,True,True,True,True,True,True,,True,,,,
23,Opponent18,539.952438,571.188387,2.0,4.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,True,,,True,,,,,
24,Huskies,571.188387,575.910923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
25,Huskies,575.910923,579.446564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,
26,Opponent18,579.446564,595.3393580000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,True,,,,,,,
27,Opponent18,595.3393580000001,673.154187,8.0,25.0,5.0,17.0,1.0,0.0,5.0,0.0,7.0,2.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,True,True,True,True,,True,True,True,,
28,Huskies,673.154187,677.75517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,,,True,
29,Huskies,677.75517,698.905203,2.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,True,,,True,,True,,,,,,,,,,,,True,
30,Opponent18,698.905203,738.542215,4.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,True,True,True,,,True,,True,,
