,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent18_D1,Opponent14_F2,Opponent18_D2,Opponent18_M8,Opponent18_D3,Huskies_D8,Huskies_M1,Huskies_F2,Huskies_M3,Huskies_G1,Huskies_M12,Huskies_D1,Opponent18_M5,Opponent18_M1,Opponent18_D4,Opponent18_F3,Opponent18_G1,Opponent18_M7,Huskies_D3,Huskies_F6,Huskies_F5,Huskies_D4,Opponent18_F2,Huskies_M11,Huskies_D10,Huskies_M9
0,Opponent18,1.4992189999998118,9.798094000000221,50.0,26.0,-24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent18,9.798094000000221,71.43774600000006,62.0,26.0,-36.0,4.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
2,Huskies,71.43774600000006,103.78312700000015,68.0,26.0,-42.0,10.0,0.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,
3,Huskies,103.78312700000015,115.66579399999999,32.0,26.0,-6.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,True,,,,,,,,,,,,,,
4,Opponent18,115.66579399999999,125.67230199999996,38.0,26.0,-12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,True,,,,,,,,,,,,,
5,Huskies,125.67230199999996,140.7080820000001,12.0,10.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,True,,,,,,,,,,,,,,
6,Opponent18,140.7080820000001,189.272512,23.0,26.0,3.0,0.0,0.0,5.0,14.0,1.0,6.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,True,,True,True,True,,,,,,,,True,True,True,True,True,True,,,,,,,,
7,Opponent18,189.272512,284.3885639999998,39.0,26.0,-13.0,9.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,True,True,,,True,,,,,,,,
8,Huskies,284.3885639999998,311.7369749999998,33.0,26.0,-7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,,True,,,,,,,True,,,,,,,
9,Opponent18,311.7369749999998,321.97129799999993,52.0,26.0,-26.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,True,,,,,,,,,,,,,
