,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent17_F3,Opponent17_M1,Opponent17_D5,Opponent17_F4,Opponent17_M3,Huskies_D1,Huskies_M12,Huskies_D4,Huskies_F2,Huskies_M1,Huskies_M3,Huskies_F6,Huskies_D3,Huskies_D8,Huskies_F5,Opponent17_M7,Huskies_G1,Opponent17_D2,Opponent17_D1,Opponent17_D3,Opponent17_M2,Opponent17_G2
0,Opponent17,1.2716679999999982,7.824843000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent17,7.824843000000001,57.715768000000004,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,
2,Huskies,57.715768000000004,71.254436,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,
3,Huskies,71.254436,134.224968,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,True,True,True,True,True,True,,,,,,,,
4,Huskies,134.224968,141.669284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,
5,Opponent17,141.669284,216.004898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,True,,,,,,
6,Huskies,216.004898,224.320427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,,,,
7,Huskies,224.320427,250.29645900000003,1.0,5.0,2.0,3.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,True,,True,,True,,,True,,,,,,,,,
8,Opponent17,250.29645900000003,266.99815,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,True,,,,
9,Huskies,266.99815,306.804269,4.0,13.0,2.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,True,,True,True,True,,True,,,,,
10,Opponent17,306.804269,327.842384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
11,Huskies,327.842384,335.360997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,True,,,,,
12,Opponent17,335.360997,367.621151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,True,,,
13,Opponent17,367.621151,373.318357,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,True,,
14,Huskies,373.318357,411.931547,2.0,2.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,True,True,,True,True,,,,,,,,
15,Opponent17,411.931547,418.704716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,
16,Huskies,418.704716,428.348091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,
17,Huskies,428.348091,443.740174,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,True,,True,,,,,,True,,,,,
18,Opponent17,443.740174,453.35574800000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,True,
19,Opponent17,453.35574800000006,493.55138700000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,True,
