,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M12,Huskies_D1,Huskies_F5,Huskies_D8,Huskies_D4,Huskies_G1,Opponent17_M2,Opponent17_D2,Opponent17_M3,Opponent17_F3,Opponent17_F4,Huskies_F2,Huskies_M3,Opponent17_D5,Opponent17_D3,Huskies_D3,Opponent17_G2,Opponent17_M7,Opponent17_M1,Opponent17_D1,Huskies_M1,Huskies_F6,Huskies_M4,Huskies_F1,Opponent17_F1,Opponent17_M8,Opponent17_M5,Huskies_F4
0,Huskies,1.5897899999999936,17.158268000000135,48.0,34.0,-14.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,17.158268000000135,34.45377599999984,26.0,34.0,8.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent17,34.45377599999984,57.51530400000002,32.0,30.0,-2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
3,Opponent17,57.51530400000002,62.16265800000019,37.0,34.0,-3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,,,,,,,
4,Huskies,62.16265800000019,73.87790499999983,55.0,34.0,-21.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,True,,,,,,,,True,True,,,,,,,,,,,,,,,
5,Opponent17,73.87790499999983,92.34949300000015,23.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,
6,Huskies,92.34949300000015,116.5861319999999,57.0,34.0,-23.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,True,,,,,,,,,,,,
7,Opponent17,116.5861319999999,192.8817829999998,24.0,34.0,10.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,True,,,,,,,,,,,,,,
8,Opponent17,192.8817829999998,210.41789599999996,64.0,34.0,-30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,
9,Opponent17,210.41789599999996,257.80233,65.0,85.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,,,,,,,,,
10,Opponent17,257.80233,279.73642199999995,26.0,34.0,8.0,2.0,0.0,3.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,True,,True,True,,,,,,,,
11,Huskies,279.73642199999995,286.67852799999986,35.0,59.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,,,True,,,,,,,
12,Opponent17,286.67852799999986,290.30171599999994,34.0,61.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,,True,,,,,,,,
13,Huskies,290.30171599999994,417.52452799999986,57.0,34.0,-23.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,,,,True,,,,,,True,,,,,,
14,Opponent17,417.52452799999986,432.22292800000014,50.0,34.0,-16.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,True,,,,,,,,,
15,Opponent17,432.22292800000014,468.15660100000014,71.0,81.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,
16,Opponent17,468.15660100000014,476.61413600000014,73.0,34.0,-39.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,True,True,,,,,,,,,
17,Opponent17,476.61413600000014,535.0514589999998,68.0,83.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,
18,Huskies,535.0514589999998,545.7809200000002,26.0,34.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,
19,Opponent17,545.7809200000002,551.0320029999998,28.0,33.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,
20,Huskies,551.0320029999998,590.1289900000003,68.0,34.0,-34.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,,,,,,,,,True,True,,,,,
21,Opponent17,590.1289900000003,651.830187,61.0,34.0,-27.0,9.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,True,,True,,,True,,,,,,,,
22,Opponent17,651.830187,656.0397849999998,25.0,30.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,
23,Opponent17,656.0397849999998,670.1797419999998,25.0,49.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,
24,Opponent17,670.1797419999998,672.9399920000002,59.0,80.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,,,,,,,,,,,,,,,,,
25,Huskies,672.9399920000002,680.905597,22.0,34.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,,,,True,,,,,,,
26,Huskies,680.905597,689.1528600000001,70.0,69.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
27,Opponent17,689.1528600000001,702.158414,42.0,34.0,-8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,True,,,,,,,,,,,,,,,,,,
28,Opponent17,702.158414,708.9003269999997,72.0,74.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
