,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent15_M7,Opponent15_D1,Huskies_M9,Huskies_F6,Huskies_M1,Huskies_D8,Opponent15_M6,Opponent15_F4,Opponent15_F3,Opponent15_D6,Opponent15_D3,Huskies_M3,Huskies_D4,Huskies_F2,Opponent15_M5,Opponent15_D5,Opponent15_M3,Huskies_F5,Huskies_D1,Huskies_D3,Opponent15_G1,Opponent15_M8,Huskies_M4,Opponent15_D4,Huskies_G1,Huskies_F4,Huskies_D10
0,Opponent15,3.349561999999878,20.196391999999832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,20.196391999999832,62.139318999999894,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,62.139318999999894,75.62080100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,,
3,Opponent15,75.62080100000003,113.3954279999998,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,True,True,,,,,,,,,,,,,,,,,
4,Opponent15,113.3954279999998,117.54571600000007,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,True,,,,,,,,,,,,,,,,
5,Huskies,117.54571600000007,146.67638699999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,,,,,,,,,,,,,
6,Opponent15,146.67638699999995,175.85930400000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,,,,,,,,,,,,,,,,,
7,Opponent15,175.85930400000007,199.14311899999984,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,True,,,,True,True,,,,,,,,,,,
8,Huskies,199.14311899999984,212.34975399999985,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,True,,,,,,,,,,,,,
9,Huskies,212.34975399999985,222.14366900000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,True,,True,,,,,,,,,,,,,
