,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent13_M6,Opponent13_D5,Opponent13_F1,Opponent13_M1,Huskies_M1,Huskies_M4,Opponent13_D3,Huskies_D8,Huskies_M12,Huskies_G1,Huskies_D3,Opponent13_M2,Opponent13_D6,Opponent13_D4,Opponent13_M7,Huskies_D4,Huskies_D1,Huskies_M3,Huskies_M9,Opponent13_D2,Opponent13_G2,Huskies_F5
0,Opponent13,0.9057070000000068,36.739383,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,
1,Huskies,36.739383,41.309286999999976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,
2,Opponent13,41.309286999999976,59.44487900000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,
3,Huskies,59.44487900000002,70.19683500000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,True,,,,,,,,,,,
4,Opponent13,70.19683500000002,89.60017800000004,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,True,True,True,,,,,,,,
5,Opponent13,89.60017800000004,115.642927,3.0,8.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,True,True,True,True,,,,,,,
6,Huskies,115.642927,204.766326,5.0,10.0,4.0,9.0,0.0,0.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,,,,,True,True,,True,,,True,,,,,True,True,True,,,,
7,Opponent13,204.766326,251.196954,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,True,,,,,,,
8,Opponent13,251.196954,257.346496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,True,,,,,,,,,
9,Huskies,257.346496,277.119408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,
10,Huskies,277.119408,287.126806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,True,,,,,,,,,,,,,,
11,Huskies,287.126806,307.9838,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,True,,True,True,,,
12,Huskies,307.9838,342.9850330000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,,
13,Huskies,342.9850330000001,355.392245,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,True,,,,,
14,Opponent13,355.392245,389.880321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,
15,Opponent13,389.880321,495.852198,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,True,True,,True,,,,,True,,
16,Huskies,495.852198,507.56628600000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,True,True,,,,,
17,Huskies,507.56628600000005,521.933979,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,True,True,,,
18,Opponent13,521.933979,528.849229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,,
19,Huskies,528.849229,567.626441,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,True,True,,,,,True,,True,True,,,
20,Opponent13,567.626441,631.632851,9.0,26.0,9.0,28.0,0.0,3.0,14.0,7.0,14.0,7.0,3.0,3.0,0.0,,True,True,True,,,,,,,,True,True,True,True,,,,,True,True,
21,Opponent13,631.632851,654.939298,1.0,6.0,1.0,8.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,True,,True,,,True,,,,,True,True,,True,,,,,,,
22,Huskies,654.939298,664.35148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,True,,,,
23,Huskies,664.35148,692.504532,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,,,,,True,True,True,True,,,True
24,Opponent13,692.504532,746.387011,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,True,,True,,,,,,,,
