,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M4,Huskies_D3,Huskies_M3,Huskies_D4,Huskies_M1,Huskies_F5,Huskies_G1,Huskies_D10,Huskies_D1,Huskies_M9,Huskies_D8,Opponent13_D2,Opponent13_D4,Opponent13_M8,Opponent13_M7,Opponent13_M2,Opponent13_D3,Opponent13_M1,Opponent13_D6,Opponent13_F1,Opponent13_G2,Opponent13_D5,Huskies_F4,Opponent13_M4,Opponent13_F2,Huskies_M2
0,Huskies,0.9459379999998418,9.889138000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,9.889138000000004,108.497167,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,True,True,,,,,,,,,,,,,,,,,,,,
2,Huskies,108.497167,130.48376300000018,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,True,,,,,,,,,,,,,,,,,,,
3,Huskies,130.48376300000018,158.36326700000018,0.0,4.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,True,True,True,,,,,,,,,,,,,,,
4,Huskies,158.36326700000018,171.2421559999998,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,True,True,,True,,,,True,True,,,,,,,,,,,,,,,,
5,Opponent13,171.2421559999998,180.06443900000022,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,True,,,,,,,,,,,
6,Huskies,180.06443900000022,201.51339999999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,,,
7,Opponent13,201.51339999999985,240.75075199999992,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,,,,,
8,Opponent13,240.75075199999992,292.1293799999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,True,,True,,,,,,,
9,Huskies,292.1293799999998,316.1940450000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,True,,,,,,,,,,,,,,,,,,,,,
10,Opponent13,316.1940450000002,319.5669149999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,,True,,,,,,
11,Huskies,319.5669149999999,340.4387299999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,,,,,,,,,,,,,,,,,,,,,
12,Opponent13,340.4387299999998,397.244459,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,True,,,,,,,True,True,,,,
13,Huskies,397.244459,404.604112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,
14,Opponent13,404.604112,408.83761300000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,,
15,Huskies,408.83761300000015,425.96756799999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,True,,,,,,,,,,,,,,,,,,
16,Opponent13,425.96756799999997,500.12161900000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,,,True,,,,,,,
17,Huskies,500.12161900000007,510.85618900000014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,True,,,,,,,,,,,,,,,,,,,
18,Opponent13,510.85618900000014,534.0674880000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,True,,True,True,True,True,,,,,,
19,Opponent13,534.0674880000001,576.0721910000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,
20,Opponent13,576.0721910000002,589.1669200000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,True,,,,
21,Huskies,589.1669200000001,613.0559349999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,True,,True,,,,,,,,,,,,,,,
22,Huskies,613.0559349999999,626.630987,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,True,,True,True,True,,,,,,,,,,,,,,,,
23,Opponent13,626.630987,731.5482109999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,True,True,True,,,,,,,,
24,Huskies,731.5482109999997,768.0442840000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,,,,,,,,,,,,,,
25,Opponent13,768.0442840000002,769.8890799999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,,
26,Huskies,769.8890799999998,889.5516899999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,True,,,,,,,,,,,,,,,,,,
27,Huskies,889.5516899999997,895.7376960000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,
28,Opponent13,895.7376960000001,906.4431719999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,,,
29,Huskies,906.4431719999997,919.457718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,,,,,,,
30,Huskies,919.457718,1044.8957979999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,,,,,,,,,,,,True,,,
31,Opponent13,1044.8957979999998,1057.6308959999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,True,,,,
32,Opponent13,1057.6308959999997,1112.0249830000002,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,True,,,,
33,Opponent13,1112.0249830000002,1145.5715389999996,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,True,,,,,,
34,Huskies,1145.5715389999996,1173.5149549999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,True,,,,,,,,,,,,,,,,,,
35,Opponent13,1173.5149549999996,1181.8826900000004,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,True,,True,,,,
36,Opponent13,1181.8826900000004,1188.8174550000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,,,,,,,
37,Huskies,1188.8174550000006,1207.637033,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,True,,,,,,True,,,,,,,,,,,,True,,,
38,Huskies,1207.637033,1216.6617889999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,,
39,Huskies,1216.6617889999998,1264.2677860000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,,,,,True,,,
40,Huskies,1264.2677860000006,1282.2696880000005,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,True,,True,,True,,,,,,,,,,,,,,,
41,Huskies,1282.2696880000005,1337.567634,0.0,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,True,,True,,True,True,,True,,,,,,,,,,,,,,,
42,Huskies,1337.567634,1419.6559779999998,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,,,True,,,,,,,,,,,,,,,
