,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent14_F1,Opponent14_D5,Opponent14_D2,Opponent14_M4,Huskies_M3,Huskies_D8,Opponent14_M1,Opponent14_M3,Opponent14_D6,Opponent14_M5,Huskies_M1,Huskies_D10,Huskies_D1,Huskies_M4,Huskies_D3,Huskies_F4,Opponent14_D4,Opponent14_G2,Huskies_D4,Opponent14_D1,Huskies_F5,Huskies_G1,Opponent14_M6
0,Opponent14,3.215710999999999,13.705039000000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,,,,,,,,,,,,,,,,,,,
1,Huskies,13.705039000000001,19.343343000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,
2,Opponent14,19.343343000000004,85.345844,5.0,11.0,2.0,5.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,True,True,,,,,True,True,True,True,,,,,,,,,,,,,
3,Huskies,85.345844,213.856083,1.0,4.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,True,True,True,True,True,True,,,,,,,
4,Opponent14,213.856083,232.642113,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,True,,,,,
5,Huskies,232.642113,242.553918,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,True,,True,,,,True,,,,
6,Opponent14,242.553918,267.71242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,
7,Opponent14,267.71242,293.000429,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,True,,,,,,,,,,,,,
8,Opponent14,293.000429,296.029496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,True,,,,,,,,,,,,,
9,Opponent14,296.029496,319.77241499999997,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,
10,Huskies,319.77241499999997,324.08425800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,True,,,,,,,,,,
11,Opponent14,324.08425800000003,331.72799100000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,True,,,,,,,,,,,,,,,,,,,
12,Huskies,331.72799100000003,337.06016800000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,,
13,Opponent14,337.06016800000003,380.569394,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,,True,True,,,,,,,,,,,,,,
14,Opponent14,380.569394,383.613922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,,,,,,True,,,
15,Huskies,383.613922,395.959663,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,True,True,,,,True,,,,,,,
16,Opponent14,395.959663,413.758179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,,,,,,,,,,,,,,,,
17,Opponent14,413.758179,478.658326,6.0,21.0,6.0,16.0,2.0,0.0,6.0,2.0,4.0,2.0,0.0,0.0,0.0,,True,True,True,,,,True,True,True,,,,,,,True,True,,True,,,
