,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F5,Huskies_M1,Huskies_D4,Huskies_F4,Huskies_M3,Huskies_D3,Huskies_M4,Huskies_M2,Opponent14_M3,Opponent14_M6,Huskies_D8,Opponent14_D1,Opponent14_M5,Huskies_G1,Opponent14_G2,Opponent14_D4,Opponent14_F1,Opponent14_M1,Opponent14_M4,Opponent14_D6,Opponent14_D2,Huskies_F6,Huskies_M12,Opponent14_M2,Opponent14_D7
0,Huskies,5.5407970000001106,12.96534900000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,12.96534900000006,58.17864300000019,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
2,Huskies,58.17864300000019,65.26987000000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,
3,Huskies,65.26987000000008,109.03897499999994,7.0,18.0,6.0,13.0,1.0,0.0,6.0,0.0,10.0,2.0,0.0,0.0,6.0,,,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,
4,Opponent14,109.03897499999994,119.94812899999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,,,,,
5,Huskies,119.94812899999987,156.60721400000008,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,True,,,True,,,,,,,,,,,,,,
6,Huskies,156.60721400000008,177.37663500000008,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,,True,,,True,,,,,,,,,,,,,,
7,Huskies,177.37663500000008,181.80491600000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,,,,,
8,Opponent14,181.80491600000005,185.1122909999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,,,,,,
9,Huskies,185.1122909999999,304.71634099999983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,,,,,,,,,,,,,,,,,,,
10,Huskies,304.71634099999983,394.17466800000017,5.0,12.0,1.0,6.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,,,True,True,True,,,,True,,,True,,,,,,,,,,,
11,Opponent14,394.17466800000017,398.39234500000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,
12,Huskies,398.39234500000015,425.18672599999985,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,True,,,,,,,,,,,,,,,,,,
13,Opponent14,425.18672599999985,453.07099599999987,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,True,,,,,,,,,
14,Huskies,453.07099599999987,471.68565399999983,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,True,,,,,,,,,,,,,,,,,,
15,Huskies,471.68565399999983,493.73882599999985,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,True,,,,,,,,,,,,,,
16,Opponent14,493.73882599999985,516.3285030000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,True,,,,,,,,,,
17,Opponent14,516.3285030000002,580.7428599999997,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,True,,,,True,True,,,,,,,
18,Opponent14,580.7428599999997,694.6181040000001,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,True,,,,,,,
19,Huskies,694.6181040000001,697.694078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,True,,,,,,,,,,,,,,
20,Opponent14,697.694078,743.4570650000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,True,,True,,,,,,
21,Opponent14,743.4570650000002,756.9906019999999,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,True,True,True,,,,,
22,Huskies,756.9906019999999,765.9831929999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,True,,,,,,,,,,,,,,,,,,,,,
23,Opponent14,765.9831929999999,779.3563239999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,,,,,,True,,,,
24,Huskies,779.3563239999999,800.7017289999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,True,,,,,,,True,,,,,,,,,,,
25,Opponent14,800.7017289999999,807.2074809999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,,,,,,True,,,,,
26,Huskies,807.2074809999998,824.3968060000003,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,True,,,,True,,,,,,,,,,,,,,
27,Opponent14,824.3968060000003,856.6469080000003,5.0,9.0,5.0,10.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,True,True,,,,True,True,True,True,True,,,,
28,Opponent14,856.6469080000003,958.775627,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,,True,,,,,,
29,Opponent14,958.775627,994.8693510000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,,True,,,,
30,Huskies,994.8693510000003,1016.8391970000004,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,,True,,,True,,,,,,,,,,,
31,Opponent14,1016.8391970000004,1022.549145,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,,True,True,,,,,
32,Opponent14,1022.549145,1030.1448099999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,,,,,,
33,Opponent14,1030.1448099999998,1062.5223560000004,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,True,,,,
34,Opponent14,1062.5223560000004,1151.2840159999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,True,,,,,,
35,Huskies,1151.2840159999996,1157.2858800000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,
36,Huskies,1157.2858800000004,1165.767594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,True,,,,,,,,,,,,,,
37,Opponent14,1165.767594,1196.5252890000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,,,,True,,,,,,,
38,Opponent14,1196.5252890000004,1239.602205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,True,True,,,,,,,
39,Huskies,1239.602205,1268.5966900000005,5.0,10.0,1.0,4.0,0.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,,,True,,True,,,True,True,,,True,,,,,,,,,,,True,,,
40,Opponent14,1268.5966900000005,1277.8502689999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,,True,,,,,,,
41,Huskies,1277.8502689999996,1351.0244160000002,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,True,,,,True,,,,,,,,,,,,,,
42,Opponent14,1351.0244160000002,1358.333041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,True,,,,,,,,
43,Huskies,1358.333041,1372.275885,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,True,,,,,,,,True,,,
44,Opponent14,1372.275885,1463.3844419999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,
45,Huskies,1463.3844419999994,1479.7792040000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,,,,,,,,,,,,,
46,Huskies,1479.7792040000006,1486.8515949999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,
47,Huskies,1486.8515949999999,1548.8326550000004,0.0,4.0,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,True,,True,,True,,,,,,,,,,,,,,,True,,,
48,Opponent14,1548.8326550000004,1573.7139949999998,3.0,2.0,3.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,True,,True,True,True,True,True,,,,,,
49,Huskies,1573.7139949999998,1611.670553,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,True,,True,True,,,,,,,,,,,,,,,,True,,,
50,Opponent14,1611.670553,1641.9313899999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,True,,,,,
51,Opponent14,1641.9313899999993,1658.557221,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,,,True,,,,,
52,Huskies,1658.557221,1784.8382389999995,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,,,True,,,True,,,,,,,,,,,,,,
53,Opponent14,1784.8382389999995,1798.3111259999994,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,,True,True,,True,,,,,,,
54,Opponent14,1798.3111259999994,1845.2272620000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,,,,,,,,,,,True,True,,,,True,,,,,,,,
55,Huskies,1845.2272620000006,1860.316511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,True,,,,,,,,,,,
56,Huskies,1860.316511,1879.747882,4.0,8.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,
57,Opponent14,1879.747882,2001.757699,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,,,True,True,True,,,,,,
58,Opponent14,2001.757699,2006.5572540000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,,,,,True,,,,,,,
