,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D3,Huskies_F3,Opponent3_D2,Opponent3_M1,Huskies_G1,Huskies_D4,Huskies_M6,Opponent3_D3,Opponent3_M4,Opponent3_D1,Opponent3_F1,Opponent3_F2,Opponent3_M3,Huskies_D2,Opponent3_D4,Huskies_D1,Opponent3_G1,Huskies_D6,Huskies_M4,Huskies_F2,Huskies_M1,Opponent3_M2
0,Huskies,1.7733619999999917,10.563213999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Opponent3,10.563213999999988,34.890187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,34.890187,57.217806,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,,,,,,,,,,,,,,,
3,Opponent3,57.217806,96.210598,2.0,7.0,2.0,6.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,,,,True,,,,True,True,True,True,True,True,,,,,,,,,
4,Huskies,96.210598,126.338329,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,True,,,,,,,,
5,Opponent3,126.338329,131.308969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,,,,,True,,,,,,,
6,Huskies,131.308969,156.81411000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,,True,,,,,,
7,Opponent3,156.81411000000003,218.103953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,,,True,,,,,,,
8,Huskies,218.103953,227.750978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
9,Opponent3,227.750978,261.904681,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,True,,True,,,,,,,,,,
10,Opponent3,261.904681,298.225853,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,,
11,Opponent3,298.225853,305.02763799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,
12,Huskies,305.02763799999997,366.900923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,,,,
13,Huskies,366.900923,392.471762,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,True,,True,True,,,
14,Opponent3,392.471762,404.145195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,True,,,,,True,,,,,,,
15,Huskies,404.145195,438.274996,4.0,10.0,2.0,8.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,,,,,,,,,True,,True,,True,True,
16,Opponent3,438.274996,451.626392,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,True,,,,,,True,,,,,
17,Opponent3,451.626392,477.902138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,,,,,,,,,,,,,
18,Opponent3,477.902138,556.283763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,
19,Opponent3,556.283763,573.076533,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,True,True,,,,,,,,,,,,
20,Opponent3,573.076533,619.539116,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,True,True,,,,,,,,,,
21,Opponent3,619.539116,627.131386,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,True,,,,,,,
22,Opponent3,627.131386,629.585517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,True,,,,,,,,,,,,,
23,Huskies,629.585517,649.434529,2.0,3.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,True,,True,,True,,True,,
24,Huskies,649.434529,678.995532,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,True,,,,
25,Opponent3,678.995532,682.8041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,
26,Huskies,682.8041,700.6465929999999,1.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,True,,,,,,,,,,,,True,True,True,
27,Opponent3,700.6465929999999,746.386157,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,True,,,,,,,,,,
28,Opponent3,746.386157,757.425016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,True,,,,,,,,,,
29,Opponent3,757.425016,844.6406629999999,11.0,20.0,6.0,15.0,1.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,6.0,,,,True,,,,True,True,True,True,True,True,,True,,,,,,,
30,Huskies,844.6406629999999,849.6618380000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,True,
31,Huskies,849.6618380000001,923.3717109999999,4.0,6.0,4.0,14.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,True,,True,,True,True,True,True,
32,Huskies,923.3717109999999,964.1254769999999,8.0,15.0,2.0,8.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,,True,,,,,,,,True,,True,,True,True,True,True,
