,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent3_M4,Opponent3_F1,Opponent3_M1,Opponent3_G1,Opponent3_D4,Opponent3_D2,Opponent3_M3,Opponent3_D1,Opponent3_F2,Opponent3_D3,Opponent3_M2,Huskies_D2,Huskies_M1,Huskies_D4,Huskies_D3,Huskies_M7,Huskies_F2,Huskies_M6,Huskies_F3,Huskies_D1,Huskies_G1,Huskies_D6,Huskies_F1,Opponent3_M5,Opponent3_F3,Huskies_M8,Opponent3_D5
0,Opponent3,1.5064569999999549,14.579315999999835,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent3,14.579315999999835,83.09772900000007,2.0,7.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,
2,Opponent3,83.09772900000007,94.86710300000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,,,,,,,,,,,,,,,,,,,,
3,Opponent3,94.86710300000004,118.63263700000016,0.0,3.0,0.0,6.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,,True,,True,True,,,,,,,,,,,,,,,,
4,Opponent3,118.63263700000016,195.055852,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,,True,,,,,,,,,,,,,,,,
5,Huskies,195.055852,210.64766700000015,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,True,True,True,,,,,,,,,,,
6,Opponent3,210.64766700000015,253.453536,2.0,10.0,3.0,9.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,True,,True,True,True,True,,True,True,True,,,,,,,,,,,,,,,,,
7,Huskies,253.453536,322.58474399999983,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,True,True,,,,,,,,
8,Opponent3,322.58474399999983,399.07808100000017,4.0,6.0,4.0,10.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,True,,True,True,True,True,True,,,,,,,,,,,,,,,,,
9,Opponent3,399.07808100000017,418.357841,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,True,,True,True,True,,,,,,,,,,,,,,,,,
10,Huskies,418.357841,444.39916499999987,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,True,True,,,,,,
11,Opponent3,444.39916499999987,485.459879,4.0,12.0,3.0,7.0,0.0,1.0,5.0,1.0,3.0,2.0,1.0,1.0,0.0,True,True,True,True,True,True,True,True,,True,,,,,,,,,,,,,,,,,
12,Huskies,485.459879,496.81733100000014,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,True,True,,,,,True,True,,,,,,
13,Opponent3,496.81733100000014,526.8094729999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,True,,,,,,,,,,,,,,,,
14,Huskies,526.8094729999998,546.7034159999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
15,Opponent3,546.7034159999998,552.9610080000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,True,,,,,,,,,,,,,,,,,,,
16,Opponent3,552.9610080000001,560.177377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
17,Huskies,560.177377,614.0501300000002,4.0,11.0,3.0,7.0,0.0,0.0,3.0,0.0,5.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,True,True,,True,,True,True,,,,,,
18,Opponent3,614.0501300000002,626.7735539999999,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,True,,,,True,,,,,,,,,,,,,,,,,
19,Opponent3,626.7735539999999,635.1615499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,
20,Opponent3,635.1615499999998,654.7252899999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,True,,,,True,,,,True,,,,,,,,,,,,,,,,
21,Opponent3,654.7252899999999,699.098364,2.0,4.0,3.0,5.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,True,,True,,,True,,True,,True,,,,,,,,,,,,,,,,,
22,Opponent3,699.098364,749.361887,3.0,7.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,True,True,True,True,True,True,,True,,,,,,,,,,,,,,,,,
23,Opponent3,749.361887,758.2063050000003,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,True,True,True,,,,,,,,,,,,,,,,,,
24,Huskies,758.2063050000003,763.6348269999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,True,,,,,,,,,
25,Opponent3,763.6348269999999,842.7742499999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,True,,,,,,,,,,,,,,,,
26,Huskies,842.7742499999998,882.8937820000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,True,,True,,,True,,,,,,
27,Opponent3,882.8937820000001,906.6427250000003,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,True,,,True,,True,True,True,,,,,,,,,,,,,,,,,
28,Huskies,906.6427250000003,958.0409679999997,3.0,6.0,3.0,16.0,0.0,2.0,6.0,10.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,,,,,,True,,True,True,True,,True,,True,True,,,,,
29,Opponent3,958.0409679999997,993.1189330000003,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,True,,True,,True,True,,,,,,,,,,,,,,,,
30,Huskies,993.1189330000003,1034.2466259999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,True,,,,,,,,,,
