,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D1,Huskies_F2,Opponent4_M1,Opponent4_M2,Opponent4_D5,Opponent4_D1,Opponent4_D4,Huskies_D4,Huskies_M4,Huskies_M3,Opponent4_F1,Huskies_M1,Huskies_D5,Opponent4_M3,Opponent4_M4,Huskies_M6,Opponent4_D3,Opponent4_D2,Opponent4_G1,Huskies_D2,Huskies_F1,Huskies_G1,Opponent4_M6,Huskies_M9,Opponent4_F2,Opponent4_M5
0,Huskies,1.1937410000000457,6.494910999999775,50.0,30.0,-20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent4,6.494910999999775,13.081122999999936,28.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,
2,Opponent4,13.081122999999936,26.480970999999954,28.0,34.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,
3,Opponent4,26.480970999999954,31.40309699999989,57.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,True,,,,,,,,,,,,,,,,,,,
4,Huskies,31.40309699999989,37.990519999999826,27.0,30.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,True,True,,,,,,,,,,,,,,,,
5,Opponent4,37.990519999999826,105.13560000000008,63.0,30.0,-33.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,True,,,,,,,,,,,,,,,
6,Huskies,105.13560000000008,109.32684000000015,42.0,30.0,-12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,True,True,,,,,,,,,,,,,
7,Opponent4,109.32684000000015,142.75993000000014,33.0,39.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,True,,,,,,,,,,,,
8,Opponent4,142.75993000000014,185.29732999999987,67.0,30.0,-37.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,True,,,,,,,,,True,,,,,,,,,,,,
9,Opponent4,185.29732999999987,233.648557,69.0,30.0,-39.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,True,,,,,,,,,True,,,,,,,,,,,
