,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent5_D1,Opponent5_F1,Huskies_F2,Huskies_M4,Huskies_D5,Huskies_D4,Huskies_G1,Huskies_D1,Opponent5_D4,Opponent5_D2,Opponent5_M1,Opponent5_D3,Opponent5_F2,Opponent5_M2,Opponent5_M3,Opponent5_M4,Huskies_M1,Huskies_D2,Huskies_D3,Huskies_M3,Huskies_M6,Opponent5_G1
0,Opponent5,2.4187729999999874,32.72502800000001,51.0,31.0,-20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
1,Huskies,32.72502800000001,36.410701000000024,30.0,67.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,
2,Huskies,36.410701000000024,62.687973,32.0,31.0,-1.0,4.0,0.0,1.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,True,True,True,True,,,,,,,,,,,,,,
3,Opponent5,62.687973,104.663662,57.0,31.0,-26.0,2.0,0.0,4.0,7.0,2.0,6.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,True,True,True,,,,,,,,
4,Opponent5,104.663662,120.63029899999998,45.0,31.0,-14.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,True,,,,,,,,,
5,Opponent5,120.63029899999998,135.770223,44.0,31.0,-13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,,,,,,,,,,,
6,Opponent5,135.770223,139.13586899999999,57.0,73.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,True,,,,,,,,
7,Opponent5,139.13586899999999,160.13785900000002,67.0,31.0,-36.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,,True,True,,True,True,True,,,,,,
8,Opponent5,160.13785900000002,246.15528700000002,45.0,31.0,-14.0,0.0,1.0,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,True,True,True,True,,,,True,,,,,,
9,Opponent5,246.15528700000002,259.321717,77.0,31.0,-46.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,True,True,True,,,,,,
10,Huskies,259.321717,262.15637200000003,26.0,28.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,
11,Opponent5,262.15637200000003,349.91212900000005,73.0,31.0,-42.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,,,True,True,,True,,,,,,,
12,Opponent5,349.91212900000005,396.590967,46.0,31.0,-15.0,1.0,0.0,8.0,23.0,2.0,12.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,True,True,True,True,,True,True,True,,,,,,
13,Opponent5,396.590967,404.60802,67.0,31.0,-36.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,True,,,,,,
