,team,s_time,e_time,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_M3,Huskies_D3,Opponent5_D3,Opponent5_M3,Huskies_D1,Huskies_D5,Huskies_F2,Huskies_M1,Huskies_M4,Opponent5_D4,Opponent5_M4,Opponent5_D2,Opponent5_M1,Opponent5_F2,Opponent5_M2,Huskies_D2,Opponent5_D1,Huskies_G1,Huskies_M6,Huskies_D4,Opponent5_F1,Opponent5_M5,Opponent5_G1,Huskies_F3,Huskies_F1,Opponent5_M6,Huskies_M5,Opponent5_F3
0,Huskies,2.8330550000000585,36.504554999999975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Opponent5,36.504554999999975,38.66371399999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,38.66371399999979,40.747615000000216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
3,Huskies,40.747615000000216,54.148757999999816,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,,
4,Opponent5,54.148757999999816,64.61123499999985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,,,,,,,,,,,,,,,,
5,Opponent5,64.61123499999985,73.97591499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,,,,,,,
6,Opponent5,73.97591499999999,88.19684800000003,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,True,True,True,True,True,,,,,,,,,,,,,
7,Huskies,88.19684800000003,161.6905069999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,True,,,,,,,,,,,,,,,,,,,,
8,Huskies,161.6905069999998,185.20127199999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,True,,,,,,,,,,,,,,,,,,,
9,Huskies,185.20127199999982,230.8184150000002,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,True,,,,,,,,,,,,
10,Opponent5,230.8184150000002,250.609978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,
11,Huskies,250.609978,254.43892300000016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,
12,Opponent5,254.43892300000016,306.38924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,
13,Huskies,306.38924,321.0993370000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,
14,Opponent5,321.0993370000001,327.53999900000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,
15,Huskies,327.53999900000014,353.06579999999985,1.0,5.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,True,,True,,,,,,,,True,,True,True,,,,,,,,,
16,Opponent5,353.06579999999985,395.90416300000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,
17,Huskies,395.90416300000015,406.18365799999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
18,Huskies,406.18365799999987,436.7979500000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,True,,,,,,,True,,True,,,,,,,,,,
19,Opponent5,436.7979500000001,604.7783960000003,6.0,16.0,4.0,20.0,0.0,1.0,8.0,3.0,5.0,3.0,1.0,1.0,0.0,,,True,True,,,,,,True,True,True,True,,True,,True,,,,,,,,,,,
20,Huskies,604.7783960000003,620.8528820000001,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,True,,,True,,,,,,,,,,,,,,,,,,,
21,Opponent5,620.8528820000001,627.4997279999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,True,,,,,,,,,,,
22,Huskies,627.4997279999998,673.9128970000003,6.0,15.0,4.0,12.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,True,True,,,True,,True,True,True,,,,,,,True,,True,True,True,,,,,,,,
23,Opponent5,673.9128970000003,719.603298,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,True,True,,,,,,,,,,,,,
24,Opponent5,719.603298,750.3434360000001,2.0,4.0,2.0,4.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,,,True,True,,,,,,,True,,True,,,,,,,,,,,,,,,
25,Huskies,750.3434360000001,781.2742149999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,
26,Huskies,781.2742149999998,803.405585,0.0,6.0,1.0,7.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,True,,,,True,True,,True,True,,,,,,,,,,True,,,,,,,,,
27,Opponent5,803.405585,809.5728749999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,
28,Huskies,809.5728749999997,812.6347609999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,
29,Opponent5,812.6347609999997,817.4108209999998,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,
30,Huskies,817.4108209999998,880.7574789999999,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,,,,,,,,True,,,,,,,,,,,,
31,Huskies,880.7574789999999,949.5565339999997,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,True,,,,,,,,True,,,,True,,,,,,,,
32,Huskies,949.5565339999997,984.3247689999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,
33,Huskies,984.3247689999997,1009.2068539999999,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,True,,True,,,,,,,,,,
34,Opponent5,1009.2068539999999,1036.8428290000004,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,True,,True,,True,,,,,True,,,,,,
35,Opponent5,1036.8428290000004,1050.496859,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,True,,,,True,,True,,,,,
36,Huskies,1050.496859,1190.9495509999995,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,True,,True,,,,,,,,,,
37,Opponent5,1190.9495509999995,1196.1847019999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,
38,Huskies,1196.1847019999996,1207.0432560000002,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,,,,,,,,,True,,,,,,,,
39,Huskies,1207.0432560000002,1254.6759929999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,True,,,,,,,,
40,Huskies,1254.6759929999996,1283.2861970000004,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,True,,,,,,,,,,True,,,,,,,,,,,,
41,Huskies,1283.2861970000004,1300.2377180000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
42,Opponent5,1300.2377180000005,1314.7145200000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,
43,Huskies,1314.7145200000004,1394.262471,7.0,18.0,2.0,11.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,True,,,,,,,,,,,True,True,,,,True,,,,
44,Opponent5,1394.262471,1402.022478,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,True,,,,,,,,,,,
45,Huskies,1402.022478,1413.7233850000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,
46,Opponent5,1413.7233850000002,1527.5680140000006,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,True,,,,True,,,,,True,,,,,,
47,Huskies,1527.5680140000006,1542.882461,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,True,,True,True,,,,,,,,,,,,,,,,True,,,,
48,Opponent5,1542.882461,1549.0523860000005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,True,,,,,,,,,,,
49,Huskies,1549.0523860000005,1561.6617020000006,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,True,,,,,,,,,,,,True,,,,,,,,,
50,Opponent5,1561.6617020000006,1641.1851399999994,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,True,,,,,,,,,True,,,,,,
51,Opponent5,1641.1851399999994,1663.1407849999994,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,True,,,,,
52,Huskies,1663.1407849999994,1673.55083,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,True,,,,,,,,,,,,,,,,,,,,
53,Opponent5,1673.55083,1678.5465649999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,
54,Huskies,1678.5465649999994,1686.2335979999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,,,,,,,,,,,,,True,,,,,,,,,
55,Huskies,1686.2335979999998,1705.6907800000001,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,True,,,,True,,,,
56,Huskies,1705.6907800000001,1713.2541300000007,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
57,Opponent5,1713.2541300000007,1771.230039,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,True,,True,,,,,,,,,,,,,
58,Opponent5,1771.230039,1797.2822770000002,2.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,True,True,True,,,,True,,,,,,,,,,,
59,Huskies,1797.2822770000002,1803.9773720000005,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,
60,Opponent5,1803.9773720000005,1805.7986250000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,,,,,,,,True,,,,,,
61,Opponent5,1805.7986250000006,1902.782168,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,True,,True,,True,,,,,,,,,,,,,
62,Huskies,1902.782168,1921.141423,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,True,,,,,,,,,,,,,True,True,,,,,,True,,,
63,Huskies,1921.141423,1930.661338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,,,,
64,Opponent5,1930.661338,1971.85467,3.0,6.0,1.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,True,,True,,,,,,,,,,,True,,
65,Opponent5,1971.85467,1983.226742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,True,,,,,,True,,,,,
66,Opponent5,1983.226742,2024.136113,3.0,9.0,5.0,18.0,0.0,1.0,8.0,7.0,5.0,3.0,1.0,1.0,0.0,,,True,True,,,,,,,,,True,,True,,,,,,True,,,,,True,,
67,Opponent5,2024.136113,2064.439465000001,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,True,,,,True,,,,,True,,,,,,
68,Huskies,2064.439465000001,2069.838331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
69,Huskies,2069.838331,2082.1862060000008,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,True,,,,,True,,,,,,,,,,,,,True,,,,True,,,,
70,Opponent5,2082.1862060000008,2092.6922940000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,True,,,,,,,,,,,,,
71,Huskies,2092.6922940000004,2106.443872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,
72,Opponent5,2106.443872,2161.211371000001,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,,,,,,,,,,True,,,,True,,
73,Opponent5,2161.211371000001,2173.181019,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,,,,,,True,,
74,Huskies,2173.181019,2213.0545490000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,True,,,,,True,,,
75,Huskies,2213.0545490000004,2238.533915,4.0,5.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,,,,True,,,,,,True,,,
76,Opponent5,2238.533915,2246.5514000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,,,,,True,,
77,Opponent5,2246.5514000000007,2252.4940290000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,
78,Huskies,2252.4940290000004,2274.2053830000004,2.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,True,,True,,,,,,,,,,
79,Opponent5,2274.2053830000004,2373.089552000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,,,,,,,,,,,True,,,,,,,
80,Huskies,2373.089552000001,2379.162449000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,,,,,,,,,,,True,
81,Opponent5,2379.162449000001,2399.4256800000007,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,True,,,,,,,,,,,,,,,,,True,True,,,,,,
82,Opponent5,2399.4256800000007,2404.8616330000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,,,,,,,,,,,,,True,,,,,,
83,Huskies,2404.8616330000004,2432.230581,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,True,True,,,
84,Opponent5,2432.230581,2459.204683,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,,,,,True,,,True,,,,True,,,,,True,,,,True,,
85,Huskies,2459.204683,2491.709213,2.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,,,,,True,,,,True,,,True,
86,Huskies,2491.709213,2543.059479,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,True,,,,,,,,,,,,,True,,,,,True,,,True,
87,Huskies,2543.059479,2560.336827,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,True,,,,,,,,,,,,True,True,,,,,,,,True,
88,Opponent5,2560.336827,2631.734957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,
89,Opponent5,2631.734957,2689.121618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,
90,Huskies,2689.121618,2699.226216,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,True,,,
91,Huskies,2699.226216,2740.281112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,True,,,,,True,True,,,
