,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Opponent6_M2,Opponent6_F1,Opponent6_M1,Huskies_F1,Huskies_F2,Opponent6_M4,Opponent6_D2,Opponent6_M3,Huskies_D4,Huskies_M1,Huskies_M6,Opponent6_D3,Opponent6_D1,Opponent6_D4,Opponent6_F2,Huskies_D2,Huskies_D6,Huskies_D5,Huskies_M3,Huskies_M2,Huskies_G1,Opponent6_G1
0,Opponent6,0.8990150000000199,25.19115499999998,49.0,39.0,-10.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,,,,,,,,,,
1,Opponent6,25.19115499999998,29.420741000000017,66.0,74.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,
2,Huskies,29.420741000000017,33.58780400000001,38.0,59.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,True,,,,,,,,,,,,,,,,,
3,Opponent6,33.58780400000001,66.773483,57.0,39.0,-18.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,True,True,,,,,,,,,,,,,,
4,Huskies,66.773483,75.20732700000002,25.0,39.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,
5,Opponent6,75.20732700000002,93.85634499999998,40.0,39.0,-1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,True,True,,,,,,,,,
6,Opponent6,93.85634499999998,107.32234,55.0,39.0,-16.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,True,,,,True,,True,,,,,,,,
7,Huskies,107.32234,112.20265999999998,35.0,39.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,True,True,True,,,,,,,,,,,
8,Opponent6,112.20265999999998,127.57554499999998,62.0,39.0,-23.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,,,,,True,,True,,,,,,,
9,Huskies,127.57554499999998,167.85652199999996,24.0,40.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,True,,,,,,,True,,,,,,,,,,,
