,team,s_time,e_time,ox,dx,dis,duel,shot,motif_1,motif_2,motif_3,motif_4,motif_5,motif_6,motif_7,motif_8,motif_9,motif_10,motif_11,motif_12,motif_13,Huskies_D2,Huskies_M2,Huskies_D5,Huskies_M1,Huskies_M3,Huskies_D6,Opponent6_D2,Opponent6_D3,Opponent6_M1,Opponent6_D4,Opponent6_M3,Opponent6_M4,Huskies_D4,Huskies_F1,Huskies_F2,Opponent6_F2,Opponent6_M2,Opponent6_D1,Opponent6_F1,Huskies_G1,Huskies_F4,Huskies_M4,Huskies_M6,Opponent6_F3,Opponent6_G1,Opponent6_D5,Huskies_D7,Opponent6_F4
0,Huskies,1.6777659999997925,24.58604800000012,50.0,30.0,-20.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Huskies,24.58604800000012,79.82485799999995,91.0,30.0,-61.0,2.0,0.0,2.0,6.0,2.0,6.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,
2,Huskies,79.82485799999995,100.43514700000013,35.0,34.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,
3,Opponent6,100.43514700000013,136.33545000000004,53.0,30.0,-23.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,,,,,,,True,True,True,True,,,,,,,,,,,,,,,,,,
4,Opponent6,136.33545000000004,142.4399269999999,87.0,30.0,-57.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,True,,,,True,True,,,,,,,,,,,,,,,,
5,Huskies,142.4399269999999,179.35878799999998,26.0,30.0,4.0,4.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,True,True,True,,,,,,,True,True,True,,,,,,,,,,,,,
6,Opponent6,179.35878799999998,288.4732319999998,45.0,30.0,-15.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,True,,,,,,,,,,
7,Huskies,288.4732319999998,295.87245600000006,51.0,32.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,
8,Opponent6,295.87245600000006,308.1225559999998,13.0,30.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,
9,Huskies,308.1225559999998,318.8534319999999,59.0,34.0,-25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
10,Huskies,318.8534319999999,321.0945700000002,45.0,55.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,,,,,,,,,True,,,,,,,,,,,,,
11,Opponent6,321.0945700000002,329.1980220000001,49.0,30.0,-19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,True,True,,True,,,,,,,,,
